date,open,high,low,close,volume,dividend,split
2003-03-12,8.055,9.025,7.7,8.8125,5835960,0.0,1.0
2003-03-13,8.75,9.36,8.75,9.035,22188240,0.0,1.0
2003-03-17,9.055,9.055,8.435,8.63,1557180,0.0,1.0
2003-03-19,8.8,8.925,8.65,8.765,911440,0.0,1.0
2003-03-20,8.775,9.55,8.75,9.1625,4011100,0.0,1.0
2003-03-21,9.25,9.57,9.1925,9.295,1646140,0.0,1.0
2003-03-24,9.72,10.275,9.6025,10.04,5307580,0.0,1.0
2003-03-25,9.9375,11.05,9.8575,10.8775,17273660,0.0,1.0
2003-03-26,11.0625,11.62,10.8575,10.955,20668100,0.0,1.0
2003-03-27,11,11.09,10.25,10.395,7857520,0.0,1.0
2003-03-28,10.47,12.09,10.35,11.67,26073640,0.0,1.0
2003-03-31,11.5,11.7425,10.875,10.9825,10872180,0.0,1.0
2003-04-01,11.05,11.905,11.025,11.435,11130520,0.0,1.0
2003-04-02,11.55,11.935,11.5275,11.78,4843360,0.0,1.0
2003-04-03,12.0525,12.18,11.725,11.8025,5283960,0.0,1.0
2003-04-04,11.825,11.925,11.65,11.69,2659780,0.0,1.0
2003-04-07,11.7,11.99,11.65,11.85,1753260,0.0,1.0
2003-04-08,11.7625,13.05,11.75,12.4525,11036820,0.0,1.0
2003-04-09,12.575,13.1975,12.55,12.7825,5080200,0.0,1.0
2003-04-10,12.7,12.895,12.0625,12.1975,1563300,0.0,1.0
2003-04-11,12.25,12.75,12.065,12.535,807020,0.0,1.0
2003-04-15,12.73,13.45,12.675,12.8175,1598000,0.0,1.0
2003-04-16,13.195,13.2,12.45,12.5725,1067700,0.0,1.0
2003-04-17,12.6575,12.74,12.1625,12.31,1345520,0.0,1.0
2003-04-21,12.485,12.7,12.2125,12.2525,583560,0.0,1.0
2003-04-22,12.45,12.95,12.0275,12.8575,2961600,0.0,1.0
2003-04-23,13.0275,13.25,12.7225,13.015,2747000,0.0,1.0
2003-04-24,13,13.145,12.795,12.835,843280,0.0,1.0
2003-04-25,12.8975,13,12.7,12.7525,707200,0.0,1.0
2003-04-28,12.795,13.5125,12.565,13.395,1889300,0.0,1.0
2003-04-29,13.235,14.1825,13.235,13.8725,5998940,0.0,1.0
2003-04-30,13.8075,14.69,13.8,14.495,4279380,0.0,1.0
2003-05-02,14.55,15.065,14.305,14.5325,5191700,0.0,1.0
2003-05-05,14.5,14.835,13.7075,13.8625,2554660,0.0,1.0
2003-05-06,14.1475,14.69,14.0275,14.3925,2947300,0.0,1.0
2003-05-07,14.485,14.78,14.25,14.3025,2784000,0.0,1.0
2003-05-08,14.4,14.435,13.8775,13.97,1500960,0.0,1.0
2003-05-09,14.05,14.2925,13.865,14.1075,1510660,0.0,1.0
2003-05-12,14.195,14.7,14.195,14.435,2438000,0.0,1.0
2003-05-13,14.4875,14.6825,14.075,14.1675,1217120,0.0,1.0
2003-05-14,14.275,14.45,14.1625,14.2475,886200,0.0,1.0
2003-05-15,14.32,16.25,14.32,15.9825,8820080,0.0,1.0
