date,open,high,low,close,volume,dividend,split
1992-03-02,25,27.0833,25,26.25,0,0.0,1.0
1992-03-03,25,27.0833,25,26.0417,0,0.0,1.0
1992-03-10,29.1667,31.25,27.0833,29.1667,0,0.0,1.0
1992-03-11,25.8333,31.25,25.8333,27.0833,0,0.0,1.0
1992-03-12,27.0833,29.1667,25.8333,25.8333,0,0.0,1.0
1992-03-13,25.8333,29.1667,25.8333,29.1667,0,0.0,1.0
1992-03-17,27.0833,31.25,27.0833,29.1667,0,0.0,1.0
1992-03-18,27.0833,31.25,27.0833,29.1667,0,0.0,1.0
1992-03-20,27.0833,31.25,27.0833,30.4167,0,0.0,1.0
1992-03-24,29.1667,35.416698,29.1667,31.25,0,0.0,1.0
1992-03-25,35.416698,35.416698,31.25,32.083302,0,0.0,1.0
1992-03-27,31.25,35.416698,29.1667,31.25,0,0.0,1.0
1992-03-30,31.25,35.416698,29.1667,31.25,0,0.0,1.0
1992-03-31,31.25,33.333302,31.25,33.333302,0,0.0,1.0
1995-05-02,77.5,81.25,75,77.5,0,0.0,1.0
1995-05-03,73.75,75,70,75,0,0.0,1.0
1995-05-04,73.75,75,72.5,75,0,0.0,1.0
1995-05-05,75,76.25,72.5,75,0,0.0,1.0
1995-05-08,76.25,76.25,72.5,76.25,0,0.0,1.0
1995-05-09,75,76.25,72.5,76.25,0,0.0,1.0
1995-05-10,75,78.75,75,78.75,0,0.0,1.0
1995-05-12,77.5,78.75,76.25,78.75,0,0.0,1.0
1995-05-15,76.25,78.75,76.25,78.75,0,0.0,1.0
1995-05-16,75,77.5,75,76.875,0,0.0,1.0
1995-05-17,75,76.875,75,76.25,0,0.0,1.0
1995-05-18,75.625,78.75,75.625,78.75,0,0.0,1.0
1995-05-19,76.25,80,76.25,80,0,0.0,1.0
1995-05-22,77.5,78.75,76.25,77.5,0,0.0,1.0
1995-05-23,75,77.5,75,77.5,0,0.0,1.0
1995-05-24,75,77.5,73.75,77.5,0,0.0,1.0
1995-05-25,76.25,76.25,76.25,76.25,0,0.0,1.0
1995-05-26,73.75,76.25,73.75,76.25,0,0.0,1.0
1995-05-29,76.25,76.25,73.75,76.25,0,0.0,1.0
1995-05-30,75,76.25,75,76.25,0,0.0,1.0
1995-05-31,75,76.25,73.75,76.25,0,0.0,1.0
1996-03-18,65.75,65.75,65.5,65.5,4400,0.0,1.0
