date,open,high,low,close,volume,dividend,split
2006-07-28,92.624802,92.624802,87.750298,92.624802,3378,0.0,1.0
2006-07-31,97.2556,97.2556,97.2556,97.2556,838,0.0,1.0
2006-08-01,102.071999,102.111,95.169296,96.719398,8968,0.0,1.0
2006-08-02,99.439301,101.555,99.039597,101.555,1153,0.0,1.0
2006-08-03,106.624001,106.624001,106.624001,106.624001,944,0.0,1.0
2006-08-04,111.946999,111.946999,104.323997,108.009003,13554,0.0,1.0
2006-08-07,112.112999,112.112999,106.292999,108.281998,1555,0.0,1.0
2006-08-08,110.066002,110.748001,108.505997,110.113998,1591,0.0,1.0
2006-08-09,111.528,115.612999,109.188004,115.612999,3297,0.0,1.0
2006-08-10,119.794998,127.165001,117.571999,126.765999,19404,0.0,1.0
2006-08-11,132.585999,133.444,124.787003,126.512001,9285,0.0,1.0
2006-08-14,130.636002,131.026001,127.731003,129.787994,3260,0.0,1.0
2006-08-16,132.440002,132.576004,123.421997,124.308998,4074,0.0,1.0
2006-08-17,124.787003,124.787003,118.351997,119.054001,2126,0.0,1.0
2006-08-18,117.766998,125.000999,117.376999,124.874001,6492,0.0,1.0
2006-08-21,119.152,125.762001,119.152,121.93,2783,0.0,1.0
2006-08-22,121.901001,126.736,120.887001,121.277,4472,0.0,1.0
2006-08-23,121.880997,127.341003,120.887001,126.473,12193,0.0,1.0
2006-08-24,126.852997,126.852997,122.251999,123.070999,3687,0.0,1.0
2006-08-25,124.592003,129.222,124.397003,126.043999,16990,0.0,1.0
2006-08-28,126.950996,128.091995,121.472,122.301003,4874,0.0,1.0
2006-08-29,124.787003,126.249001,121.872002,122.486,2170,0.0,1.0
2006-08-30,122.135002,123.226997,119.132004,120.126999,2975,0.0,1.0
2006-08-31,122.251999,122.641998,118.351997,118.751999,1603,0.0,1.0
2006-09-01,119.132004,122.251999,118.936996,120.994003,1603,0.0,1.0
2006-09-04,121.295998,123.226997,119.327003,122.339996,3147,0.0,1.0
2006-09-05,121.472,124.397003,121.277,122.457001,2580,0.0,1.0
2006-09-06,122.836998,123.811996,121.248001,121.295998,2447,0.0,1.0
2006-09-07,120.595001,120.595001,117.961998,118.801003,1923,0.0,1.0
2006-09-08,121.452003,121.452003,118.556999,119.522003,1189,5.37842,1.0
