date,open,high,low,close,volume,dividend,split
2002-11-21,3,3,3,3,500,0.0,1.0
2003-06-17,2.45,2.45,2.45,2.45,500,0.0,1.0
2003-06-19,2.45,2.45,2.45,2.45,2000,0.0,1.0
2003-06-23,2.45,2.45,2.45,2.45,2300,0.0,1.0
2003-08-18,2.94,2.94,2.94,2.94,500,0.0,1.0
2003-08-19,3.52,3.52,3.52,3.52,600,0.0,1.0
2003-08-20,4.22,4.22,4.22,4.22,100,0.0,1.0
2003-08-22,5.05,5.05,5.05,5.05,200,0.0,1.0
2003-08-25,6.04,6.05,6,6.05,1500,0.0,1.0
2003-08-26,6.6,6.6,6.6,6.6,1000,0.0,1.0
2003-08-27,7.26,7.26,7.26,7.26,1000,0.0,1.0
2003-08-28,6.7,6.7,6.7,6.7,100,0.0,1.0
2003-08-29,6.5,6.5,6.5,6.5,1200,0.0,1.0
2003-09-01,5.86,5.86,5.86,5.86,400,0.0,1.0
2003-12-05,5.55,5.55,5.55,5.55,100,0.0,1.0
2003-12-08,5,5,5,5,600,0.0,1.0
2003-12-09,5,5,5,5,100,0.0,1.0
2003-12-10,5.5,5.5,5.5,5.5,1000,0.0,1.0
2003-12-12,5,5,5,5,2000,0.0,1.0
2003-12-15,4.51,4.51,4.51,4.51,200,0.0,1.0
2003-12-17,4.52,4.52,4.52,4.52,200,0.0,1.0
2003-12-22,4.55,4.75,4.55,4.75,2000,0.0,1.0
2003-12-24,5.22,5.22,5.22,5.22,500,0.0,1.0
2003-12-26,5.6,5.6,5.6,5.6,100,0.0,1.0
2003-12-29,6.16,6.16,6.16,6.16,1300,0.0,1.0
2003-12-30,6.25,6.77,6.25,6.77,1000,0.0,1.0
2003-12-31,7.44,7.44,7.44,7.44,500,0.0,1.0
2004-01-01,8.18,8.18,8.18,8.18,300,0.0,1.0
2004-01-02,8.99,8.99,8.99,8.99,400,0.0,1.0
2004-01-05,9.88,9.88,9.88,9.88,200,0.0,1.0
2004-01-06,10.86,10.86,10.86,10.86,300,0.0,1.0
2004-01-07,10.9,11,9.78,10.02,3100,0.0,1.0
2004-01-08,10.5,10.5,10.11,10.11,2100,0.0,1.0
2004-01-09,9.3,9.4,9.1,9.1,2100,0.0,1.0
2004-01-13,8.5,8.5,8.5,8.5,500,0.0,1.0
2004-01-20,8.85,8.85,8.8,8.8,200,0.0,1.0
2004-01-21,9.65,9.65,9.65,9.65,100,0.0,1.0
2004-01-30,8.7,8.7,8.7,8.7,800,0.0,1.0
2004-02-04,7.9,7.9,7.85,7.85,300,0.0,1.0
2004-02-11,7.85,7.85,7.85,7.85,500,0.0,1.0
2004-02-18,7.85,7.85,7.85,7.85,200,0.0,1.0
2004-03-05,8.63,8.63,8.63,8.63,100,0.0,1.0
2004-03-09,8.5,8.5,8.5,8.5,100,0.0,1.0
2004-03-11,9.35,9.35,9.35,9.35,100,0.0,1.0
2004-03-12,9.15,10.28,9.15,10.28,200,0.0,1.0
2004-03-15,9.27,9.27,9.27,9.27,500,0.0,1.0
2004-03-17,8.4,8.4,8.4,8.4,400,0.0,1.0
2004-03-19,8,8,8,8,500,0.0,1.0
2004-04-02,8,8,8,8,200,0.0,1.0
2004-04-22,8,8,8,8,100,0.0,1.0
2004-04-28,8.8,8.8,8.8,8.8,500,0.0,1.0
2004-04-29,9,9,7.93,9,2000,0.0,1.0
2004-05-03,9,9,9,9,1000,0.0,1.0
2004-05-10,9,9,9,9,500,0.0,1.0
2004-06-08,10.8,10.8,10.8,10.8,700,0.0,1.0
2004-06-09,10.8,10.8,10,10.06,5300,0.0,1.0
2004-06-10,12.06,12.06,12.06,12.06,600,0.0,1.0
2004-06-23,12,12,12,12,100,0.0,1.0
2004-06-24,14,14,14,14,200,0.0,1.0
2004-06-25,14,14,14,14,100,0.0,1.0
2004-07-07,15,15,15,15,200,0.0,1.0
2004-07-12,14,14,14,14,100,0.0,1.0
2004-07-13,14,14.01,14,14,2000,0.0,1.0
2004-07-15,14,14,14,14,1000,0.0,1.0
2004-07-21,15.4,15.4,15.4,15.4,500,0.0,1.0
2004-07-23,16.5,16.5,16.5,16.5,500,0.0,1.0
2004-07-26,14.86,16.25,14.86,15.01,1000,0.0,1.0
2004-07-29,15,15,15,15,700,0.0,1.0
2004-07-30,14.5,14.5,14.5,14.5,500,0.0,1.0
2004-08-04,15.9,15.9,14.25,14.25,1100,0.0,1.0
2004-08-09,14,14,14,14,1800,0.0,1.0
2004-08-10,14,14,14,14,500,0.0,1.0
2004-08-13,14,14,14,14,500,0.0,1.0
2004-09-08,15.4,15.4,15,15,1200,0.0,1.0
2004-09-09,16.5,16.5,16.5,16.5,600,0.0,1.0
2004-09-10,17,18.15,17,18.15,5100,0.0,1.0
2004-09-13,18,19.959999,18,19.959999,3100,0.0,1.0
2004-09-14,21.950001,21.950001,21.950001,21.950001,400,0.0,1.0
2004-09-15,24.139999,24.139999,21.5,23.5,1600,0.0,1.0
2004-09-16,22.700001,24.4,22.700001,22.9,3800,0.0,1.0
2004-09-17,21.9,22.799999,21.799999,22.799999,900,0.0,1.0
2004-09-20,21.68,21.68,21.67,21.67,300,0.0,1.0
2004-09-21,20.59,22.200001,20.59,22.200001,500,0.0,1.0
2004-09-22,21.200001,21.200001,21.1,21.1,600,0.0,1.0
2004-09-23,20.049999,20.049999,20.049999,20.049999,300,0.0,1.0
2004-09-24,19.049999,19.049999,19.049999,19.049999,200,0.0,1.0
2004-09-27,18.15,18.15,18.1,18.1,300,0.0,1.0
2004-09-29,17.35,17.35,17.35,17.35,500,0.0,1.0
2004-10-01,17,18.200001,17,18.200001,1700,0.0,1.0
2004-10-04,19.1,19.1,19.1,19.1,100,0.0,1.0
2004-10-05,19,19,19,19,600,0.0,1.0
