date,open,high,low,close,volume,dividend,split
2000-08-30,9.05,9.725,9.05,9.5,66492,0.0,1.0
2000-08-31,9.55,9.625,9.375,9.6,9420,0.0,1.0
2000-09-01,9.6,9.6,9.6,9.6,0,0.0,1.0
2000-09-04,10.25,10.25,9.75,9.75,21760,0.0,1.0
2000-09-05,9.825,9.85,9.4,9.8,5000,0.0,1.0
2000-09-06,9.75,9.875,9.5,9.75,9400,0.0,1.0
2000-09-07,9.875,9.875,9.5,9.675,7540,0.0,1.0
2000-09-08,9.75,10,9.5,9.55,11400,0.0,1.0
2000-09-11,10,10.25,9.925,10.05,31990,0.0,1.0
2000-09-12,10.325,10.325,9.5,9.85,21500,0.0,1.0
2000-09-13,10,10.075,9.5,9.75,12800,0.0,1.0
2000-09-14,9.5,9.75,9.5,9.55,4890,0.0,1.0
2000-09-15,9.6,9.75,9.05,9.175,14350,0.0,1.0
2000-09-18,9.175,9.175,9.175,9.175,0,0.0,1.0
2000-09-19,9.175,9.175,9.175,9.175,0,0.0,1.0
2000-09-20,9.25,9.25,8.8,9.2,1280,0.0,1.0
2000-09-21,9.25,9.35,9.25,9.35,1400,0.0,1.0
2000-09-22,9,9.325,8.625,9.325,15300,0.0,1.0
2000-09-25,9.375,9.375,8.75,9.075,21840,0.0,1.0
2000-09-26,9.075,9.075,9.075,9.075,0,0.0,1.0
2000-09-27,9.075,9.075,9.075,9.075,0,0.0,1.0
2000-09-28,9.25,9.25,8.025,8.625,10566,0.0,1.0
2000-09-29,8.625,8.625,8.625,8.625,0,0.0,1.0
2000-10-02,8.625,8.625,8.625,8.625,0,0.0,1.0
2000-10-03,9,9,8.1,8.325,2900,0.0,1.0
2000-10-04,8.325,8.325,8.325,8.325,0,0.0,1.0
2000-10-05,7.875,8,7.85,8,1800,0.0,1.0
2000-10-06,7.525,7.7,7.375,7.475,9900,0.0,1.0
2000-10-09,8.05,8.05,7.8,8.05,12100,0.0,1.0
2000-10-10,8.05,8.05,7.425,7.425,26200,0.0,1.0
2000-10-11,7.75,7.75,7,7.2,10310,0.0,1.0
2000-10-12,7.375,7.425,7.25,7.425,2720,0.0,1.0
2000-10-13,7.425,7.5,6.875,7.4,5540,0.0,1.0
2000-10-16,7.975,7.975,7.4,7.425,8300,0.0,1.0
2000-10-17,7.475,7.5,6.85,6.975,9140,0.0,1.0
2000-10-18,7.025,7.425,6.975,6.975,9402,0.0,1.0
2000-10-19,7,7.3,6.975,7.075,1272,0.0,1.0
2000-10-20,7.075,7.075,7.075,7.075,0,0.0,1.0
2000-10-23,6.675,7.2,6.65,7.2,2428,0.0,1.0
2000-10-24,6.7,7,6.625,6.625,4420,0.0,1.0
2000-10-25,6.625,6.625,6.625,6.625,0,0.0,1.0
2000-10-26,6.625,6.625,6.625,6.625,0,0.0,1.0
2000-10-27,7.5,7.5,7.375,7.375,300,0.0,1.0
2000-10-30,7.5,7.725,7.125,7.175,10800,0.0,1.0
2000-10-31,7.175,7.175,7.175,7.175,0,0.0,1.0
2000-11-01,7.75,7.825,7,7.4,7052,0.0,1.0
2000-11-02,7.025,7.95,7.025,7.375,3970,0.0,1.0
2000-11-03,7.05,7.7,7.05,7.375,6002,0.0,1.0
2000-11-06,7.9,7.9,7.3,7.35,82182,0.0,1.0
2000-11-07,7.425,7.675,7.05,7.225,6504,0.0,1.0
2000-11-08,7.5,7.5,7.25,7.475,3900,0.0,1.0
2000-11-09,7.25,7.8,7.05,7.25,10942,0.0,1.0
2000-11-10,6.775,7.3,6.775,6.875,1218,0.0,1.0
2000-11-13,7.4,7.4,6.875,6.875,400,0.0,1.0
2000-11-14,6.625,7.125,6.625,6.95,3740,0.0,1.0
2000-11-15,6.975,7,6.85,6.975,5200,0.0,1.0
2000-11-16,7,7.35,7,7.15,4840,0.0,1.0
2000-11-17,7,7,6.9,6.9,5202,0.0,1.0
2000-11-20,7.05,7.4,7,7.075,7400,0.0,1.0
2000-11-21,6.525,7.25,6.525,7.025,3760,0.0,1.0
2000-11-22,7.025,7.425,7,7.425,5878,0.0,1.0
2000-11-23,7.125,7.125,7,7,2600,0.0,1.0
2000-11-24,7,7.25,7,7.25,4200,0.0,1.0
2000-11-27,7.1,7.725,7.075,7.325,3600,0.0,1.0
2000-11-28,7.425,7.55,7.325,7.55,6000,0.0,1.0
2000-11-29,7.275,7.5,7.125,7.375,10600,0.0,1.0
2000-11-30,7.5,7.5,7.125,7.125,9300,0.0,1.0
2000-12-01,7.45,7.45,7.025,7.025,13900,0.0,1.0
2000-12-04,7.1,7.475,7,7,6242,0.0,1.0
2000-12-05,7.25,7.55,7.25,7.55,45020,0.0,1.0
2000-12-06,7.975,8.125,7.65,7.9,12436,0.0,1.0
2000-12-07,7.8,8,7.75,8,20602,0.0,1.0
2000-12-08,7.95,8.625,7.875,8,13182,0.0,1.0
2000-12-12,8.925,8.925,8.925,8.925,600,0.0,1.0
2000-12-18,8.3,8.3,8.3,8.3,2000,0.0,1.0
