date,open,high,low,close,volume,dividend,split
2011-11-15,95,95,29,29.200001,141873,0.0,1.0
2011-11-16,29.200001,30.65,27.75,27.75,21258,0.0,1.0
2011-11-17,27,28.700001,26.4,26.4,32653,0.0,1.0
2011-11-18,25.1,25.200001,25.1,25.1,3737,0.0,1.0
2011-11-21,23.85,25.4,23.85,23.9,7415,0.0,1.0
2011-11-22,23.85,25.049999,22.75,22.85,8366,0.0,1.0
2011-11-23,22,22.799999,21.75,21.75,22304,0.0,1.0
2011-11-24,21,21.75,20.700001,21.450001,9935,0.0,1.0
2011-11-25,22.5,22.5,20.75,22.5,12238,0.0,1.0
2011-11-28,23.4,23.6,23.4,23.6,5512,0.0,1.0
2011-11-29,27,27.700001,24.950001,25.85,59497,0.0,1.0
2011-11-30,28.5,28.5,26.15,26.450001,32539,0.0,1.0
2011-12-01,27.5,27.5,24.450001,24.700001,5899,0.0,1.0
2011-12-02,21.5,25.5,21.200001,25.049999,16929,0.0,1.0
2011-12-05,21.35,27.15,21.35,26.25,6398,0.0,1.0
2011-12-07,26.25,26.25,24.799999,25.25,10700,0.0,1.0
2011-12-08,25.6,25.6,24.25,24.35,9267,0.0,1.0
2011-12-09,24,24.700001,23.700001,24.15,13702,0.0,1.0
2011-12-12,24,24,21.75,22.450001,6319,0.0,1.0
2011-12-13,21.1,23,20.35,22.049999,26308,0.0,1.0
2011-12-14,22,22.65,20.5,20.65,8635,0.0,1.0
2011-12-15,23.85,23.85,18.5,19.700001,7324,0.0,1.0
2011-12-16,20.5,20.549999,17.700001,18.700001,27358,0.0,1.0
2011-12-19,18.299999,18.950001,16.200001,17.5,19638,0.0,1.0
2011-12-20,17,18.200001,16.299999,17.5,5291,0.0,1.0
2011-12-21,17.049999,20.6,17.049999,18.549999,3133,0.0,1.0
2011-12-22,17.1,19.75,17.1,19.1,6582,0.0,1.0
2011-12-23,18.549999,20,18.1,18.549999,4947,0.0,1.0
2011-12-26,18.5,18.5,17.25,17.5,4553,0.0,1.0
2011-12-27,18,18,17,17.35,4438,0.0,1.0
2011-12-28,17.5,18.5,17,17.85,2901,0.0,1.0
2011-12-29,18,18.85,17.85,18,5238,0.0,1.0
2011-12-30,18.85,19,17.799999,18.700001,3893,0.0,1.0
2012-01-02,19,20,18.1,19.200001,9428,0.0,1.0
2012-01-03,19.450001,20,19,19.200001,4943,0.0,1.0
2012-01-04,18,20,18,19.5,4387,0.0,1.0
2012-01-05,20.1,22.75,19.549999,22.1,30957,0.0,1.0
2012-01-06,23.4,24.9,22.9,23.950001,56984,0.0,1.0
2012-01-09,24.5,24.5,22.1,23.6,3079,0.0,1.0
2012-01-10,22.75,24.5,22.75,23.75,7845,0.0,1.0
2012-01-11,24,24.9,23.25,24.6,5719,0.0,1.0
2012-01-12,22.049999,25,22.049999,23.450001,8760,0.0,1.0
2012-01-13,23.6,24.25,23.549999,23.75,8327,0.0,1.0
2012-01-16,23.75,24.700001,23.75,24.450001,6702,0.0,1.0
2012-01-17,23.75,29.299999,23.65,28,126854,0.0,1.0
2012-01-18,28.049999,31.5,27.200001,27.450001,100131,0.0,1.0
2012-01-19,28.9,31.85,27.6,27.75,15014,0.0,1.0
2012-01-20,29.700001,29.700001,26.5,27.1,23784,0.0,1.0
2012-01-23,26.15,27.950001,25.65,26.200001,14832,0.0,1.0
2012-01-24,25.4,30.799999,25.25,29.15,142018,0.0,1.0
2012-01-25,31.5,31.5,28.65,29.450001,164178,0.0,1.0
2012-01-27,29.549999,30,28,28.299999,15077,0.0,1.0
2012-01-30,25.6,31,25.6,29.25,45043,0.0,1.0
2012-01-31,29.5,31.549999,29.25,30.35,52348,0.0,1.0
2012-02-01,30.549999,30.549999,29.4,30,28628,0.0,1.0
2012-02-02,30,30.549999,29.15,29.549999,13303,0.0,1.0
2012-02-03,30.1,30.299999,29.25,29.65,15986,0.0,1.0
2012-02-06,26.950001,30.9,26.950001,29.85,24236,0.0,1.0
2012-02-07,29,30.4,28.9,29.450001,30848,0.0,1.0
2012-02-08,31,33,30.549999,31.299999,137623,0.0,1.0
2012-02-09,32.200001,35.099998,32.049999,33.25,318969,0.0,1.0
2012-02-10,34,35.25,33.599998,33.799999,94966,0.0,1.0
2012-02-13,33.75,34.599998,32.549999,33.099998,21435,0.0,1.0
2012-02-14,33.799999,33.799999,30.6,31.25,22739,0.0,1.0
2012-02-15,31.5,33.349998,31.25,31.799999,24826,0.0,1.0
2012-02-16,31.5,35,30.700001,33.650002,208372,0.0,1.0
2012-02-17,34.450001,35.400002,33.099998,33.599998,119226,0.0,1.0
2012-02-21,33.5,35.599998,33.5,34.349998,76156,0.0,1.0
2012-02-22,34.450001,34.900002,32.349998,32.75,46352,0.0,1.0
2012-02-23,32.549999,33.400002,31.299999,32.700001,24019,0.0,1.0
2012-02-24,33,33,31.1,31.6,16743,0.0,1.0
2012-02-27,30.6,31,29.4,29.85,20355,0.0,1.0
2012-02-28,26.299999,32.25,26.299999,30,35735,0.0,1.0
2012-02-29,31.299999,32,30.299999,30.450001,14956,0.0,1.0
2012-03-01,30.75,31.450001,29.950001,30.450001,21322,0.0,1.0
2012-03-02,30.6,30.9,29.6,29.799999,9017,0.0,1.0
2012-03-05,31.200001,31.4,29.85,30.35,11879,0.0,1.0
2012-03-06,29.799999,30.799999,29.799999,30,5330,0.0,1.0
2012-03-07,29.549999,29.85,28.799999,29.1,4865,0.0,1.0
2012-03-09,30.15,30.25,29.1,29.299999,6930,0.0,1.0
2012-03-12,30,30,29.200001,29.35,3329,0.0,1.0
2012-03-13,30,30,28.85,29,17990,0.0,1.0
2012-03-14,29.299999,29.700001,28.950001,29,9288,0.0,1.0
2012-03-15,28.75,29.200001,27.25,27.700001,251342,0.0,1.0
2012-03-16,28.1,28.1,26.5,26.700001,12508,0.0,1.0
2012-03-19,26.25,27.950001,25.450001,26.700001,21876,0.0,1.0
2012-03-20,26.75,27.549999,26.15,27.25,4430,0.0,1.0
2012-03-21,26.799999,29.75,26,28.700001,10141,0.0,1.0
2012-03-22,26,29.5,26,26.9,33828,0.0,1.0
2012-03-23,28.25,30,28.25,29.15,93125,0.0,1.0
2012-03-26,30,30,27.25,27.75,12460,0.0,1.0
2012-03-27,27.35,27.75,25.75,26.35,27136,0.0,1.0
2012-03-28,27.5,27.5,25.6,25.75,21442,0.0,1.0
2012-03-29,25.5,27.15,25.049999,26.200001,15907,0.0,1.0
2012-03-30,26,27.6,26,27.1,6423,0.0,1.0
2012-04-02,27.75,28,25.799999,26.799999,7426,0.0,1.0
2012-04-03,27,28.5,27,28.200001,16827,0.0,1.0
2012-04-04,28.700001,29.75,28.15,28.450001,25682,0.0,1.0
2012-04-09,28.75,28.75,27.049999,27.75,11824,0.0,1.0
2012-04-10,28.25,28.4,27.25,27.75,3676,0.0,1.0
2012-04-11,25,28.299999,25,27.049999,3148,0.0,1.0
2012-04-12,26.35,28.5,26.35,27.9,1382,0.0,1.0
2012-04-13,28.200001,28.5,26.5,27.65,4163,0.0,1.0
2012-04-16,27.25,27.450001,26.5,27.049999,4723,0.0,1.0
2012-04-17,27.25,27.75,26.549999,26.9,7002,0.0,1.0
2012-04-18,28,28.950001,27,27,7646,0.0,1.0
2012-04-19,28,31.200001,27.200001,30.25,206597,0.0,1.0
2012-04-20,30.200001,32,30.200001,30.75,160631,0.0,1.0
2012-04-23,30.6,30.9,29.15,29.450001,22666,0.0,1.0
