date,open,high,low,close,volume,dividend,split
2002-07-01,3.75683,3.85316,3.66051,3.73757,2830,0.0,1.0
2002-07-02,3.805,4.23848,3.70867,4.00729,24856,0.0,1.0
2002-07-03,4.19032,4.42151,4.09399,4.34444,29284,0.0,1.0
2002-07-04,4.33481,4.5082,4.24811,4.28664,36583,0.0,1.0
2002-07-05,4.43114,4.80682,4.25775,4.57563,28554,0.0,1.0
2002-07-08,4.94168,4.99948,4.77792,4.80682,54048,0.0,1.0
2002-07-09,4.92242,4.92242,4.55637,4.566,25231,0.0,1.0
2002-07-10,4.67196,4.73939,4.52747,4.566,10672,0.0,1.0
2002-07-11,4.63343,4.70086,4.38297,4.43114,4187,0.0,1.0
2002-07-12,4.4793,4.6527,4.44077,4.61416,5458,0.0,1.0
2002-07-15,4.5371,4.55637,4.35407,4.37334,2876,0.0,1.0
2002-07-16,4.33481,4.4504,4.16142,4.24811,4676,0.0,1.0
2002-07-17,4.31554,4.31554,4.09399,4.16142,5901,0.0,1.0
2002-07-18,4.33481,4.33481,4.19995,4.21921,4648,0.0,1.0
2002-07-19,4.21921,4.22885,4.12289,4.14215,1947,0.0,1.0
2002-07-22,4.00729,4.09399,3.94949,4.03619,3389,0.0,1.0
2002-07-23,3.96876,4.09399,3.96876,4.02656,2688,0.0,1.0
2002-07-24,3.99766,4.06509,3.90133,3.91096,1609,0.0,1.0
2002-07-25,3.99766,3.99766,3.81463,3.85316,4730,0.0,1.0
2002-07-26,3.85316,3.85316,3.7183,3.75683,2430,0.0,1.0
2002-07-29,3.62197,3.70867,3.51601,3.63161,4734,0.0,1.0
2002-07-30,3.6894,3.6894,3.47748,3.58344,1954,0.0,1.0
2002-07-31,3.38115,3.53528,3.31372,3.49675,2258,0.0,1.0
2002-08-01,3.62197,3.66051,3.38115,3.39078,5224,0.0,1.0
2002-08-02,3.37152,3.46785,3.30409,3.33299,4858,0.0,1.0
2002-08-05,3.41968,3.51601,3.41968,3.46785,6807,0.0,1.0
2002-08-06,3.46785,3.66051,3.46785,3.64124,3873,0.0,1.0
2002-08-07,3.69904,3.7761,3.59308,3.62197,5921,0.0,1.0
2002-08-08,3.56418,3.59308,3.44858,3.46785,2258,0.0,1.0
2002-08-09,3.37152,3.56418,3.37152,3.54491,2809,0.0,1.0
2002-08-12,3.56418,3.56418,3.49675,3.51601,2752,0.0,1.0
