date,open,high,low,close,volume,dividend,split
2002-02-21,45.150002,45.150002,45.150002,45.150002,1,0.0,1.0
2002-04-02,44.75,45,43.349998,43.349998,3,0.0,1.0
2002-04-03,41.650002,41.650002,41.650002,41.650002,100,0.0,1.0
2002-04-30,33.349998,33.349998,33.349998,33.349998,10,0.0,1.0
2002-05-02,26.700001,26.700001,26.700001,26.700001,100,0.0,1.0
2002-05-03,21.4,21.4,21.4,21.4,100,0.0,1.0
2002-05-06,17.15,18.5,17.15,18.5,1700,0.0,1.0
2002-05-07,18,19.950001,16.049999,19.75,300,0.0,1.0
2002-05-08,18.5,18.5,18.5,18.5,70,0.0,1.0
2002-05-09,21.9,22.200001,21,22.200001,1600,0.0,1.0
2002-05-10,24,25.9,21.1,23,4800,0.0,1.0
2002-05-13,25,26.75,22,22,2300,0.0,1.0
2002-05-14,22,23.5,21.700001,23.5,800,0.0,1.0
2002-05-15,22.049999,22.9,22,22,1600,0.0,1.0
2002-05-16,25.5,25.5,21,21,600,0.0,1.0
2002-05-17,22.5,22.5,21.5,22.5,1300,0.0,1.0
2002-05-20,24.450001,24.85,23.1,24.15,5300,0.0,1.0
2002-05-21,23.5,23.5,22.1,22.15,1600,0.0,1.0
2002-05-22,23,24,22.5,23,2500,0.0,1.0
2002-05-23,23,23.75,23,23.75,1100,0.0,1.0
2002-05-24,23.9,24.5,23.1,23.1,800,0.0,1.0
2002-05-27,23.799999,27.700001,23.6,27.700001,16800,0.0,1.0
2002-05-28,32,32.5,28,28.65,17700,0.0,1.0
2002-05-29,34,34,30,32.25,3500,0.0,1.0
2002-05-30,33.5,35,31.5,32.450001,5100,0.0,1.0
2002-05-31,36.950001,38.900002,35.599998,38.75,216800,0.0,1.0
2002-06-03,40.25,46.5,39.099998,46.5,139100,0.0,1.0
2002-06-04,49.400002,55.799999,47.5,55.799999,189100,0.0,1.0
2002-06-05,58.75,66.900002,53.299999,55.5,238700,0.0,1.0
2002-06-06,57,57,44.5,45.400002,87600,0.0,1.0
2002-06-07,46,52.400002,43,47,114800,0.0,1.0
2002-06-10,49.900002,49.900002,45.599998,45.900002,32400,0.0,1.0
2002-06-11,46.400002,47.25,43,44.049999,15200,0.0,1.0
2002-06-12,44.5,44.549999,41.549999,42.299999,15400,0.0,1.0
2002-06-13,42.5,50.75,40.25,50.75,49200,0.0,1.0
2002-06-14,54.849998,55.799999,48.549999,49.450001,71000,0.0,1.0
2002-06-17,50.900002,50.900002,47.150002,47.5,8800,0.0,1.0
2002-06-18,46.549999,47.400002,44.650002,45,10600,0.0,1.0
