date,open,high,low,close,volume,dividend,split
2005-09-21,7.5,9.25,5.55,8.955,249517280,0.0,1.0
2005-09-22,9.22,10.745,9.06,10.745,104218000,0.0,1.0
2005-09-23,10.9425,12.845,8.765,8.89,268382000,0.0,1.0
2005-09-26,9,10.6675,8.135,10.6675,115866000,0.0,1.0
2005-09-27,11.15,12.795,11.15,12.79,92770000,0.0,1.0
2005-09-28,13,14.9475,12.925,14.11,197124000,0.0,1.0
2005-09-29,14.35,15.445,12.7,12.7,220524000,0.0,1.0
2005-09-30,12.5,12.74,11.4325,11.4325,21898000,0.0,1.0
2005-10-03,10.29,10.5,10.29,10.29,2482000,0.0,1.0
2005-10-04,9.3625,10.74,9.2625,9.4525,111646000,0.0,1.0
2005-10-05,9.5,9.94,8.5075,8.5075,66416000,0.0,1.0
2005-10-06,8.15,8.75,8.0825,8.2025,55546000,0.0,1.0
2005-10-07,8.19,8.35,7.7925,7.795,17940000,0.0,1.0
2005-10-10,7.8475,7.895,7.4075,7.4075,9442000,0.0,1.0
2005-10-11,7.49,7.49,7.0375,7.0375,11232000,0.0,1.0
2005-10-13,6.89,6.89,6.6875,6.6875,7866000,0.0,1.0
2005-10-14,6.5,6.5,6.355,6.355,2032000,0.0,1.0
2005-10-17,6.0375,6.655,6.0375,6.1875,23324000,0.0,1.0
2005-10-18,6.25,6.495,6.1375,6.3525,23718000,0.0,1.0
2005-10-19,6.29,6.3,6.035,6.035,4208000,0.0,1.0
2005-10-20,6.05,6.15,5.735,5.735,3080000,0.0,1.0
2005-10-21,5.65,5.65,5.45,5.465,4566000,0.0,1.0
2005-10-24,5.55,5.7375,5.2,5.7375,8354000,0.0,1.0
2005-10-25,6.0225,6.0225,5.4525,5.4525,5696000,0.0,1.0
2005-10-26,5.3925,5.3925,5.18,5.215,6880000,0.0,1.0
2005-10-27,5.275,5.375,5.0575,5.1125,6676000,0.0,1.0
2005-10-28,5.0925,5.1475,4.8575,4.905,6044000,0.0,1.0
2005-10-31,4.9,4.945,4.66,4.68,2242000,0.07298,1.0
2005-11-02,4.7,4.875,4.5425,4.7925,2282660,0.0,1.0
2005-11-07,4.8075,5.0025,4.75,4.87,2254000,0.0,1.0
2005-11-08,4.94,5.07,4.775,4.7975,2094000,0.0,1.0
2005-11-09,4.86,4.9325,4.715,4.74,2074000,0.0,1.0
2005-11-10,4.6175,4.915,4.6175,4.855,4114000,0.0,1.0
2005-11-11,4.9,5.0225,4.8075,4.91,3784000,0.0,1.0
2005-11-14,4.995,5.0475,4.875,4.975,1776000,0.0,1.0
2005-11-16,4.9,5.05,4.89,4.9325,1450000,0.0,1.0
2005-11-17,4.9125,4.98,4.85,4.8725,580000,0.0,1.0
2005-11-18,4.945,4.945,4.725,4.82,1210020,0.0,1.0
2005-11-21,4.8425,4.865,4.6625,4.7025,908000,0.0,1.0
2005-11-22,4.7125,4.8,4.59,4.6225,884000,0.0,1.0
2005-11-23,4.695,4.725,4.625,4.6375,444000,0.0,1.0
2005-11-24,4.65,4.6975,4.6,4.6125,404000,0.0,1.0
2005-11-25,4.6425,4.725,4.61,4.6625,569800,0.0,1.0
2005-11-28,4.7,4.82,4.69,4.705,752000,0.0,1.0
2005-11-29,4.71,4.74,4.62,4.65,6e+05,0.0,1.0
2005-11-30,4.66,4.8825,4.66,4.88,3470000,0.0,1.0
2005-12-01,4.95,5.1225,4.925,5.1225,4086000,0.0,1.0
2005-12-02,5.375,5.3775,5.2775,5.3775,498000,0.0,1.0
2005-12-05,5.645,5.645,5.645,5.645,268000,0.0,1.0
2005-12-06,5.925,5.925,5.3775,5.4025,6138000,0.0,1.0
2005-12-07,5.4475,5.5125,5.28,5.3725,3394000,0.0,1.0
2005-12-08,5.4,5.45,5.3,5.33,1002660,0.0,1.0
2005-12-09,5.3,5.4,5.24,5.26,790000,0.0,1.0
2005-12-12,5.35,5.385,5.15,5.195,770000,0.0,1.0
2005-12-13,5.25,5.25,5.06,5.0725,474000,0.0,1.0
2005-12-14,5.0725,5.1325,4.9275,4.9525,704000,0.0,1.0
2005-12-15,4.9275,5.115,4.875,4.91,1490000,0.0,1.0
2005-12-16,4.95,5.4,4.905,5.4,2522000,0.0,1.0
2005-12-19,5.595,5.9375,5.595,5.9375,9092000,0.0,1.0
2005-12-20,6.155,6.155,5.665,5.705,6278000,0.0,1.0
2005-12-21,5.65,6.21,5.65,6.0175,11518000,0.0,1.0
2005-12-22,6.0675,6.1,5.7625,5.8275,4114000,0.0,1.0
2005-12-23,5.85,5.93,5.65,5.6875,2192000,0.0,1.0
2005-12-26,5.66,5.745,5.405,5.405,1342000,0.0,1.0
2005-12-27,5.2,5.675,5.2,5.5425,3186000,0.0,1.0
2005-12-28,5.54,5.625,5.38,5.4225,1602000,0.0,1.0
2005-12-29,5.45,5.625,5.35,5.455,2102000,0.0,1.0
2005-12-30,5.47,5.7275,5.45,5.485,2802000,0.0,1.0
2006-01-02,5.5225,5.6125,5.475,5.51,1408000,0.0,1.0
2006-01-03,5.56,5.635,5.505,5.585,906000,0.0,1.0
2006-01-04,5.6375,5.65,5.55,5.5625,806000,0.0,1.0
2006-01-05,5.5625,5.68,5.5,5.52,810000,0.0,1.0
2006-01-06,5.46,5.59,5.4,5.4425,846000,0.0,1.0
2006-01-09,5.5125,5.56,5.3775,5.4275,738000,0.0,1.0
2006-01-10,5.48,5.4875,5.3625,5.39,568000,0.0,1.0
2006-01-12,5.2675,5.6425,5.2675,5.4925,1064000,0.0,1.0
2006-01-13,5.5425,5.765,5.505,5.755,4810000,0.0,1.0
2006-01-16,5.8,5.8075,5.625,5.675,1468000,0.0,1.0
2006-01-17,5.705,5.74,5.5,5.56,1570000,0.0,1.0
2006-01-18,5.5,5.605,5.4,5.4225,724000,0.0,1.0
2006-01-19,5.4925,5.6925,5.4925,5.6575,1588000,0.0,1.0
