date,open,high,low,close,volume,dividend,split
2006-12-12,294.468994,304.962006,277.450012,288.501007,192732,0.0,1.0
2006-12-13,288.598999,294.468994,278.761993,293.026001,41474,0.0,1.0
2006-12-14,291.846008,298.403992,289.911011,292.369995,40254,0.0,1.0
2006-12-15,288.566986,294.436005,283.976013,288.730988,82490,0.0,1.0
2006-12-18,292.764008,292.764008,281.188995,285.61499,28208,0.0,1.0
2006-12-19,287.058014,291.026001,278.532013,281.35199,14485,0.0,1.0
2006-12-20,293.157013,293.157013,274.794006,275.908997,12198,0.0,1.0
2006-12-21,288.566986,288.566986,262.333008,267.645996,53062,0.0,1.0
2006-12-22,271.777008,272.826996,258.39801,264.957001,247014,0.0,1.0
2006-12-26,268.497986,291.190002,265.612,267.875,60839,0.0,1.0
2006-12-27,275.450012,282.664001,265.612,267.022003,73189,0.0,1.0
2006-12-28,270.203003,275.384003,263.972992,265.121002,45286,0.0,1.0
2006-12-29,270.661987,291.615997,260.365997,263.218994,325235,0.0,1.0
2007-01-02,269.546997,280.696991,266.957001,276.237,115883,0.0,1.0
2007-01-03,282.007996,296.437012,278.729004,294.01001,136468,0.0,1.0
2007-01-04,298.403992,323.390991,295.125,316.701996,386836,0.0,1.0
2007-01-05,318.07901,345.427002,316.112,332.114014,380737,0.0,1.0
2007-01-08,339.328003,343.885986,316.144012,320.407013,170623,0.0,1.0
2007-01-09,321.390991,329.227997,304.404999,315.390015,133723,0.0,1.0
2007-01-10,318.07901,318.07901,304.962006,307.75,69987,0.0,1.0
2007-01-11,306.996002,317.423004,295.878998,307.881012,87980,0.0,1.0
2007-01-12,313.028992,321.358002,309.618988,314.963989,50318,0.0,1.0
2007-01-15,318.243011,322.670013,310.209015,313.520996,28361,0.0,1.0
2007-01-16,318.07901,318.07901,311.488007,313.915009,52300,0.0,1.0
2007-01-17,316.766998,317.587006,308.437988,310.078003,22414,0.0,1.0
2007-01-18,308.242004,325.292999,304.307007,323.359009,56417,0.0,1.0
2007-01-19,327.227997,331.130005,321.358002,328.769012,52910,0.0,1.0
2007-01-22,332.376007,333.819,318.734985,321.980988,37510,0.0,1.0
2007-01-23,316.766998,320.701996,311.520996,313.520996,10368,0.0,1.0
2007-01-24,315.455994,318.734985,315.455994,317.686005,7624,0.0,1.0
2007-01-25,320.701996,328.899994,318.734985,323.031006,194562,0.0,1.0
2007-01-29,329.227997,330.473999,314.963989,317.029999,26379,0.0,1.0
2007-01-31,313.488007,319.980988,301.19101,304.666992,25464,0.0,1.0
2007-02-01,318.07901,318.07901,308.242004,311.553986,27598,0.0,1.0
2007-02-02,311.553986,314.799988,304.962006,308.143005,15400,0.0,1.0
2007-02-05,311.454987,311.454987,304.307007,306.143005,20280,0.0,1.0
2007-02-06,309.520996,310.86499,304.962006,306.60199,7014,0.0,1.0
2007-02-07,318.014008,318.014008,302.404999,304.011993,11436,0.0,1.0
2007-02-08,319.194,319.194,291.846008,299.15799,38272,0.0,1.0
2007-02-09,301.027008,301.683014,292.174011,294.403992,15095,0.0,1.0
2007-02-12,291.846008,291.846008,275.515991,285.255005,23024,0.0,1.0
2007-02-13,280.040985,302.338989,280.040985,282.074005,51995,0.0,1.0
2007-02-14,283.976013,290.533997,272.235992,282.007996,13266,0.0,1.0
2007-02-15,291.846008,296.468994,290.632996,295.846008,18450,0.0,1.0
2007-02-19,298.403992,304.307007,289.549988,290.533997,14943,0.0,1.0
2007-02-20,288.566986,289.157013,281.156006,285.286987,34612,0.0,1.0
2007-02-21,291.190002,291.846008,282.664001,285.286987,11131,0.0,1.0
2007-02-22,292.108002,292.502014,282.007996,287.123993,15248,0.0,1.0
2007-02-23,288.566986,288.566986,272.17099,278.171997,162389,0.0,1.0
2007-02-26,270.924988,298.403992,268.957001,287.451996,248386,0.0,1.0
2007-02-27,290.337006,301.683014,284.009003,285.942993,57637,0.0,1.0
2007-02-28,285.61499,285.61499,265.612,275.483002,665108,0.0,1.0
2007-03-01,268.891998,275.450012,268.235992,271.744995,25006,0.0,1.0
2007-03-02,271.548004,276.761993,268.891998,275.450012,26226,0.0,1.0
2007-03-05,268.859009,282.007996,255.841003,268.105011,49555,0.0,1.0
2007-03-06,266.924011,272.17099,260.365997,270.859009,60839,0.0,1.0
2007-03-07,262.365997,274.138,262.365997,270.727997,37814,0.0,1.0
2007-03-08,270.203003,276.761993,262.333008,276.761993,17230,0.0,1.0
