date,open,high,low,close,volume,dividend,split
2000-09-28,5.85,5.85,5.85,5.85,100,0.0,1.0
2000-09-29,5.85,5.85,5.85,5.85,0,0.0,1.0
2000-10-02,5.85,5.85,5.85,5.85,0,0.0,1.0
2000-10-03,8.7,8.7,8.7,8.7,50,0.0,1.0
2000-10-04,6.55,6.55,6.55,6.55,300,0.0,1.0
2000-10-05,6.55,6.55,6.55,6.55,0,0.0,1.0
2000-10-06,6.55,6.55,6.55,6.55,0,0.0,1.0
2000-10-09,6.55,6.55,6.55,6.55,0,0.0,1.0
2000-10-10,6.55,6.55,6.55,6.55,0,0.0,1.0
2000-10-11,6.55,6.55,6.55,6.55,100,0.0,1.0
2000-10-12,6.55,6.55,6.55,6.55,0,0.0,1.0
2000-10-13,6.2,6.2,6.2,6.2,1000,0.0,1.0
2000-10-16,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-17,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-18,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-19,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-20,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-23,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-24,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-25,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-26,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-27,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-30,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-10-31,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-01,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-02,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-03,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-06,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-07,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-08,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-09,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-10,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-13,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-14,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-15,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-16,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-17,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-20,6.2,6.2,6.2,6.2,0,0.0,1.0
2000-11-21,6.2,6.2,6.2,6.2,0,0.0,1.0
2002-01-01,2.2,2.2,2.2,2.2,65,0.0,1.0
2002-02-06,2,2,2,2,1,0.0,1.0
2002-02-07,2.4,2.4,2,2,200,0.0,1.0
