date,open,high,low,close,volume,dividend,split
2013-10-01,148,148,140.649994,140.649994,39546,0.0,1.0
2013-10-03,133.649994,133.649994,133.649994,133.649994,32,0.0,1.0
2013-10-04,127,127,127,127,1,0.0,1.0
2013-10-07,120.699997,120.699997,120.699997,120.699997,23,0.0,1.0
2013-10-08,114.699997,114.699997,114.699997,114.699997,506,0.0,1.0
2013-10-09,109,109,109,109,7,0.0,1.0
2013-10-10,103.599998,103.599998,103.599998,103.599998,10001,0.0,1.0
2013-10-11,98.449997,98.449997,98.449997,98.449997,7001,0.0,1.0
2013-10-14,93.550003,98,93.550003,93.550003,28941,0.0,1.0
2013-10-15,88.900002,92,88.900002,88.900002,8965,0.0,1.0
2013-10-17,83.550003,85,80.050003,82.849998,219579,0.0,1.0
2013-10-18,83,83.25,79.349998,82.5,393398,0.0,1.0
2013-10-21,80.5,84,78.099998,83.900002,126906,0.0,1.0
2013-10-22,83.900002,87,76.300003,80.050003,81668,0.0,1.0
2013-10-23,80.5,82.199997,79.550003,79.949997,16518,0.0,1.0
2013-10-24,79.099998,81,77.150002,77.949997,13264,0.0,1.0
2013-10-25,77,77,74.150002,76.150002,63397,0.0,1.0
2013-10-28,75,75.199997,70.300003,73.550003,9951,0.0,1.0
2013-10-29,72,75.900002,70.099998,74.199997,32697,0.0,1.0
2013-10-30,73,74,72.5,73.75,3333,0.0,1.0
2013-10-31,72,73.449997,70.099998,70.650002,15104,0.0,1.0
2013-11-01,70.5,72.5,65.599998,71.5,22179,0.0,1.0
2013-11-05,73.050003,79.699997,71.050003,73.5,37493,0.0,1.0
2013-11-06,73.5,75.5,71.300003,71.800003,7003,0.0,1.0
2013-11-07,71.050003,73.349998,70.699997,73.349998,410805,0.0,1.0
2013-11-08,70.050003,74,70.050003,72.599998,133740,0.0,1.0
2013-11-11,73.699997,74,69,71,3118,0.0,1.0
2013-11-12,71,71.650002,67.5,70.199997,13848,0.0,1.0
2013-11-13,72.5,72.5,68.150002,70.050003,19746,0.0,1.0
2013-11-14,69,71.449997,68.150002,68.5,6080,0.0,1.0
2013-11-18,70.25,73,70.25,71.5,10028,0.0,1.0
2013-11-19,70.449997,75,69.199997,70.150002,30726,0.0,1.0
2013-11-20,68.949997,71.699997,68.550003,68.650002,4652,0.0,1.0
2013-11-21,68.400002,68.75,66.199997,67.550003,5110,0.0,1.0
2013-11-22,65,67.050003,55.299999,62.200001,109118,0.0,1.0
2013-11-25,62.549999,62.549999,58.099998,60.150002,104344,0.0,1.0
2013-11-26,60,61.650002,57.099998,58.950001,165796,0.0,1.0
2013-11-27,57.200001,58.349998,55.5,56.200001,284476,0.0,1.0
2013-11-28,56,67.400002,56,66.849998,1504961,0.0,1.0
2013-11-29,73.949997,73.949997,65,65.900002,281007,0.0,1.0
2013-12-02,65.900002,69.900002,63,67.150002,196373,0.0,1.0
2013-12-03,66,69,64.5,67.75,280900,0.0,1.0
2013-12-04,65.849998,67.5,64.099998,64.900002,161120,0.0,1.0
2013-12-05,64.900002,71.5,64.25,67.050003,33423,0.0,1.0
2013-12-06,65.400002,66.449997,65,65.25,3479,0.0,1.0
2013-12-09,65.099998,68.349998,64.25,68.099998,11684,0.0,1.0
2013-12-10,66.75,70,66.300003,69.800003,14963,0.0,1.0
2013-12-11,67,71.5,67,70.150002,14371,0.0,1.0
2013-12-12,70.5,70.800003,68,69.050003,8189,0.0,1.0
2013-12-13,67,67.300003,66,66.550003,11027,0.0,1.0
2013-12-16,65.150002,67.900002,61.099998,62.549999,9614,0.0,1.0
2013-12-17,65.349998,65.349998,62.200001,63.049999,5983,0.0,1.0
2013-12-18,65.400002,65.400002,61.200001,61.700001,2938,0.0,1.0
2013-12-19,62,63.900002,61.599998,62.549999,5028,0.0,1.0
2013-12-20,61.650002,64.5,61.5,64,13976,0.0,1.0
2013-12-23,65,66.300003,62.549999,66,5289,0.0,1.0
2013-12-24,65,66.849998,64.599998,66.25,4500,0.0,1.0
2013-12-26,65.050003,68.5,65.050003,68,6999,0.0,1.0
2013-12-27,67.199997,71.900002,66.050003,70.050003,6038,0.0,1.0
2013-12-30,72.5,72.5,68.699997,70.150002,6585,0.0,1.0
2013-12-31,70.5,77,70.5,75.800003,26386,0.0,1.0
2014-01-01,79,79,73.5,74.650002,7679,0.0,1.0
2014-01-02,73.5,75.949997,72,72.349998,56650,0.0,1.0
2014-01-03,74.349998,75,70.099998,74.349998,35828,0.0,1.0
2014-01-06,76,77.150002,73.650002,74.849998,8970,0.0,1.0
2014-01-07,75.150002,76.949997,73.5,74.650002,4221,0.0,1.0
2014-01-08,76.099998,77.5,72.599998,75.199997,19291,0.0,1.0
2014-01-09,75.400002,75.800003,71.25,71.949997,7998,0.0,1.0
2014-01-10,71.400002,74.150002,70.25,70.300003,6512,0.0,1.0
2014-01-13,70.300003,71.199997,68.75,69.699997,9048,0.0,1.0
2014-01-14,68.400002,72.5,67.650002,68.099998,10220,0.0,1.0
2014-01-15,67.599998,72,67.599998,68.400002,9118,0.0,1.0
2014-01-16,69.349998,69.599998,68,68.349998,1694,0.0,1.0
2014-01-17,68,72.900002,67.599998,67.75,1933,0.0,1.0
2014-01-20,67.5,72.449997,66.400002,68.800003,1853,0.0,1.0
2014-01-21,68.5,69,66.599998,68,3119,0.0,1.0
2014-01-22,67.199997,70.449997,67.150002,68.400002,2198,0.0,1.0
2014-01-23,68.099998,69.949997,68,68.400002,9928,0.0,1.0
