date,open,high,low,close,volume,dividend,split
2017-12-18,674,698.700012,660.049988,685.799988,930375,0.0,1.0
2017-12-19,692.400024,692.75,670.099976,684.25,214084,0.0,1.0
2017-12-20,685,689.400024,678.200012,680.549988,42767,0.0,1.0
2017-12-21,680,683.549988,675,677.849976,19691,0.0,1.0
2017-12-22,680,686,667.049988,681.950012,43246,0.0,1.0
2017-12-26,686.700012,686.700012,678,681.5,17056,0.0,1.0
2017-12-27,677.049988,682,677.049988,680,15504,0.0,1.0
2017-12-28,680,684.849976,675.049988,679.450012,17424,0.0,1.0
2017-12-29,679.549988,680.75,672,678.25,18520,0.0,1.0
2018-01-01,679.5,682.900024,673.349976,680.549988,15677,0.0,1.0
2018-01-02,678,680.799988,671.25,679.599976,16921,0.0,1.0
2018-01-03,680.25,680.650024,674,676.650024,7030,0.0,1.0
2018-01-04,677.049988,683,675,682.099976,12728,0.0,1.0
2018-01-05,680.049988,681,678.549988,680.049988,7431,0.0,1.0
2018-01-08,680.200012,681.900024,677.049988,679.650024,10335,0.0,1.0
2018-01-09,681.75,684.75,679.299988,680,8366,0.0,1.0
2018-01-10,677.049988,689.849976,677.049988,680,9208,0.0,1.0
2018-01-11,680,703.900024,679.549988,700.849976,23939,0.0,1.0
2018-01-12,705,738,699.650024,717.150024,62841,0.0,1.0
2018-01-15,720.549988,750,708,716,168452,0.0,1.0
2018-01-16,721.599976,721.900024,680,685.650024,18425,0.0,1.0
2018-01-17,687,698,680.549988,688.849976,8746,0.0,1.0
2018-01-18,700,705,675,682.599976,183036,0.0,1.0
2018-01-19,682.599976,688,665,674.299988,7692,0.0,1.0
2018-01-22,668.200012,698.799988,668.200012,695.150024,4923,0.0,1.0
2018-01-23,696.299988,696.299988,680,683.799988,1953,0.0,1.0
2018-01-24,685.400024,688,677.5,685.25,2419,0.0,1.0
2018-01-25,687.950012,695,682.5,689,4891,0.0,1.0
2018-01-29,704,713.650024,682.25,684.75,7152,0.0,1.0
2018-01-30,685,685,668.950012,673.799988,4182,0.0,1.0
2018-01-31,670,687,661.700012,682.799988,4467,0.0,1.0
2018-02-01,679.849976,695,663,688.099976,4879,0.0,1.0
2018-02-02,674,678.849976,653.25,673.849976,8262,0.0,1.0
2018-02-05,659.950012,670,655.450012,665.799988,2635,0.0,1.0
2018-02-06,650.799988,672,645.25,661.200012,4137,0.0,1.0
2018-02-07,665,670.299988,652,667.25,1842,0.0,1.0
2018-02-08,663.849976,680.900024,654.049988,673.799988,2946,0.0,1.0
2018-02-09,661.450012,679.799988,661.400024,673.900024,2208,0.0,1.0
2018-02-12,674,690,665,685.75,4449,0.0,1.0
2018-02-14,685.700012,688,672,684.450012,1783,0.0,1.0
2018-02-15,673.900024,685.599976,672,676.349976,877,0.0,1.0
2018-02-16,673.349976,673.349976,660.25,662.049988,981,0.0,1.0
2018-02-19,660.049988,665,647,661.75,1748,0.0,1.0
2018-02-20,656.650024,661.950012,652,653.599976,432,0.0,1.0
2018-02-21,655.299988,655.299988,645,648.5,589,0.0,1.0
2018-02-22,647,650.75,645.049988,645.400024,505,0.0,1.0
2018-02-23,648,652,645.150024,648.75,713,0.0,1.0
2018-02-26,651,654.950012,645,648.950012,586,0.0,1.0
2018-02-27,650,653.5,647,647.099976,820,0.0,1.0
2018-02-28,641.099976,675.5,641,666.950012,3907,0.0,1.0
2018-03-01,660,671.799988,660,670,168835,0.0,1.0
2018-03-05,656.25,680,653.700012,664.950012,174281,0.0,1.0
2018-03-06,668,689,660.099976,663.200012,1733,0.0,1.0
2018-03-07,662.150024,675,656.75,673.099976,4102,0.0,1.0
2018-03-08,675,680,660,675.349976,5588,0.0,1.0
2018-03-09,679.200012,679.200012,639,667.849976,1987,0.0,1.0
2018-03-12,680,681.5,672,679.099976,3152,0.0,1.0
2018-03-13,677.25,688,666,677.5,5956,0.0,1.0
2018-03-14,682.349976,700,670,678.900024,8240,0.0,1.0
2018-03-15,681.150024,715,681.150024,709.599976,11299,0.0,1.0
2018-03-16,710.049988,711.599976,694,705.599976,5496,0.0,1.0
2018-03-19,707,707,686.599976,694.900024,185759,0.0,1.0
2018-03-20,701.75,701.75,686.150024,693.75,1229,0.0,1.0
2018-03-21,694.049988,700,687,695.200012,623,0.0,1.0
2018-03-22,699.75,701,678.549988,688.700012,946,0.0,1.0
2018-03-23,670.650024,683,662.400024,665.700012,643,0.0,1.0
2018-03-26,667.849976,669.650024,660,664.099976,547,0.0,1.0
2018-03-27,663.849976,670,656.400024,665.700012,894,0.0,1.0
2018-03-28,657.549988,665,650,663,2075,0.0,1.0
2018-04-02,669.950012,670.049988,659.299988,665.25,590,0.0,1.0
2018-04-03,669,672,665,666.099976,918,0.0,1.0
2018-04-04,669.049988,670.400024,665.549988,666.75,573,0.0,1.0
2018-04-05,667,675,666,666.900024,1113,0.0,1.0
2018-04-06,660.200012,683.25,660.200012,675.700012,1126,0.0,1.0
2018-04-09,678.5,678.5,667.799988,668,329,0.0,1.0
2018-04-10,680,711.950012,678,685.599976,4123,0.0,1.0
2018-04-11,681.150024,698.599976,672.849976,694.75,2725,0.0,1.0
2018-04-12,680.400024,697,680.400024,693.5,1080,0.0,1.0
2018-04-13,688,696.950012,681.349976,690.299988,1202,0.0,1.0
2018-04-16,680.549988,689.200012,677.049988,678.5,848,0.0,1.0
2018-04-17,680,685,675,678.400024,847,0.0,1.0
2018-04-18,690.049988,699,672,678.950012,2715,0.0,1.0
2018-04-19,685,701.950012,682,695.5,2660,0.0,1.0
2018-04-20,701,725,687.650024,705.150024,3503,0.0,1.0
2018-04-23,702.400024,721,699.099976,715.950012,3450,0.0,1.0
2018-04-24,713,725,711.349976,721.049988,3809,0.0,1.0
2018-04-25,720,725,707.599976,714.799988,5882,0.0,1.0
2018-04-26,714.799988,720,694,699.900024,2523,0.0,1.0
2018-04-27,697.299988,701.900024,686,699.75,3777,0.0,1.0
2018-04-30,700.549988,704.349976,690.099976,693.549988,1011,0.0,1.0
2018-05-02,695,695,675,683.450012,1221,0.0,1.0
2018-05-03,688.599976,688.599976,679,679.5,325,0.0,1.0
2018-05-04,682.5,690,661.849976,673.450012,373,0.0,1.0
2018-05-07,690,692.599976,676,680.099976,687,0.0,1.0
2018-05-08,683.349976,685,680,681.700012,591,0.0,1.0
2018-05-09,677.799988,680,671.700012,675.150024,531,0.0,1.0
2018-05-10,680.049988,697.950012,680,683.950012,3641,0.0,1.0
2018-05-11,693.25,693.25,670.200012,674.150024,286,0.0,1.0
2018-05-14,672.799988,672.799988,665.150024,668.450012,307,0.0,1.0
2018-05-15,669,670.599976,661.099976,663.599976,888,0.0,1.0
2018-05-16,664,670.549988,656.049988,659.950012,379,0.0,1.0
2018-05-17,665.299988,674.950012,663.150024,668.450012,364,0.0,1.0
2018-05-18,668.549988,690.799988,662,670.75,129783,0.0,1.0
2018-05-21,662.049988,670.5,658.150024,666.299988,597,0.0,1.0
2018-05-22,657,664,654.650024,656.950012,358,0.0,1.0
2018-05-23,656.599976,664.150024,654.049988,656.049988,655,0.0,1.0
2018-05-24,656,664,654.349976,656.150024,215,0.0,1.0
2018-05-25,658.900024,658.900024,650.400024,652.25,271,0.0,1.0
2018-05-28,656.299988,656.299988,647.049988,650,1045,0.0,1.0
2018-05-29,654.900024,672.450012,654,668.700012,627,0.0,1.0
2018-05-30,670,678.349976,666.5,674.849976,438,0.0,1.0
2018-05-31,671,676,671,675,265,0.0,1.0
2018-06-01,680.900024,699,665.049988,688.25,1649,0.0,1.0
2018-06-04,694.950012,702.700012,665,686.950012,1181,0.0,1.0
2018-06-05,675.599976,680,666.099976,669.150024,370,0.0,1.0
2018-06-06,662.150024,695,661,683.299988,877,0.0,1.0
2018-06-07,699,709.5,672,680.349976,1299,0.0,1.0
2018-06-08,673.450012,673.450012,655.700012,665.650024,1530,0.0,1.0
2018-06-11,680,680,661.049988,667.349976,1272,0.0,1.0
2018-06-12,655.200012,662,644,647.099976,1204,0.0,1.0
2018-06-13,647.450012,669.950012,646,663.349976,529,0.0,1.0
2018-06-14,649,649,620,631.150024,3024,0.0,1.0
2018-06-15,632.150024,639.849976,624.400024,628.25,261,0.0,1.0
2018-06-18,620,662.950012,620,656.150024,3307,0.0,1.0
2018-06-19,645.049988,666,645.049988,662.549988,3010,0.0,1.0
2018-06-20,664.950012,677.150024,654,674.549988,1581,0.0,1.0
2018-06-21,669,750,656.099976,723.049988,9415,0.0,1.0
