date,open,high,low,close,volume,dividend,split
2005-12-30,15.625,15.75,14.55,15.325,739800,0.0,1.0
2006-01-02,15.5,15.675,15.325,15.425,583400,0.0,1.0
2006-01-03,15.6,15.6,15.05,15.175,188200,0.0,1.0
2006-01-04,15.4,15.45,14.875,15.1,156600,0.0,1.0
2006-01-05,15.5,15.5,14.85,14.95,173400,0.0,1.0
2006-01-06,14.8,15.15,14.575,14.7,148000,0.0,1.0
2006-01-09,14.75,14.75,14.05,14.275,115200,0.0,1.0
2006-01-10,14.5,14.5,13.775,13.95,205400,0.0,1.0
2006-01-12,13.975,14.225,13.2,13.3,257200,0.0,1.0
2006-01-13,13.5,14,13.4,13.5,175800,0.0,1.0
2006-01-16,13.95,13.95,13.375,13.5,77800,0.0,1.0
2006-01-17,13.1,13.5,12.85,12.975,84400,0.0,1.0
2006-01-18,12.75,13,12.55,12.6,140400,0.0,1.0
2006-01-19,12.9,15.1,12.9,15.1,2034400,0.0,1.0
2006-01-20,15.5,15.9,14.3,14.45,1498800,0.0,1.0
2006-01-23,14.45,15.95,13.575,15.15,791600,0.0,1.0
2006-01-24,15.4,15.65,15,15.475,844200,0.0,1.0
2006-01-25,15.85,15.85,14.55,14.7,384600,0.0,1.0
2006-01-27,14.5,14.5,13.8,14,374400,0.0,1.0
2006-01-30,13.9,14.45,13.25,13.35,175000,0.0,1.0
2006-01-31,13.5,13.725,12.975,13.075,227000,0.0,1.0
2006-02-01,13.3,13.35,12.025,12.25,201400,0.0,1.0
2006-02-02,12.85,12.85,12.2,12.325,535600,0.0,1.0
2006-02-03,12.25,12.9,12.25,12.65,120600,0.0,1.0
2006-02-06,12.875,12.875,12.375,12.4,138200,0.0,1.0
2006-02-07,12.95,13.5,12.4,13.2,321000,0.0,1.0
2006-02-08,13,13.45,12.75,13.1,187400,0.0,1.0
2006-02-10,13.4,13.9,13,13.125,106600,0.0,1.0
2006-02-13,13.25,13.25,12.875,13,77400,0.0,1.0
2006-02-14,13,13.15,12.825,12.875,75000,0.0,1.0
2006-02-15,13.125,13.3,12.65,12.75,116600,0.0,1.0
2006-02-16,13.25,13.25,12.775,12.95,75600,0.0,1.0
2006-02-17,12.9,13,12.5,12.525,82200,0.0,1.0
2006-02-20,12.55,12.75,12.1,12.5,139800,0.0,1.0
2006-02-21,12.575,12.675,12.25,12.3,121600,0.0,1.0
2006-02-22,12.4,12.7,12.35,12.4,117200,0.0,1.0
2006-02-23,12.5,12.95,12.425,12.825,167600,0.0,1.0
2006-02-24,13.025,13.9,12.825,13.225,545000,0.0,1.0
2006-02-27,13.5,13.9,13.5,13.725,355800,0.0,1.0
2006-02-28,13.975,14.75,13.525,14.35,574400,0.0,1.0
2006-03-01,14.625,14.65,14,14.15,220000,0.0,1.0
2006-03-02,14.35,14.7,14.125,14.275,199600,0.0,1.0
2006-03-03,14.3,15.2,14.25,14.625,608800,0.0,1.0
2006-03-06,15,15.35,14.75,14.975,341000,0.0,1.0
2006-03-07,15.1,15.25,14.55,14.75,260400,0.0,1.0
2006-03-08,15.2,15.2,14.25,14.3,184600,0.0,1.0
2006-03-09,14.5,14.5,14,14.25,100800,0.0,1.0
2006-03-10,15,15.25,14.15,14.15,130800,0.0,1.0
2006-03-13,14.025,14.75,14.025,14.25,145600,0.0,1.0
2006-03-14,13.75,14.3,13.75,13.85,110400,0.0,1.0
2006-03-16,14.25,14.425,13.75,13.775,87000,0.0,1.0
2006-03-17,13.125,14.275,13.125,14.175,307600,0.0,1.0
2006-03-20,14.125,15.325,14.025,15.025,497600,0.0,1.0
2006-03-21,15.45,15.725,14.325,14.675,514200,0.0,1.0
2006-03-22,14.8,14.8,14.025,14.125,129200,0.0,1.0
2006-03-23,14.35,14.5,14.025,14.075,126200,0.0,1.0
2006-03-24,14.425,14.45,13.75,14,68800,0.0,1.0
2006-03-27,13.85,14.45,13.85,14.1,107800,0.0,1.0
2006-03-28,14.15,14.45,13.75,13.85,127200,0.0,1.0
2006-03-29,14,14.225,13.875,13.925,40600,0.0,1.0
2006-03-30,13.5,16.700001,12.7,16.700001,1191400,0.0,1.0
2006-03-31,16.4,19.450001,15.875,16.924999,1378600,0.0,1.0
2006-04-03,17.25,17.9,16.924999,17.025,467000,0.0,1.0
2006-04-04,17.049999,17.125,16.25,16.4,237200,0.0,1.0
2006-04-05,16.5,16.75,16.325001,16.4,183200,0.0,1.0
2006-04-07,16.450001,16.6,15.55,15.8,250600,0.0,1.0
2006-04-10,15.15,15.9,15,15.3,232600,0.0,1.0
2006-04-12,15.4,16.1,14.55,14.775,260600,0.0,1.0
2006-04-13,14.875,14.975,14.25,14.425,178600,0.0,1.0
2006-04-17,14.5,15.25,14.5,14.75,203200,0.0,1.0
2006-04-18,15.5,17.700001,15.5,17.700001,633600,0.0,1.0
2006-04-19,18.975,20.700001,18.9,19.775,2637600,0.0,1.0
2006-04-20,20.125,20.125,18.275,18.950001,583200,0.0,1.0
2006-04-21,19.4,19.4,18.25,18.4,315800,0.0,1.0
2006-04-24,18.5,21.700001,18.025,20,1103600,0.0,1.0
2006-04-25,20,21.625,19.5,19.65,878200,0.0,1.0
2006-04-26,19.85,20.5,19.575001,19.825001,327200,0.0,1.0
2006-04-27,20,20.375,19.025,19.1,278200,0.0,1.0
2006-04-28,18.5,20.475,17,19.275,368800,0.0,1.0
2006-05-02,20.049999,20.225,19.25,19.5,194000,0.0,1.0
2006-05-03,19.9,20.5,19.1,19.775,359000,0.0,1.0
2006-05-04,20.4,20.4,18.825001,18.924999,309400,0.0,1.0
2006-05-05,19,19.85,18.549999,18.674999,163000,0.0,1.0
2006-05-08,19,19.35,18.75,18.875,167800,0.0,1.0
2006-05-09,19,19.35,18.5,18.65,128600,0.0,1.0
2006-05-10,18.85,19.85,18.65,18.775,391400,0.0,1.0
2006-05-11,19.174999,19.200001,18,18.525,156200,0.0,1.0
2006-05-12,18.25,19.5,18.200001,18.475,282400,0.0,1.0
2006-05-15,18.674999,18.85,17,17.424999,194200,0.0,1.0
2006-05-16,19,19,15.75,17.375,234000,0.0,1.0
2006-05-17,18,18.200001,17.4,17.625,187800,0.0,1.0
2006-05-18,17.625,17.625,14.275,15.375,293200,0.0,1.0
2006-05-19,16,17.5,15,15.5,225000,0.0,1.0
2006-05-22,15.75,16.375,12.75,14.25,283000,0.0,1.0
2006-05-23,13.5,15.5,13.25,15.25,170200,0.0,1.0
2006-05-24,16.049999,16.424999,15,15.4,180200,0.0,1.0
2006-05-25,14.75,15.45,14.275,14.775,208200,0.0,1.0
2006-05-26,15,15.5,14.8,15,156000,0.0,1.0
2006-05-29,15.05,18,15.05,18,847600,0.0,1.0
2006-05-30,19,19.5,17.525,17.9,2007200,0.0,1.0
2006-05-31,17.799999,17.799999,16.25,16.625,536400,0.0,1.0
2006-06-01,16.975,17.9,16.549999,16.65,552600,0.0,1.0
2006-06-02,16.25,16.75,14.775,15.85,348600,0.0,1.0
2006-06-05,16,17,15.5,15.675,410400,0.0,1.0
2006-06-06,15.175,15.3,14.625,14.8,220000,0.0,1.0
2006-06-07,14.35,14.95,13.1,13.6,236400,0.0,1.0
2006-06-08,13.075,13.125,11.75,11.9,304400,0.0,1.0
2006-06-09,11.55,13.45,11.55,13.025,210400,0.0,1.0
2006-06-12,13.5,13.975,12.6,13.025,209800,0.0,1.0
2006-06-13,12.125,12.675,11.725,11.85,146400,0.0,1.0
2006-06-14,12.475,13,11.15,11.6,175600,0.0,1.0
2006-06-19,12.125,12.7,12.125,12.6,73000,0.0,1.0
2006-06-20,12.025,12.7,12.025,12.6,69600,0.0,1.0
2006-06-21,12.75,13.55,12.6,13.325,185000,0.0,1.0
2006-06-22,13.7,15.9,13.475,14.675,644600,0.0,1.0
2006-06-23,14.2,16.049999,14,15.25,369000,0.0,1.0
2006-06-26,15.95,16,14.075,14.15,119000,0.0,1.0
2006-06-27,14,14.55,13.6,13.975,97800,0.0,1.0
2006-06-28,13.55,14.575,13.55,14.1,126600,0.0,1.0
2006-06-29,14.7,14.7,13.925,14.05,75800,0.0,1.0
2006-06-30,14.5,14.725,13.9,14.225,142000,0.0,1.0
2006-07-03,14.3,15.225,14.275,14.825,197600,0.0,1.0
2006-07-04,14.975,15.175,14.6,14.7,89200,0.0,1.0
2006-07-05,14.95,14.95,14.4,14.5,50400,0.24507,1.0
2006-07-06,14.5,14.5,14.175,14.3,38800,0.0,1.0
2006-07-07,14.5,14.625,13.825,13.925,68800,0.0,1.0
2006-07-10,13.875,14.05,13.7,13.75,22000,0.0,1.0
2006-07-11,13.9,14.2,13.7,13.7,15000,0.0,1.0
2006-07-12,13.75,14.1,13.25,13.725,36000,0.0,1.0
2006-07-13,13.65,14.075,13.65,14.075,35000,0.0,1.0
2006-07-14,13.825,14.3,13.525,14.25,44400,0.0,1.0
2006-07-17,14.2,14.25,13.5,13.55,25600,0.0,1.0
2006-07-18,13.525,13.75,13.075,13.225,23600,0.0,1.0
2006-07-19,13.7,13.7,12.375,12.7,53800,0.0,1.0
2006-07-20,12.75,13,12.55,12.725,39200,0.0,1.0
2006-07-21,12.9,12.9,12,12.25,38800,0.0,1.0
2006-07-24,12.5,12.55,12,12.35,62000,0.0,1.0
2006-07-25,12.525,12.65,12.275,12.45,11200,0.0,1.0
2006-07-26,12.35,13.25,12.125,12.875,66600,0.0,1.0
2006-07-27,12.625,13.25,12.625,12.9,38200,0.0,1.0
2006-07-28,13.05,13.125,12.725,12.875,30600,0.0,1.0
2006-07-31,13,13.15,12.75,12.85,49200,0.0,1.0
2006-08-01,13.15,13.15,12.625,12.8,28200,0.0,1.0
2006-08-02,13,13.125,12.75,13.05,49600,0.0,1.0
2006-08-03,13.05,14.75,13.05,13.95,369400,0.0,1.0
2006-08-04,14.15,14.25,13.25,13.55,109800,0.0,1.0
2006-08-07,13.75,14.125,13.4,13.825,256200,0.0,1.0
2006-08-08,13.75,14.05,13.675,13.925,75000,0.0,1.0
2006-08-09,13.75,14.225,13.75,13.875,57200,0.0,1.0
2006-08-10,13.925,14.2,13.5,13.6,206400,0.0,1.0
2006-08-11,13.95,14.15,13.75,14.025,114800,0.0,1.0
2006-08-14,14.25,15.4,14.025,14.6,288200,0.0,1.0
2006-08-16,14.9,15.875,14.75,15.15,391600,0.0,1.0
2006-08-17,15.175,15.3,14.325,14.625,201000,0.0,1.0
2006-08-18,14.575,14.85,14.425,14.575,62600,0.0,1.0
2006-08-21,14.525,14.975,14.425,14.55,250800,0.0,1.0
2006-08-22,15.075,15.075,14.35,14.575,60000,0.0,1.0
2006-08-23,14.9,14.9,14.3,14.5,35200,0.0,1.0
2006-08-24,14.9,14.9,14.25,14.65,27000,0.0,1.0
2006-08-25,14.4,14.85,14.4,14.8,63400,0.0,1.0
2006-08-28,14.8,14.825,14.6,14.8,39000,0.0,1.0
2006-08-29,14.9,15.225,14.65,14.675,50400,0.0,1.0
2006-08-30,14.775,15.75,14.775,15.05,164200,0.0,1.0
2006-08-31,15.325,15.825,15.225,15.325,167400,0.0,1.0
2006-09-01,15.2,15.35,14.8,15,48800,0.0,1.0
2006-09-04,15.35,15.35,14.65,14.95,56600,0.0,1.0
2006-09-05,14.975,15,14.675,14.825,47200,0.0,1.0
2006-09-06,14.875,15,14.5,14.65,65000,0.0,1.0
2006-09-07,14.975,15.375,14.625,14.9,131200,0.0,1.0
2006-09-08,15,16.4,14.95,16.225,556200,0.0,1.0
2006-09-11,16.325001,17.125,15.275,15.525,840800,0.0,1.0
2006-09-12,15.9,15.9,15.15,15.725,148600,0.0,1.0
2006-09-13,16,16.5,15.8,15.875,229400,0.0,1.0
2006-09-14,16.075001,16.225,15.5,15.75,61200,0.0,1.0
2006-09-15,15.8,15.8,15.325,15.475,55400,0.0,1.0
2006-09-18,15.75,16.1,14.775,15.9,215400,0.0,1.0
2006-09-19,16.049999,17,15.85,16.375,437600,0.0,1.0
2006-09-20,19.65,19.65,17.5,18.725,2983400,0.0,1.0
2006-09-21,19,19.200001,17.275,17.475,930200,0.0,1.0
2006-09-22,17.450001,18.475,17.325001,17.775,819200,0.0,1.0
2006-09-25,18.049999,18.225,17.200001,17.375,317400,0.0,1.0
2006-09-26,17.575001,17.674999,16.674999,16.799999,153800,0.0,1.0
2006-09-27,17.15,18.225,17.049999,17.424999,547800,0.0,1.0
2006-09-28,17.625,17.924999,17.25,17.299999,213600,0.0,1.0
2006-09-29,17.5,17.875,17.025,17.475,238200,0.0,1.0
2006-10-03,17.5,17.775,17.275,17.375,98000,0.0,1.0
2006-10-04,17.450001,17.450001,16.924999,17,80600,0.0,1.0
2006-10-05,17.299999,17.6,17,17.35,168200,0.0,1.0
2006-10-06,16.875,18.75,16.875,18.125,847400,0.0,1.0
2006-10-09,18.25,19.225,18.1,18.85,635000,0.0,1.0
2006-10-10,19.200001,19.200001,18.575001,18.674999,232600,0.0,1.0
2006-10-11,18.9,19,18,18.075001,160800,0.0,1.0
2006-10-12,17.85,18.625,17.799999,18,196000,0.0,1.0
2006-10-13,18.5,18.5,17.700001,17.75,117800,0.0,1.0
2006-10-16,17.674999,18.1,17.674999,17.674999,119000,0.0,1.0
2006-10-17,17.775,18.25,17.775,18.1,147200,0.0,1.0
2006-10-18,18.1,18.25,17.85,18.025,118800,0.0,1.0
2006-10-19,18.225,18.225,17.424999,17.5,68000,0.0,1.0
2006-10-20,18.075001,18.075001,17.525,17.799999,46400,0.0,1.0
2006-10-23,17.975,18,17.549999,17.65,60600,0.0,1.0
2006-10-26,17.9,17.9,17.25,17.325001,52800,0.18711,1.0
2006-10-27,18.225,18.225,17.025,17.025,45600,0.0,1.0
2006-10-30,16.875,17.6,16.875,16.875,87600,0.0,1.0
2006-10-31,17.25,17.725,16.525,16.65,92200,0.0,1.0
2006-11-01,16.75,16.799999,16,16.075001,79600,0.0,1.0
2006-11-02,16.25,17.200001,16.15,16.575001,110200,0.0,1.0
2006-11-03,16.9,16.9,16.299999,16.6,55000,0.0,1.0
2006-11-06,16.475,16.65,16.1,16.200001,73000,0.0,1.0
2006-11-07,17.1,17.1,16.25,16.424999,114400,0.0,1.0
2006-11-08,16.15,16.6,15.9,16,44000,0.0,1.0
2006-11-09,16.15,16.5,15.75,15.9,51600,0.0,1.0
2006-11-10,15.825,16.475,15.7,15.875,65400,0.0,1.0
2006-11-13,16.225,16.325001,15.7,15.775,36000,0.0,1.0
2006-11-14,16,16.1,15.65,15.775,49600,0.0,1.0
2006-11-15,15.875,15.875,15.2,15.3,108200,0.0,1.0
2006-11-16,15.375,15.7,15.075,15.125,50200,0.0,1.0
2006-11-17,15.475,15.475,14.75,14.8,53400,0.0,1.0
2006-11-20,14.975,15.2,14.425,15.05,52400,0.0,1.0
2006-11-21,15.75,15.9,15.375,15.475,114200,0.0,1.0
2006-11-22,15.75,15.75,15.275,15.375,32200,0.0,1.0
2006-11-23,15.2,15.425,14.875,15,27200,0.0,1.0
