date,open,high,low,close,volume,dividend,split
2002-01-04,4.5824,4.864,4.5824,4.864,156,0.0,1.0
2002-01-08,3.9168,3.9168,3.9168,3.9168,391,0.0,1.0
2002-01-16,3.84,3.84,3.84,3.84,391,0.0,1.0
2002-01-17,3.7376,3.7376,3.712,3.712,195,0.0,1.0
2002-01-18,3.584,3.84,3.584,3.84,977,0.0,1.0
2002-01-23,3.712,3.9168,3.712,3.9168,2148,0.0,1.0
2002-01-24,3.7632,3.84,3.7632,3.84,1758,0.0,1.0
2002-01-25,3.84,3.84,3.712,3.712,3125,0.0,1.0
2002-01-31,3.584,3.584,3.584,3.584,781,0.0,1.0
2002-02-05,3.584,3.584,3.584,3.584,195,0.0,1.0
2002-02-12,3.4816,3.4816,3.456,3.456,781,0.0,1.0
2002-02-13,3.328,3.328,3.328,3.328,3125,0.0,1.0
2002-02-19,3.328,3.3536,3.328,3.328,1367,0.0,1.0
2002-02-20,3.328,3.3536,3.328,3.3536,2539,0.0,1.0
2002-02-21,3.4816,3.4816,3.4304,3.4816,4492,0.0,1.0
2002-02-27,3.3536,3.3536,3.3536,3.3536,2148,0.0,1.0
2002-03-04,3.4816,3.4816,3.4816,3.4816,195,0.0,1.0
2002-03-05,3.3536,3.584,3.3536,3.3792,9961,0.0,1.0
2002-03-06,3.4816,3.5072,3.4816,3.5072,4102,0.0,1.0
2002-03-07,3.3792,3.4816,3.3792,3.3792,3906,0.0,1.0
2002-03-08,3.5072,3.5072,3.3536,3.5072,13672,0.0,1.0
2002-03-11,3.5072,3.5584,3.5072,3.5584,1758,0.0,1.0
2002-03-12,3.5584,3.5584,3.5328,3.5584,2734,0.0,1.0
2002-03-13,3.5328,3.5584,3.5328,3.5584,1172,0.0,1.0
2002-03-14,3.584,3.6608,3.584,3.6608,391,0.0,1.0
2002-03-15,3.584,3.584,3.5328,3.5328,1953,0.0,1.0
2002-03-18,3.6608,3.6608,3.584,3.584,10156,0.0,1.0
2002-03-19,3.6352,3.6864,3.584,3.6352,1172,0.0,1.0
2002-03-20,3.6352,3.6352,3.5328,3.5328,2539,0.0,1.0
2002-03-21,3.5328,3.5328,3.5328,3.5328,195,0.0,1.0
2002-03-22,3.6608,3.6608,3.6608,3.6608,391,0.0,1.0
2002-03-26,3.5584,3.5584,3.5584,3.5584,2148,0.0,1.0
2002-03-27,3.584,3.584,3.584,3.584,391,0.0,1.0
2002-04-01,3.3792,3.3792,3.3792,3.3792,391,0.0,1.0
2002-04-02,3.5072,3.5072,3.5072,3.5072,977,0.0,1.0
2002-04-03,3.456,3.6352,3.456,3.6352,2148,0.0,1.0
2002-04-04,3.7632,3.7632,3.7632,3.7632,3906,0.0,1.0
2002-04-05,3.8144,3.8912,3.712,3.712,10156,0.0,1.0
2002-04-08,3.7888,3.84,3.712,3.712,29492,0.0,1.0
2002-04-10,3.1488,3.1488,3.1488,3.1488,195,0.0,1.0
2002-04-11,3.712,3.712,3.712,3.712,391,0.0,1.0
2002-04-12,3.456,3.8144,3.4048,3.5072,6836,0.0,1.0
2002-04-15,3.712,3.712,3.712,3.712,391,0.0,1.0
2002-04-16,3.584,3.8656,3.584,3.8656,1953,0.0,1.0
2002-04-17,3.584,3.8912,3.584,3.8912,1367,0.0,1.0
2002-04-18,3.7632,3.84,3.712,3.712,4492,0.0,1.0
2002-04-19,3.8912,3.8912,3.6864,3.712,2734,0.0,1.0
2002-04-22,3.8656,3.8656,3.8656,3.8656,98,0.0,1.0
2002-04-23,4.0448,4.224,3.584,3.6352,977,0.0,1.0
2002-05-07,3.1744,3.4304,3.1744,3.4304,3125,0.0,1.0
2002-05-08,3.584,3.6096,3.584,3.6096,1953,0.0,1.0
2002-05-09,3.6608,3.84,3.6352,3.84,7227,0.0,1.0
2002-05-10,3.456,3.456,3.456,3.456,977,0.0,1.0
2002-05-21,2.944,2.944,2.944,2.944,977,0.0,1.0
2002-05-24,3.4304,3.5328,3.4304,3.5328,3906,0.0,1.0
2002-05-29,3.1744,3.1744,3.1488,3.1488,98,0.0,1.0
2002-06-11,3.7632,3.7632,3.7632,3.7632,781,0.0,1.0
2002-06-13,3.584,3.584,3.584,3.584,977,0.0,1.0
2002-06-14,3.7376,4.0192,3.6352,4.0192,977,0.0,1.0
2002-06-18,3.84,3.84,3.84,3.84,586,0.0,1.0
2002-06-21,4.096,4.096,4.096,4.096,1172,0.0,1.0
2002-06-25,3.6608,3.8144,3.6608,3.7376,586,0.0,1.0
2002-06-26,3.84,3.84,3.84,3.84,1367,0.0,1.0
2002-07-01,3.7888,3.84,3.584,3.584,2930,0.0,1.0
2002-07-02,3.8912,3.9936,3.7376,3.84,3125,0.0,1.0
2002-07-03,3.7888,3.9936,3.7888,3.9936,2148,0.0,1.0
2002-07-04,4.096,4.7104,4.0448,4.7104,6553,0.0,1.0
2002-07-05,5.0944,5.376,4.8128,5.248,16436,0.0,1.0
2002-07-08,5.9904,6.0672,5.4784,6.0672,15801,0.0,1.0
2002-07-09,5.504,5.7344,5.2992,5.6576,3516,0.0,1.0
2002-07-10,5.632,6.1184,5.632,5.6576,15137,0.0,1.0
2002-07-11,5.8368,5.8368,5.248,5.4016,7188,0.0,1.0
2002-07-12,4.9152,5.632,4.9152,5.248,6250,0.0,1.0
2002-07-15,4.9152,5.1456,4.9152,5.12,4492,0.0,1.0
