date,open,high,low,close,volume,dividend,split
2016-09-26,248.5,260,242.199997,245.149994,592505,0.0,1.0
2016-09-27,246,251.399994,233,233.449997,102136,0.0,1.0
2016-09-28,232.949997,245,228.600006,241.149994,118786,0.0,1.0
2016-09-29,246.5,248.5,229.100006,229.100006,58336,0.0,1.0
2016-09-30,225,231.800003,217.649994,227.800003,37101,0.0,1.0
2016-10-03,226,239.149994,226,239.149994,41636,0.0,1.0
2016-10-04,251.100006,251.100006,243.050003,251.100006,83304,0.0,1.0
2016-10-05,259.799988,262,254,259.350006,107617,0.0,1.0
2016-10-06,261,265,254,255.850006,80607,0.0,1.0
2016-10-07,260.5,268.600006,256.049988,266.399994,67415,0.0,1.0
2016-10-10,275.549988,275.549988,260.100006,261.5,158452,0.0,1.0
2016-10-13,260,261.700012,243.75,249.25,60654,0.0,1.0
2016-10-14,249.699997,254.550003,248,250.100006,36636,0.0,1.0
2016-10-17,252.75,253.5,242.199997,244.25,26315,0.0,1.0
2016-10-18,247,267,247,259.600006,106613,0.0,1.0
2016-10-19,260.5,265.850006,254.100006,255.25,57829,0.0,1.0
2016-10-20,258.899994,262.200012,256,257.75,59420,0.0,1.0
2016-10-21,258.200012,259.75,251.300003,252.25,28214,0.0,1.0
2016-10-24,254.050003,258.299988,253.800003,255.149994,29498,0.0,1.0
2016-10-25,257.200012,257.850006,247,248.149994,25029,0.0,1.0
2016-10-26,248.199997,253.800003,246.600006,250.050003,38621,0.0,1.0
2016-10-27,250,251,245.5,247.399994,19578,0.0,1.0
2016-10-28,249.949997,250,243.600006,245.300003,21445,0.0,1.0
2016-11-01,253.75,259.5,249.949997,253.300003,112920,0.0,1.0
2016-11-02,251.699997,251.699997,240.850006,242.800003,90505,0.0,1.0
2016-11-03,244.5,245.899994,225,229,62129,0.0,1.0
2016-11-04,231,232.350006,219,221.699997,42603,0.0,1.0
2016-11-07,222.199997,233.600006,222.199997,227.050003,87279,0.0,1.0
2016-11-08,229,233.5,229,232.399994,14800,0.0,1.0
2016-11-09,216,225.899994,194,222,33758,0.0,1.0
2016-11-10,224.649994,232.800003,224.649994,229.949997,14676,0.0,1.0
2016-11-11,226,228.75,202,214.449997,44483,0.0,1.0
2016-11-15,211,211.350006,200.850006,201.75,20095,0.0,1.0
2016-11-16,205,210,189,192.899994,31922,0.0,1.0
2016-11-17,196.5,204,195,196.149994,7527,0.0,1.0
2016-11-18,198,201,184,185.899994,25068,0.0,1.0
2016-11-21,187,190,175,175.800003,17071,0.0,1.0
2016-11-22,179.350006,180.300003,171.100006,176.399994,33569,0.0,1.0
2016-11-23,178.100006,187,178,186.050003,9709,0.0,1.0
2016-11-24,189.899994,194.699997,188.149994,192.75,17571,0.0,1.0
2016-11-25,194,199.800003,193.350006,197.649994,10841,0.0,1.0
2016-11-28,200,203.949997,194,202.149994,8358,0.0,1.0
2016-11-29,203.550003,203.899994,200.199997,201.449997,7963,0.0,1.0
2016-11-30,204.850006,214,204.75,209.600006,25649,0.0,1.0
2016-12-01,212,212,205.100006,205.699997,8687,0.0,1.0
2016-12-02,200.100006,203.350006,200.100006,200.949997,6425,0.0,1.0
2016-12-05,200,201.5,192.050003,192.600006,20329,0.0,1.0
2016-12-06,195.550003,201,195.149994,200.100006,6867,0.0,1.0
2016-12-07,197,204,195.149994,197.899994,4516,0.0,1.0
2016-12-08,201,204.600006,200.100006,201,4864,0.0,1.0
2016-12-09,204,204,198,199.199997,5738,0.0,1.0
2016-12-12,199.5,201.350006,193.100006,194.449997,5586,0.0,1.0
2016-12-13,196,198,191.399994,193,6119,0.0,1.0
2016-12-14,194,195,186,187.25,16057,0.0,1.0
2016-12-15,186,192.949997,185,191,8331,0.0,1.0
2016-12-16,191,193.899994,186,188.75,8722,0.0,1.0
2016-12-19,189.600006,189.850006,186,186.850006,3066,0.0,1.0
2016-12-20,188.75,188.949997,184,185.75,2936,0.0,1.0
2016-12-21,185.75,186,181,181.649994,5337,0.0,1.0
2016-12-22,182.899994,182.899994,179,179.899994,8037,0.0,1.0
2016-12-23,177.600006,182.100006,176.300003,180.199997,3571,0.0,1.0
2016-12-26,179.600006,180.850006,175,178.899994,3311,0.0,1.0
2016-12-27,179.600006,180,177.600006,178.800003,3692,0.0,1.0
2016-12-28,180.449997,183.5,178.75,180.550003,3404,0.0,1.0
2016-12-29,179.600006,182.050003,179.449997,179.899994,1833,0.0,1.0
2016-12-30,181.5,190,180.100006,181.899994,8281,0.0,1.0
2017-01-02,182.899994,184.100006,178.100006,183.300003,2537,0.0,1.0
2017-01-03,184.149994,205,184,192.850006,16890,0.0,1.0
