date,open,high,low,close,volume,dividend,split
2002-07-01,10.1574,10.6488,10.0754,10.3048,3082,0.0,1.0
2002-07-02,9.28088,11.3287,9.28088,11.3042,7966,0.0,1.0
2002-07-03,11.5089,11.5499,11.3042,11.3042,8240,0.0,1.0
2002-07-04,11.468,11.468,10.8127,10.8127,855,0.0,1.0
2002-07-05,10.3212,11.1403,10.3212,10.4195,1557,0.0,1.0
2002-07-08,10.4195,10.4195,10.4195,10.4195,397,0.0,1.0
2002-07-09,10.8127,11.3861,10.8127,10.8454,2948,0.0,1.0
2002-07-10,10.3376,10.3376,10.3376,10.3376,49,0.0,1.0
2002-07-11,9.8297,9.8297,9.8297,9.8297,24,0.0,1.0
2002-07-15,9.33822,9.8297,9.33822,9.33822,2161,0.0,1.0
2002-07-16,9.66587,9.66587,9.01056,9.03513,635,0.0,1.0
2002-07-17,9.91161,9.91161,8.84673,8.84673,885,0.0,1.0
2002-07-18,8.35525,8.35525,8.35525,8.35525,305,0.0,1.0
2002-07-19,8.35525,8.3962,8.35525,8.37163,55,0.0,1.0
2002-07-22,8.19142,8.19142,8.19142,8.19142,610,0.0,1.0
2002-07-24,7.45419,7.45419,7.45419,7.45419,24,0.0,1.0
2002-07-25,7.61802,7.61802,7.61802,7.61802,85,0.0,1.0
2002-07-31,7.04462,7.04462,7.04462,7.04462,122,0.0,1.0
2002-08-01,7.04462,7.04462,7.04462,7.04462,146,0.0,1.0
2002-08-02,6.34835,6.34835,6.34835,6.34835,146,0.0,1.0
2002-08-05,6.22548,6.22548,6.22548,6.22548,586,0.0,1.0
2002-08-09,6.84802,6.84802,6.84802,6.84802,6,0.0,1.0
2002-08-12,6.88079,7.47876,6.88079,7.2576,537,0.0,1.0
2002-08-13,7.83099,7.94567,7.83099,7.94567,1074,0.0,1.0
2002-08-14,8.65014,8.65014,8.65014,8.65014,6,0.0,1.0
2002-08-16,9.50204,9.50204,7.86376,7.86376,140,0.0,1.0
2002-08-20,7.86376,8.60099,7.86376,8.60099,1227,0.0,1.0
2002-08-21,9.01056,9.4529,9.01056,9.33822,3223,0.0,1.0
2002-08-22,8.6829,9.01875,8.56003,9.01875,305,0.0,1.0
2002-08-23,9.82151,9.82151,9.01056,9.42013,775,0.0,1.0
2002-08-26,9.09247,9.09247,8.85492,9.09247,208,0.0,1.0
2002-08-27,10.0017,10.0017,10.0017,10.0017,4541,0.0,1.0
2002-08-28,10.8946,10.8946,9.97715,9.98534,4346,0.0,1.0
2002-08-29,10.8127,10.8127,10.1737,10.4277,2564,0.0,1.0
2002-08-30,11.468,11.468,10.2393,10.6243,6202,0.0,1.0
2002-09-02,11.3861,11.3861,10.6325,10.9765,3119,0.0,1.0
2002-09-03,10.8127,10.9765,10.526,10.8045,7697,0.0,1.0
2002-09-04,10.9274,10.9765,10.657,10.7799,13734,0.0,1.0
2002-09-05,11.7793,11.7793,10.6488,10.8946,9247,0.0,1.0
2002-09-06,10.8127,10.8946,10.5014,10.8618,7447,0.0,1.0
2002-09-09,10.7717,10.7717,10.1737,10.2393,2515,0.0,1.0
2002-09-11,10.485,10.6325,10.313,10.6243,2594,0.0,1.0
