date,open,high,low,close,volume,dividend,split
2005-04-27,283,332.5,283,315.230011,16250796,0.0,1.0
2005-04-28,312.200012,323,295,313.480011,6510684,0.0,1.0
2005-04-29,319.950012,326.429993,313,319.75,5690888,0.0,1.0
2005-05-02,319.200012,325.029999,310.079987,313.429993,1987916,0.0,1.0
2005-05-03,312.929993,315.5,306,308.130005,2224940,0.0,1.0
2005-05-04,307.950012,310.529999,305.5,306,1154440,0.0,1.0
2005-05-05,307.899994,337.5,307.049988,329.179993,5185324,0.0,1.0
2005-05-06,331.5,343.5,330.679993,340.200012,4340316,0.0,1.0
2005-05-09,337.299988,343.929993,335.130005,338.529999,1946460,0.0,1.0
2005-05-10,339.549988,342.399994,329,332.980011,1772884,0.0,1.0
2005-05-11,329.899994,331.850006,323,325.279999,1002284,0.0,1.0
2005-05-12,325.5,337,325.5,330.029999,1272836,0.0,1.0
2005-05-13,331,334.200012,327.630005,328.600006,475020,0.0,1.0
2005-05-16,332,347.350006,331.5,344.179993,1609024,0.0,1.0
2005-05-17,346.25,356.950012,338,341.600006,1739840,0.0,1.0
2005-05-18,342.200012,345.850006,337,340.950012,1017132,0.0,1.0
2005-05-19,344.75,351.5,339.130005,342.779999,828492,0.0,1.0
2005-05-20,344.950012,346.5,339.25,341.230011,403504,0.0,1.0
2005-05-23,344.980011,344.980011,338.079987,339.829987,275192,0.0,1.0
2005-05-24,343,343.25,336.950012,338.279999,134356,0.0,1.0
2005-05-25,337.049988,342.5,336.549988,339.230011,156160,0.0,1.0
2005-05-26,340,341.450012,335.5,336.880005,154172,0.0,1.0
2005-05-27,337.5,338.5,327.700012,329.950012,169412,0.0,1.0
2005-05-30,329.5,330.950012,320.579987,322.450012,142964,0.0,1.0
2005-05-31,324,325,319,322.149994,141176,0.0,1.0
2005-06-01,324.5,336.350006,323.75,327.529999,288212,0.0,1.0
2005-06-02,329.799988,330,322.799988,323.950012,121896,0.0,1.0
2005-06-03,326.450012,326.450012,321.75,322.829987,76288,0.0,1.0
2005-06-06,330.5,335.850006,327.600006,328.799988,182780,0.0,1.0
2005-06-07,312.5,352.5,312.5,343.279999,335604,0.0,1.0
2005-06-08,347,352.899994,345.25,348.799988,272640,0.0,1.0
2005-06-09,349.5,349.5,338.630005,341.350006,306628,0.0,1.0
2005-06-10,347.5,347.5,329.029999,331.279999,166332,0.0,1.0
2005-06-13,325.029999,339,325.029999,336.980011,70800,0.0,1.0
2005-06-14,339,339,330,331.179993,56736,0.0,1.0
2005-06-15,334.450012,339.5,323.950012,326.980011,81916,0.0,1.0
2005-06-16,331.700012,331.850006,317.579987,320.079987,117784,0.0,1.0
2005-06-17,323.75,323.950012,312,315.230011,177596,0.0,1.0
2005-06-20,319.5,321,305.679993,308.5,99128,0.0,1.0
2005-06-21,311,312.5,295,297.450012,168116,0.0,1.0
2005-06-22,299.950012,311,299.5,307.529999,296340,0.0,1.0
2005-06-23,311.75,312.399994,301.549988,303.329987,65832,0.0,1.0
2005-06-24,303.5,305,295,296.600006,52472,0.0,1.0
2005-06-27,299.399994,303.350006,294.200012,295.399994,46552,0.0,1.0
