date,open,high,low,close,volume,dividend,split
2010-09-09,56.25,58.400002,51.900002,54.049999,57942635,0.0,1.0
2010-09-13,54,56.25,54,55.900002,10921823,0.0,1.0
2010-09-14,56.799999,56.799999,54.299999,54.5,4029171,0.0,1.0
2010-09-15,55,55.200001,53.5,53.799999,1572013,0.0,1.0
2010-09-16,53.75,54.450001,53.400002,53.75,1438977,0.0,1.0
2010-09-17,54.200001,54.400002,53.5,53.950001,1374269,0.0,1.0
2010-09-20,54,55.75,54,54.799999,2009595,0.0,1.0
2010-09-21,55,55.200001,53.400002,54,1055068,0.0,1.0
2010-09-22,54.099998,55.400002,53.5,54.450001,1269352,0.0,1.0
2010-09-23,55,55,53.700001,54.099998,508527,0.0,1.0
2010-09-24,54,54.849998,53.799999,54.400002,448938,0.0,1.0
2010-09-27,54.700001,55.599998,54.299999,54.650002,857887,0.0,1.0
2010-09-28,55,60.799999,54.5,60.150002,11575552,0.0,1.0
2010-09-29,60.799999,64,59.5,61,9407422,0.0,1.0
2010-09-30,61.25,61.400002,58.5,60.450001,2185082,0.0,1.0
2010-10-01,61.049999,61.700001,59,59.349998,1034335,0.0,1.0
2010-10-04,59.950001,60.150002,57.5,57.650002,991499,0.0,1.0
2010-10-05,58,60.599998,57.150002,58.900002,1340744,0.0,1.0
2010-10-06,59.599998,59.75,58.700001,59.099998,798339,0.0,1.0
2010-10-07,60,62.25,59,59.700001,2030730,0.0,1.0
2010-10-08,59.900002,61.299999,58,59.349998,951662,0.0,1.0
2010-10-11,59.799999,60,57.599998,57.950001,825661,0.0,1.0
2010-10-12,58.25,59.299999,57.5,58,527696,0.0,1.0
2010-10-13,58,61.150002,58,60.5,1456477,0.0,1.0
2010-10-14,60.900002,63.900002,59.400002,62.900002,2037038,0.0,1.0
2010-10-15,63.700001,63.700001,60.25,60.950001,776462,0.0,1.0
2010-10-18,61.5,62.450001,59.599998,60.25,652114,0.0,1.0
2010-10-19,60.450001,62.200001,59.900002,61.150002,1097069,0.0,1.0
2010-10-20,62.150002,65.800003,61.5,63.650002,2934663,0.0,1.0
2010-10-21,63.650002,66,62.5,65.050003,2544959,0.0,1.0
2010-10-22,65.5,67.099998,64.300003,66.349998,1578803,0.0,1.0
2010-10-25,66.949997,67.5,64.349998,64.800003,1025688,0.0,1.0
2010-10-26,65.300003,65.300003,61.549999,62.549999,739897,0.0,1.0
2010-10-27,62.400002,63.700001,61.75,62.900002,671549,0.0,1.0
2010-10-28,63.099998,63.400002,61.5,61.700001,426839,0.0,1.0
2010-10-29,62.150002,63,59.099998,59.75,1125074,0.0,1.0
2010-11-01,60.650002,61.950001,58,61.700001,153762,0.0,1.0
2010-11-02,62.5,62.599998,61,61.450001,293111,0.0,1.0
2010-11-03,61.450001,62.5,60.400002,60.75,321560,0.0,1.0
2010-11-04,62.400002,63.799999,61,62.450001,660284,0.0,1.0
2010-11-08,63.200001,63.5,61.650002,63.099998,186479,0.0,1.0
2010-11-09,63.25,66,62.150002,65.599998,955919,0.0,1.0
2010-11-10,66,66,63.5,63.75,255050,0.0,1.0
2010-11-11,63.950001,65.199997,62.799999,63.25,303169,0.0,1.0
2010-11-12,63.25,63.700001,60.700001,61.049999,400771,0.0,1.0
2010-11-15,61.5,61.700001,60,60.650002,146950,0.0,1.0
2010-11-16,60.700001,61.349998,57.099998,58.150002,386906,0.0,1.0
2010-11-18,58.599998,59.200001,53.5,58.049999,633091,0.0,1.0
2010-11-19,58.599998,58.650002,56.650002,57.099998,176745,0.0,1.0
2010-11-22,57.950001,60,57.5,59.700001,229700,0.0,1.0
2010-11-23,57.5,59.349998,57.099998,58.099998,492406,0.0,1.0
2010-11-24,58.599998,59.650002,57.5,58,139144,0.0,1.0
2010-11-25,58.150002,58.950001,57.5,58.150002,146161,0.0,1.0
2010-11-26,58.25,58.950001,54.5,58,436533,0.0,1.0
2010-11-29,58.049999,60,56.400002,58.049999,241758,0.0,1.0
2010-11-30,56.599998,59.450001,56.599998,58.950001,79637,0.0,1.0
2010-12-01,58.599998,60.650002,58.450001,60.150002,132636,0.0,1.0
2010-12-02,60.950001,61.299999,59.599998,60.650002,121369,0.0,1.0
2010-12-03,60.099998,60.200001,58,58.150002,101094,0.0,1.0
2010-12-06,58.650002,59.400002,58.049999,58.400002,70584,0.0,1.0
2010-12-07,58.049999,58.849998,57.049999,58.099998,92466,0.0,1.0
2010-12-08,58.099998,58.299999,57,57.5,2068720,0.0,1.0
2010-12-09,57.849998,57.849998,54.5,56.150002,1376010,0.0,1.0
2010-12-10,55.25,57.849998,54.549999,57.099998,121691,0.0,1.0
2010-12-13,57.25,58.549999,57,58.099998,129366,0.0,1.0
2010-12-14,57.950001,58.75,57.799999,58.349998,42988,0.0,1.0
