date,open,high,low,close,volume,dividend,split
2000-01-03,4.7,4.89,4.7,4.82,16000,0.0,1.0
2000-01-04,4.8,5,4.6,4.85,6000,0.0,1.0
2000-01-05,4.51,4.8,4.51,4.8,25000,0.0,1.0
2000-01-06,4.6,4.84,4.6,4.8,15750,0.0,1.0
2000-01-07,4.8,4.85,4.6,4.85,38000,0.0,1.0
2000-01-10,4.65,4.95,4.65,4.95,7500,0.0,1.0
2000-01-11,4.7,4.8,4.65,4.8,18500,0.0,1.0
2000-01-12,4.6,4.8,4.6,4.6,7750,0.0,1.0
2000-01-13,4.8,4.8,4.71,4.71,16000,0.0,1.0
2000-01-14,4.8,4.8,4.6,4.76,8605,0.0,1.0
2000-01-17,4.8,4.8,4.7,4.72,1500,0.0,1.0
2000-01-18,4.78,4.78,4.45,4.45,2250,0.0,1.0
2000-01-19,4.7,4.7,4.52,4.59,3750,0.0,1.0
2000-01-20,4.7,4.7,4.24,4.24,4550,0.0,1.0
2000-01-21,4.25,4.3,4.03,4.15,16050,0.0,1.0
2000-01-24,4.2,4.4,4.2,4.2,7500,0.0,1.0
2000-01-25,4.05,4.05,4.05,4.05,1000,0.0,1.0
2000-01-26,4.05,4.05,4.05,4.05,0,0.0,1.0
2000-01-27,4,4.25,4,4.16,3250,0.0,1.0
2000-01-28,4.05,4.48,4.05,4.22,2750,0.0,1.0
2000-01-31,4.22,4.4,4,4.3,283750,0.0,1.0
2000-02-01,4.5,4.56,4.1,4.5,179575,0.0,1.0
2000-02-02,4.76,4.78,4.32,4.4,28000,0.0,1.0
2000-02-03,4.4,4.4,4.4,4.4,0,0.0,1.0
2000-02-04,4.2,4.4,4.1,4.17,12500,0.0,1.0
2000-02-07,4.2,4.2,4.07,4.19,8000,0.0,1.0
2000-02-08,4.04,4.29,4.04,4.26,4250,0.0,1.0
2000-02-09,4.06,4.3,4.06,4.14,18750,0.0,1.0
2000-02-10,4,4.45,4,4.2,38000,0.0,1.0
2000-02-11,4.2,4.4,4.2,4.2,21060,0.0,1.0
2000-02-14,4.3,4.3,4.07,4.2,15000,0.0,1.0
2000-02-15,4.2,4.34,4.2,4.2,7000,0.0,1.0
2000-02-16,4.34,4.4,4.2,4.34,27900,0.0,1.0
2000-02-17,4.36,4.4,4.36,4.4,2430,0.0,1.0
2000-02-18,4.34,4.34,4.15,4.2,14250,0.0,1.0
2000-02-21,4.3,4.4,4.1,4.4,40000,0.0,1.0
2000-02-22,4.2,4.2,4.15,4.15,3250,0.0,1.0
2000-02-23,4.45,4.45,3.9,4.1,84250,0.0,1.0
2000-02-24,4.2,4.2,4,4,254500,0.0,1.0
2000-02-25,3.96,4.02,3.9,4.02,34350,0.0,1.0
