date,open,high,low,close,volume,dividend,split
2006-05-18,68,84,43.5,47.299999,852900,0.0,1.0
2006-05-19,49.700001,52.900002,38.549999,39.75,170400,0.0,1.0
2006-05-22,43.700001,43.700001,31.85,32.049999,67300,0.0,1.0
2006-05-23,36,36,27.25,32.900002,38900,0.0,1.0
2006-05-24,33.599998,37.400002,32,34.799999,64500,0.0,1.0
2006-05-25,35,36,33,33.549999,27400,0.0,1.0
2006-05-26,34.950001,35.900002,33.700001,34.25,17000,0.0,1.0
2006-05-29,36.5,36.5,33,33.25,23500,0.0,1.0
2006-05-30,33.450001,33.450001,32.150002,32.650002,8600,0.0,1.0
2006-05-31,30.200001,31.15,29.299999,30.299999,12740,0.0,1.0
2006-06-01,30.25,31.9,27.5,28.65,10092,0.0,1.0
2006-06-02,28.6,29,25.6,28,14000,0.0,1.0
2006-06-05,26.15,29.5,26.15,27.200001,4032,0.0,1.0
2006-06-06,26,26.9,23.549999,25.299999,15100,0.0,1.0
2006-06-07,24.5,25.450001,23.5,23.75,8400,0.0,1.0
2006-06-08,20.25,23,19.049999,19.549999,14915,0.0,1.0
2006-06-09,20.200001,23,20.049999,22.799999,16600,0.0,1.0
2006-06-12,21.5,23.85,20.75,22.85,10300,0.0,1.0
2006-06-13,21.25,22.5,20.799999,21.6,10927,0.0,1.0
2006-06-14,21.200001,24.299999,18.549999,19.299999,11400,0.0,1.0
2006-06-15,20.9,21.25,19.15,21,6964,0.0,1.0
2006-06-16,22.4,22.950001,20.6,21.25,14591,0.0,1.0
2006-06-19,21.1,21.200001,20.4,21,8000,0.0,1.0
2006-06-20,20.65,21.1,19.799999,19.9,8491,0.0,1.0
2006-06-21,20.549999,21.5,20.200001,21.15,19389,0.0,1.0
2006-06-22,21.799999,22.549999,21.450001,22,12200,0.0,1.0
2006-06-23,19,24.700001,19,23.35,8600,0.0,1.0
2006-06-26,24.65,24.65,21.1,21.5,5208,0.0,1.0
2006-06-27,21.75,21.85,20.299999,20.4,6649,0.0,1.0
2006-06-28,20.950001,20.950001,20.299999,20.450001,1682,0.0,1.0
2006-06-29,21.6,21.6,19.799999,20.5,4300,0.0,1.0
2006-06-30,21,21.35,20.799999,21.299999,1500,0.0,1.0
