date,open,high,low,close,volume,dividend,split
2002-07-01,5.9,5.965,5.74,5.76,1166,0.0,1.0
2002-07-02,5.9,5.9,5.85,5.9,1727,0.0,1.0
2002-07-03,6,6.4,6,6.075,3485,0.0,1.0
2002-07-04,6.395,6.4,6.085,6.085,3075,0.0,1.0
2002-07-05,6.3,6.35,6.2,6.25,3343,0.0,1.0
2002-07-08,6.2,6.5,6.2,6.47,3432,0.0,1.0
2002-07-09,6.7,7.01,6.49,6.87,5976,0.0,1.0
2002-07-10,7.15,8.09,7.15,7.98,27331,0.0,1.0
2002-07-11,7.8,9.005,7.8,8.31,106797,0.0,1.0
2002-07-12,8.3,8.79,8,8.26,17494,0.0,1.0
2002-07-15,8.155,8.155,7.515,7.6,10268,0.0,1.0
2002-07-16,7.41,7.69,7.3,7.345,2441,0.0,1.0
2002-07-17,7.55,7.55,7.16,7.465,1676,0.0,1.0
2002-07-18,7.55,7.69,7.55,7.575,1551,0.0,1.0
2002-07-19,7.515,7.575,7.41,7.52,1350,0.0,1.0
2002-07-22,7.05,7.3,7.005,7.1,1205,0.0,1.0
2002-07-23,7.185,7.2,7.06,7.11,550,0.0,1.0
2002-07-24,7.11,7.2,7.025,7.025,704,0.0,1.0
2002-07-25,7.21,7.29,7,7.005,1422,0.0,1.0
2002-07-26,6.7,6.875,6.515,6.735,1550,0.0,1.0
2002-07-29,6.515,6.7,6.3,6.465,2506,0.0,1.0
2002-07-30,6.46,6.66,6.41,6.5,1175,0.0,1.0
2002-07-31,6,6.545,6,6.41,1296,0.0,1.0
2002-08-01,6.79,6.79,6.46,6.53,619,0.0,1.0
2002-08-05,6.6,6.6,6.5,6.6,300,0.0,1.0
2002-08-06,6.7,6.75,6.6,6.62,360,0.0,1.0
2002-08-07,6.925,6.925,6.725,6.725,785,0.0,1.0
2002-08-08,6.8,6.8,6.66,6.66,750,0.0,1.0
2002-08-09,6.595,6.8,6.595,6.785,2050,0.0,1.0
2002-08-12,6.9,7.3,6.8,7.225,1593,0.0,1.0
2002-08-13,7.395,7.395,7.1,7.25,336,0.0,1.0
2002-08-14,7,7.1,6.91,7.005,173727,0.0,1.0
2002-08-16,7.03,7.06,6.805,6.825,1340,0.0,1.0
2002-08-19,6.715,6.8,6.705,6.8,1175,0.0,1.0
2002-08-20,6.615,6.785,6.615,6.7,400,0.0,1.0
2002-08-21,6.72,6.8,6.5,6.7,1274,0.0,1.0
2002-08-22,6.6,6.6,6.6,6.6,100,0.0,1.0
2002-08-23,6.705,6.8,6.705,6.735,200,0.0,1.0
2002-08-26,6.925,7,6.75,6.775,1402,0.0,1.0
2002-08-28,6.715,6.815,6.715,6.815,891,0.0,1.0
2002-08-29,6.675,6.675,6.675,6.675,200,0.0,1.0
2002-08-30,6.7,6.7,6.65,6.65,225,0.0,1.0
2002-09-02,6.7,6.705,6.7,6.705,390,0.0,1.0
2002-09-04,5.425,6.975,5.425,6.68,1185,0.0,1.0
2002-09-05,6.655,6.7,6.655,6.7,356,0.0,1.0
2002-09-06,6.795,6.795,6.7,6.72,1460,0.0,1.0
2002-09-09,6.395,6.7,6.395,6.695,880,0.0,1.0
2002-09-11,6.675,6.72,6.675,6.69,300,0.0,1.0
2002-09-12,6.6,6.7,6.5,6.7,650,0.0,1.0
2002-09-13,6.7,6.75,6.7,6.705,700,0.0,1.0
2002-09-16,6.605,6.705,6.6,6.705,2601,0.0,1.0
2002-09-17,6.65,6.65,6.6,6.6,400,0.0,1.0
2002-09-18,6.5,6.5,6.5,6.5,100,0.0,1.0
2002-09-19,6.5,6.5,6.5,6.5,100,0.0,1.0
2002-09-23,6.2,6.2,6.2,6.2,30,0.0,1.0
2002-09-24,6.01,6.2,6.01,6.2,300,0.0,1.0
2002-09-25,5.725,5.725,5.725,5.725,1,0.0,1.0
2002-09-26,6.1,6.29,6.1,6.1,142,0.0,1.0
2002-09-27,6.12,6.3,6.12,6.2,500,0.0,1.0
2002-09-30,6.35,6.35,6.35,6.35,100,0.0,1.0
2002-10-01,6.2,6.2,6.15,6.2,317,0.0,1.0
2002-10-03,6.3,6.3,6.2,6.3,1000,0.0,1.0
2002-10-04,6.3,6.3,6.3,6.3,150,0.0,1.0
2002-10-08,6.7,6.71,6.7,6.71,177,0.0,1.0
2002-10-09,6.725,7.4,6.725,7.19,1518,0.0,1.0
2002-10-10,7,7.35,7,7.225,2553,0.0,1.0
2002-10-11,7.65,7.74,7.5,7.625,2444,0.0,1.0
2002-10-14,7.605,7.71,7.5,7.5,438,0.0,1.0
2002-10-16,7.205,7.445,7.205,7.425,550,0.0,1.0
2002-10-17,7.125,7.2,7,7.06,1000,0.0,1.0
2002-10-18,7.14,7.15,7.01,7.01,360,0.0,1.0
2002-10-21,6.99,6.99,6.695,6.75,1639,0.0,1.0
2002-10-22,6.71,6.71,6.63,6.63,252,0.0,1.0
2002-10-24,6.77,6.77,6.7,6.7,500,0.0,1.0
2002-10-25,6.79,6.79,6.525,6.6,1350,0.0,1.0
2002-10-28,6.45,6.6,6.45,6.505,650,0.0,1.0
2002-10-29,6.75,7.2,6.66,6.935,350,0.0,1.0
2002-10-30,6.65,6.65,6.525,6.6,500,0.0,1.0
2002-11-01,6.825,6.825,6.8,6.8,250,0.0,1.0
2002-11-04,6.65,6.8,6.305,6.8,400,0.0,1.0
2002-11-05,6.6,6.6,6.535,6.55,100,0.0,1.0
2002-11-07,6.795,6.795,6.62,6.655,350,0.0,1.0
2002-11-08,6.6,6.6,6.6,6.6,150,0.0,1.0
2002-11-11,6.7,6.8,6.7,6.8,150,0.0,1.0
2002-11-14,6.53,6.695,6.5,6.69,700,0.0,1.0
2002-11-15,6.6,6.79,6.56,6.79,200,0.0,1.0
2002-11-21,6.7,6.7,6.63,6.63,400,0.0,1.0
2002-11-22,6.655,6.8,6.65,6.65,395,0.0,1.0
2002-11-25,6.65,6.75,6.65,6.675,280,0.0,1.0
2002-11-26,6.7,6.8,6.7,6.8,150,0.0,1.0
2002-11-27,6.7,6.81,6.7,6.81,505,0.0,1.0
2002-11-28,6.83,6.84,6.83,6.84,218,0.0,1.0
2002-11-29,6.75,6.97,6.75,6.97,220,0.0,1.0
2002-12-02,6.95,7.245,6.9,7,7305,0.0,1.0
2002-12-03,7.25,7.25,7.005,7.06,1450,0.0,1.0
2002-12-04,6.815,7.025,6.81,6.975,1350,0.0,1.0
2002-12-06,7,7,7,7,250,0.0,1.0
2002-12-09,7.075,7.3,7,7,1850,0.0,1.0
2002-12-10,7.05,7.05,7.05,7.05,100,0.0,1.0
2002-12-11,7.005,7.005,7,7,600,0.0,1.0
2002-12-12,7,7,7,7,100,0.0,1.0
2002-12-13,7.05,7.05,6.76,6.76,600,0.0,1.0
2002-12-18,6.61,6.61,6.61,6.61,50,0.0,1.0
2002-12-19,6.81,6.81,6.81,6.81,100,0.0,1.0
2002-12-20,6.8,6.9,6.8,6.83,500,0.0,1.0
2002-12-23,6.825,6.83,6.825,6.825,400,0.0,1.0
2002-12-24,6.895,6.9,6.85,6.85,500,0.0,1.0
2002-12-26,6.88,7,6.88,7,2150,0.0,1.0
2002-12-27,6.85,6.99,6.85,6.855,800,0.0,1.0
2002-12-30,6.9,6.9,6.675,6.75,370,0.0,1.0
2002-12-31,6.71,6.9,6.71,6.9,150,0.0,1.0
2003-01-01,6.825,6.875,6.8,6.82,250,0.0,1.0
2003-01-02,8.095,8.095,6.9,6.9,250,0.0,1.0
2003-01-03,6.765,6.765,6.765,6.765,25,0.0,1.0
2003-01-06,6.89,6.89,6.78,6.78,300,0.0,1.0
2003-01-07,6.775,6.775,6.775,6.775,50,0.0,1.0
2003-01-08,6.7,6.8,6.7,6.76,450,0.0,1.0
2003-01-09,6.8,6.9,6.8,6.9,400,0.0,1.0
2003-01-10,6.9,7,6.825,7,1250,0.0,1.0
2003-01-13,6.8,7.185,6.8,7.065,435,0.0,1.0
2003-01-14,6.835,7.145,6.825,7.095,550,0.0,1.0
2003-01-15,7.01,7.33,7.01,7.175,3751,0.0,1.0
2003-01-16,7.205,7.3,7.205,7.25,1190,0.0,1.0
2003-01-17,7,7.48,6.8,7.455,1538,0.0,1.0
2003-01-20,7.35,7.5,7.35,7.5,1034,0.0,1.0
2003-01-21,7.9,7.9,7.25,7.3,1130,0.0,1.0
2003-01-22,7.5,7.5,7.2,7.2,990,0.0,1.0
2003-01-23,7.2,7.2,6.935,7.15,218,0.0,1.0
2003-01-24,7,7,6.96,7,320,0.0,1.0
2003-01-27,7,7.035,6.95,6.95,500,0.0,1.0
2003-01-28,6.9,7,6.5,6.725,1175,0.0,1.0
2003-01-29,6.7,6.9,6.65,6.845,1312,0.0,1.0
2003-01-30,6.845,6.845,6.845,6.845,15,0.0,1.0
2003-01-31,6.79,6.9,6.79,6.9,1969,0.0,1.0
2003-02-03,7.005,7.005,7,7,300,0.0,1.0
2003-02-04,7.04,7.04,6.58,6.705,2265,0.0,1.0
2003-02-05,6.75,6.8,6.75,6.8,4750,0.0,1.0
2003-02-06,6.65,6.795,6.565,6.68,550,0.0,1.0
2003-02-07,6.8,6.95,6.8,6.95,2300,0.0,1.0
2003-02-11,6.88,6.975,6.8,6.94,4304,0.0,1.0
2003-02-12,6.89,6.9,6.85,6.89,1700,0.0,1.0
2003-02-14,6.89,6.9,6.89,6.9,500,0.0,1.0
2003-02-19,6.71,6.8,6.71,6.8,400,0.0,1.0
2003-02-20,6.9,6.9,6.9,6.9,100,0.0,1.0
2003-02-21,6.66,6.73,6.66,6.73,300,0.0,1.0
2003-02-24,6.745,6.9,6.745,6.9,725,0.0,1.0
