date,open,high,low,close,volume,dividend,split
2014-07-31,229,240.449997,221,240.449997,108425,0.0,1.0
2014-08-01,252.449997,252.449997,252.449997,252.449997,5659,0.0,1.0
2014-08-04,265.049988,265.049988,250,265.049988,25240,0.0,1.0
2014-08-05,269.899994,270,251.800003,265.200012,74809,0.0,1.0
2014-08-06,265.200012,277,260,267.350006,143348,0.0,1.0
2014-08-07,270,278.899994,260,264,75149,0.0,1.0
2014-08-08,260,262,251,254.449997,21883,0.0,1.0
2014-08-11,260,260.799988,256,257.299988,15440,0.0,1.0
2014-08-12,257.950012,260,251.050003,255.350006,19202,0.0,1.0
2014-08-13,256,267.399994,250,265.450012,26957,0.0,1.0
2014-08-14,274,275.5,265.600006,270.75,28716,0.0,1.0
2014-08-18,272,288.850006,266.049988,278.350006,57327,0.0,1.0
2014-08-19,280.5,299.899994,275,293.950012,198096,0.0,1.0
2014-08-20,295.600006,297,284.950012,289.450012,41045,0.0,1.0
2014-08-21,294.899994,297,285.100006,286.75,22640,0.0,1.0
2014-08-22,299.899994,299.899994,272.200012,277.25,25414,0.0,1.0
2014-08-25,280,284,276,277.149994,25739,0.0,1.0
2014-08-26,279.25,280,262.200012,265.75,26746,0.0,1.0
2014-08-27,261.25,282,261.25,277.649994,26456,0.0,1.0
2014-08-28,280,292.600006,280,288.899994,28748,0.0,1.0
2014-09-01,290.649994,291.350006,282,282.75,18159,0.0,1.0
2014-09-02,286,293.700012,281.600006,285.549988,51712,0.0,1.0
2014-09-03,290,328.399994,289,313.899994,298232,0.0,1.0
2014-09-04,315.5,316.399994,301,308.049988,65683,0.0,1.0
2014-09-05,309,313,302.75,307.799988,29253,0.0,1.0
2014-09-08,310.75,320.75,308.25,312.100006,40486,0.0,1.0
2014-09-09,312.5,314.649994,304.25,307.350006,20495,0.0,1.0
2014-09-10,306.649994,316.700012,305,311.149994,34266,0.0,1.0
2014-09-11,313.450012,315.75,306,307.950012,25617,0.0,1.0
2014-09-12,308,318.700012,307.100006,315.700012,35150,0.0,1.0
2014-09-15,317,339,313.25,332.399994,101689,0.0,1.0
2014-09-16,334,341.799988,309,311.399994,73000,0.0,1.0
2014-09-17,312.100006,319.350006,305.5,307.950012,28513,0.0,1.0
2014-09-18,309.299988,319.450012,309,312,19767,0.0,1.0
2014-09-19,316,326.899994,314,317.5,33901,0.0,1.0
2014-09-22,316,321.5,315.899994,316.549988,11910,0.0,1.0
2014-09-23,322.649994,324,291.899994,305.850006,40249,0.0,1.0
2014-09-24,306,309,292,296.049988,54539,0.0,1.0
2014-09-25,297.700012,307.799988,290,293.899994,24913,0.0,1.0
2014-09-26,290,295.399994,284.950012,290.899994,13218,0.0,1.0
2014-09-29,297.399994,298,287.799988,295.600006,24065,0.0,1.0
2014-09-30,297.350006,304,293.549988,296.5,20666,0.0,1.0
2014-10-01,301,303.049988,294.049988,296.299988,11923,0.0,1.0
2014-10-07,302.799988,303,290,292,10007,0.0,1.0
2014-10-08,296.950012,299.399994,292.649994,297.850006,9895,0.0,1.0
2014-10-09,301,312.5,299.649994,309.25,27395,1.97929,1.0
2014-10-10,314,333,302.450012,318.200012,37830,0.0,1.0
2014-10-13,321,322.5,311.299988,313.700012,21260,0.0,1.0
2014-10-14,314,321.549988,312.899994,319.399994,20734,0.0,1.0
2014-10-15,319.399994,319.399994,319.399994,319.399994,0,0.0,1.0
2014-10-16,317.350006,317.850006,307,309.350006,17194,0.0,1.0
2014-10-17,305.200012,312.450012,304,308.049988,14228,0.0,1.0
2014-10-20,310.549988,315,305.75,310.100006,12160,0.0,1.0
2014-10-21,308.450012,324,304.799988,318.899994,9303,0.0,1.0
2014-10-22,320,326.200012,318.5,325.350006,14816,0.0,1.0
2014-10-27,329.149994,329.149994,311,313.100006,7374,0.0,1.0
2014-10-28,316.5,319.399994,310,315.450012,5512,0.0,1.0
2014-10-29,315.350006,328,313,323.200012,12645,0.0,1.0
2014-10-30,323,337,323,326.25,295279,0.0,1.0
2014-10-31,330.899994,334,326.899994,330.700012,11912,0.0,1.0
2014-11-03,324.200012,336.950012,324.200012,328.5,18574,0.0,1.0
2014-11-05,330.200012,335,323.200012,329.25,9386,0.0,1.0
2014-11-07,328,332.049988,319.549988,326,13148,0.0,1.0
2014-11-10,328.799988,338,327.75,331.75,22424,0.0,1.0
2014-11-11,332.100006,342,332,338.049988,21265,0.0,1.0
2014-11-12,337.5,344.450012,326.5,337.5,24514,0.0,1.0
2014-11-13,340,356,337.799988,353.299988,168315,0.0,1.0
2014-11-14,358,388,356.600006,372.450012,81266,0.0,1.0
2014-11-17,374.950012,396,374.950012,383.549988,55051,0.0,1.0
2014-11-18,382.649994,389.799988,375,382.200012,16297,0.0,1.0
2014-11-19,378,391.049988,373.899994,378.700012,36236,0.0,1.0
2014-11-20,380.600006,390,366,379.600006,11691,0.0,1.0
2014-11-21,378,383.899994,370.899994,379.350006,9674,0.0,1.0
2014-11-24,389.25,393.100006,373.5,378.399994,25757,0.0,1.0
2014-11-25,379.850006,379.850006,367.649994,375.799988,15521,0.0,1.0
2014-11-26,373,384,372.700012,381.600006,12234,0.0,1.0
2014-11-27,385.700012,416.399994,385.700012,410.299988,60130,0.0,1.0
2014-11-28,418.399994,473,418.399994,459.600006,224146,0.0,1.0
2014-12-01,470,499.899994,460.649994,493.850006,147779,0.0,1.0
2014-12-02,496,515,477.700012,502.100006,126024,0.0,1.0
2014-12-03,503.25,503.25,485,487.200012,54244,0.0,1.0
2014-12-04,492,493.049988,465,469.75,25335,0.0,1.0
2014-12-05,474.850006,487.450012,469.200012,477,23420,0.0,1.0
2014-12-08,480.100006,485,467.600006,478.25,15750,0.0,1.0
2014-12-09,489.649994,518.599976,486,491.350006,69806,0.0,1.0
2014-12-10,488.5,530,488.5,522.950012,85047,0.0,1.0
2014-12-11,535,548.25,515.25,519.700012,82684,0.0,1.0
2014-12-12,528.799988,534.099976,505.399994,507.799988,22156,0.0,1.0
2014-12-15,511.25,549.849976,505.700012,531.450012,59028,0.0,1.0
2014-12-16,535,564.950012,528,541.349976,91247,0.0,1.0
2014-12-17,541.25,544.200012,473.100006,507.149994,73966,0.0,1.0
2014-12-18,512,549.5,510.049988,542.799988,58923,0.0,1.0
2014-12-19,546.25,547.799988,513.299988,516.549988,17028,0.0,1.0
2014-12-22,520,525,505,506.600006,28408,0.0,1.0
2014-12-23,509.549988,519.599976,488.149994,499,14924,0.0,1.0
2014-12-24,500,504.799988,495,498.25,11077,0.0,1.0
2014-12-26,500.950012,503.700012,492.5,495.549988,7072,0.0,1.0
2014-12-29,498.450012,519,497,512.049988,16875,0.0,1.0
2014-12-30,513.099976,517,506,509.450012,11906,0.0,1.0
2014-12-31,509,524.75,507,513.700012,17474,0.0,1.0
2015-01-01,515,532,515,516.650024,7147,0.0,1.0
2015-01-02,515.5,529.25,515.5,519.599976,6360,0.0,1.0
2015-01-05,522.650024,524.799988,510.049988,513.400024,5221,0.0,1.0
2015-01-06,520.25,534,502,506.25,24962,0.0,1.0
2015-01-07,509.049988,522,503,513.950012,64514,0.0,1.0
2015-01-08,518.549988,522,507.100006,509.299988,8523,0.0,1.0
2015-01-09,511,520,506.5,514.700012,8402,0.0,1.0
2015-01-12,515,552,508,536.75,30829,0.0,1.0
2015-01-13,545.599976,562.75,537.299988,545.950012,40759,0.0,1.0
2015-01-14,548,551.450012,535,536.900024,16972,0.0,1.0
2015-01-15,539.650024,552.900024,529.799988,533.200012,9823,0.0,1.0
2015-01-16,530,553.400024,528.400024,542,20963,0.0,1.0
2015-01-19,542.049988,551,535.099976,537.200012,8979,0.0,1.0
2015-01-20,540,547.799988,534.75,535.900024,8062,0.0,1.0
2015-01-21,537,537,512.549988,521.950012,11842,0.0,1.0
2015-01-22,524.650024,535,523,529.049988,5497,0.0,1.0
2015-01-23,527.099976,527.099976,518,524.650024,8316,0.0,1.0
2015-01-27,527.650024,530.900024,519.049988,527.400024,5462,0.0,1.0
2015-01-28,528,534.849976,521.5,523.650024,6222,0.0,1.0
2015-01-29,530.25,547,527,540.25,6817,0.0,1.0
2015-01-30,543.25,547.5,507.799988,530.700012,17491,0.0,1.0
2015-02-02,530,530,519.450012,520.950012,5997,0.0,1.0
2015-02-03,523.650024,528,517.799988,519.950012,4912,0.0,1.0
2015-02-04,522.650024,530.599976,518.799988,520.700012,4090,0.0,1.0
2015-02-05,523.650024,543.599976,522.599976,530.349976,16769,0.0,1.0
2015-02-06,527,531.799988,503,505.100006,9050,0.0,1.0
2015-02-09,506.200012,510,494,498.649994,6279,0.0,1.0
2015-02-10,490,503,485,489.049988,4763,0.0,1.0
2015-02-11,485,491.75,485,487.549988,24605,0.0,1.0
2015-02-12,490.450012,494.950012,484.25,489.600006,2850,0.0,1.0
2015-02-13,483.149994,488.600006,481,482.850006,2646,0.0,1.0
2015-02-16,480,492.799988,460,481.5,14602,0.0,1.0
2015-02-18,480,486.799988,468.399994,476.100006,5894,0.0,1.0
2015-02-19,482.5,483.799988,469.299988,472.600006,3270,0.0,1.0
2015-02-20,471.299988,482,468.450012,478.600006,3051,0.0,1.0
2015-02-23,485,487.350006,480,482.700012,1608,0.0,1.0
2015-02-24,483.5,486.450012,470,476.399994,1756,0.0,1.0
2015-02-25,478.100006,483.25,470,472.700012,4753,0.0,1.0
2015-02-26,475.049988,477.049988,455.5,464.200012,4336,0.0,1.0
2015-02-27,466.799988,476.799988,462.200012,468.75,2984,0.0,1.0
2015-03-02,455.100006,479,452,461.450012,6040,0.0,1.0
2015-03-03,476.100006,480,470,472.549988,7478,0.0,1.0
2015-03-04,478.75,478.75,458,464.799988,6983,0.0,1.0
2015-03-05,464.850006,480,463.850006,478.399994,6123,0.0,1.0
2015-03-09,470,481.950012,470,478,11313,0.0,1.0
2015-03-10,473,480,470.299988,476.950012,6918,0.0,1.0
2015-03-11,478,487.850006,477.100006,485.549988,8778,0.0,1.0
2015-03-12,482,490,480.100006,484.100006,6434,0.0,1.0
2015-03-13,494.5,494.799988,475,479.450012,6399,0.0,1.0
2015-03-16,480.100006,488,471,476.149994,6106,0.0,1.0
2015-03-17,472,494.25,465.5,476.25,17083,0.0,1.0
2015-03-18,480,485,468.299988,472.799988,7129,0.0,1.0
2015-03-19,467.100006,476.850006,463.850006,466.549988,4295,0.0,1.0
2015-03-20,465.100006,470,460,465.799988,2767,0.0,1.0
2015-03-23,465.450012,471,460,467.950012,5706,0.0,1.0
2015-03-24,464.049988,469,463,467.399994,3546,0.0,1.0
2015-03-25,464.149994,471.899994,464,465.25,2731,0.0,1.0
2015-03-26,465,470,462.850006,467.799988,4490,0.0,1.0
2015-03-27,465.25,473.75,460.5,470.950012,7299,0.0,1.0
2015-03-30,471.100006,479.899994,470,477.100006,2802,0.0,1.0
2015-03-31,479.350006,521,474.200012,508.799988,20968,0.0,1.0
2015-04-01,508,512.099976,496,506.049988,3556,0.0,1.0
2015-04-06,498.850006,498.850006,485,491.700012,2117,0.0,1.0
2015-04-07,491.700012,494.899994,483,487.899994,2683,0.0,1.0
2015-04-08,491.549988,506,488.850006,495,1862,0.0,1.0
2015-04-09,501,501.899994,490.149994,496.350006,749,0.0,1.0
2015-04-10,500,501,480,486.200012,4836,0.0,1.0
2015-04-13,489.600006,496.850006,482.600006,485.149994,2632,0.0,1.0
2015-04-15,486.299988,501.899994,485.149994,490.450012,3741,0.0,1.0
2015-04-16,492,492,476.25,477.850006,2074,0.0,1.0
2015-04-17,478,481,472.899994,474.200012,403,0.0,1.0
2015-04-20,467.600006,470.950012,460,465.049988,4889,0.0,1.0
2015-04-21,488,488,460,462.5,1138,0.0,1.0
2015-04-22,456.049988,468,449,458.200012,2439,0.0,1.0
2015-04-23,457.049988,461.899994,455,459.899994,675,0.0,1.0
2015-04-24,459.350006,460,450.149994,450.75,1906,0.0,1.0
2015-04-27,453.200012,453.200012,445.25,449.100006,1467,0.0,1.0
2015-04-28,449.299988,465,447.549988,461.5,25838,0.0,1.0
2015-04-29,465,471.049988,455,460.149994,2415,0.0,1.0
2015-04-30,467.100006,471,445.149994,448.549988,4215,0.0,1.0
2015-05-04,457.950012,459,446,447.649994,2105,0.0,1.0
2015-05-05,452,460,450.049988,457.799988,3345,0.0,1.0
2015-05-06,453,453,442,448.149994,2538,0.0,1.0
2015-05-07,448,452.200012,367,444.25,5920,0.0,1.0
2015-05-08,446,455,441.5,444.149994,1246,0.0,1.0
2015-05-11,444.149994,450,444.149994,446.350006,1300,0.0,1.0
2015-05-12,447.049988,460,446,454.75,8370,0.0,1.0
2015-05-13,456.649994,456.649994,448.649994,448.75,1096,0.0,1.0
2015-05-14,450,473.850006,448,468.899994,1417,0.0,1.0
2015-05-15,470,473,460,460.700012,990,0.0,1.0
2015-05-18,456.700012,468.799988,450.549988,460.100006,753,0.0,1.0
2015-05-19,459,477.950012,458.299988,476.450012,1839,0.0,1.0
2015-05-20,475.950012,477,470,473.25,6999,0.0,1.0
2015-05-21,475.700012,476.149994,463.100006,468.799988,1315,0.0,1.0
2015-05-22,470,483.100006,468.25,479.799988,1662,0.0,1.0
2015-05-25,485,489.200012,480.25,485.399994,3226,0.0,1.0
2015-05-26,487,490,480.5,481.950012,1608,0.0,1.0
2015-05-27,469.649994,482,456.5,479.5,5620,0.0,1.0
