date,open,high,low,close,volume,dividend,split
2006-02-27,35,40,30.455,31.555,103096590,0.0,1.0
2006-02-28,31.475,32.25,30.879999,31.09,28277150,0.0,1.0
2006-03-01,31.24,31.59,30,30.129999,10226360,0.0,1.0
2006-03-02,30.344999,32.380001,29.459999,30.565001,15684620,0.0,1.0
2006-03-03,30.67,31.23,29.799999,30.190001,7086500,0.0,1.0
2006-03-06,30.424999,31.59,30.200001,30.725,5593250,0.0,1.0
2006-03-07,30.889999,31.5,30.5,30.620001,3878890,0.0,1.0
2006-03-08,30.684999,31.1,29.73,29.875,2609640,0.0,1.0
2006-03-09,30,30.299999,29.030001,29.25,2321490,0.0,1.0
2006-03-10,29.379999,30,28.9,29.01,2434170,0.0,1.0
2006-03-13,29.325001,29.5,28.799999,28.915001,1499450,0.0,1.0
2006-03-14,29.15,29.174999,28.1,28.205,997900,0.0,1.0
2006-03-16,28.5,28.549999,26.700001,26.83,1684220,0.0,1.0
2006-03-17,26.895,27.1,26.110001,26.254999,1266410,0.0,1.0
2006-03-20,26.365,27.549999,26.1,26.575001,1982930,0.0,1.0
2006-03-21,26.775,28.469999,26.51,27.145,4577630,0.0,1.0
2006-03-22,27.35,27.35,26.299999,26.334999,1804240,0.0,1.0
2006-03-23,26.485001,26.9,25.200001,25.485001,1794750,0.0,1.0
2006-03-24,25.700001,26.43,25.6,25.815001,1290190,0.0,1.0
2006-03-27,25.975,26.1,25.209999,25.325001,1041370,0.0,1.0
2006-03-28,25.5,25.5,24,24.08,1826370,0.0,1.0
2006-03-29,24.225,25.5,24.225,24.865,2411750,0.0,1.0
2006-03-30,25.049999,25.4,24.5,24.655001,1702680,0.0,1.0
2006-03-31,24.790001,25.92,24.325001,25.125,2624870,0.0,1.0
2006-04-03,25.299999,26.200001,25.200001,25.92,1711110,0.0,1.0
2006-04-04,26.445,28.5,26.445,28.040001,7368330,0.0,1.0
2006-04-05,28.32,29,28.235001,28.34,2666120,0.0,1.0
2006-04-07,28.48,28.674999,27.110001,27.190001,1508610,0.0,1.0
2006-04-10,27.120001,27.120001,25.799999,25.9,1416780,0.0,1.0
2006-04-12,26.1,26.5,25.450001,25.57,1008920,0.0,1.0
2006-04-13,25.799999,25.799999,25,25.049999,675080,0.0,1.0
2006-04-17,25.1,25.700001,25.1,25.445,490430,0.0,1.0
2006-04-18,25.74,26.07,25.355,25.545,477910,0.0,1.0
2006-04-19,25.700001,28.5,25.549999,28.184999,5549490,0.0,1.0
2006-04-20,28.9,29.389999,28.370001,28.605,4519630,0.0,1.0
2006-04-21,28.75,28.75,27.325001,27.754999,1526430,0.0,1.0
2006-04-24,28.110001,28.469999,27.825001,27.995001,934090,0.0,1.0
2006-04-25,28.155001,30.379999,28,28.9,7907660,0.0,1.0
2006-04-26,29,29.48,28.200001,28.389999,1438220,0.0,1.0
2006-04-27,28.6,30.200001,28.42,29.084999,3905630,0.0,1.0
