date,open,high,low,close,volume,dividend,split
2000-06-23,18.5,18.5,17.450001,17.75,350,0.0,1.0
2000-06-26,16.5,16.75,16.5,16.75,2265,0.0,1.0
2000-06-27,16.75,17,16.75,16.799999,2050,0.0,1.0
2000-06-28,16.75,16.9,16.75,16.9,750,0.0,1.0
2000-06-29,16.5,16.65,16.5,16.65,160,0.0,1.0
2000-06-30,16.65,16.65,16.15,16.15,600,0.0,1.0
2000-07-03,16.85,16.85,16.85,16.85,100,0.0,1.0
2000-07-04,16.200001,16.200001,16,16,430,0.0,1.0
2000-07-05,16.25,16.6,16.25,16.6,150,0.0,1.0
2000-07-06,16.25,16.35,16.25,16.299999,250,0.0,1.0
2000-07-07,16.299999,16.299999,16.299999,16.299999,0,0.0,1.0
2000-07-10,16.299999,16.299999,16.299999,16.299999,0,0.0,1.0
2000-07-11,15.7,16.4,15.25,16.4,655,0.0,1.0
2000-07-12,16,16.6,16,16.6,550,0.0,1.0
2000-07-13,16.450001,16.5,16,16,1050,0.0,1.0
2000-07-14,16,16,16,16,500,0.0,1.0
2000-07-17,16,16,16,16,0,0.0,1.0
2000-07-18,16,16,15.3,15.3,150,0.0,1.0
2000-07-19,15.3,16.25,15.3,16.1,200,0.0,1.0
2000-07-20,15.35,15.35,15.25,15.25,800,0.0,1.0
2000-07-21,15.5,16,15.5,16,500,0.0,1.0
2000-07-24,16,16,16,16,0,0.0,1.0
2000-07-25,15.5,15.5,15.5,15.5,100,0.0,1.0
2000-07-26,15.9,15.9,15,15.1,850,0.0,1.0
2000-07-27,15.1,15.1,15.1,15.1,0,0.0,1.0
2000-07-28,15.3,15.3,15.3,15.3,100,0.0,1.0
2000-07-31,15.3,15.3,15.3,15.3,0,0.0,1.0
2000-08-01,14.5,14.5,14.5,14.5,195,0.0,1.0
2000-08-02,14.75,15,14.65,14.65,720,0.0,1.0
2000-08-03,15.3,15.3,15.25,15.25,250,0.0,1.0
2000-08-04,15,15,15,15,100,0.0,1.0
2000-08-07,15,15,15,15,0,0.0,1.0
2000-08-08,14.1,14.1,14.1,14.1,200,0.0,1.0
2000-08-09,13.85,14.5,13.65,14.25,1300,0.0,1.0
2000-08-10,14.1,14.1,14.05,14.05,250,0.0,1.0
2000-08-11,13.25,14.65,13,14.65,850,0.0,1.0
2000-08-14,14.5,14.5,13.5,13.5,1150,0.0,1.0
2000-08-15,13.5,13.5,13.5,13.5,0,0.0,1.0
2000-08-16,13.5,13.5,13.5,13.5,0,0.0,1.0
2000-08-17,13.35,13.35,13.35,13.35,100,0.0,1.0
2000-08-18,14.4,14.4,13.65,14.4,550,0.0,1.0
2000-08-21,14,14,14,14,50,0.0,1.0
2000-08-22,14.4,14.5,14.05,14.05,300,0.0,1.0
2000-08-23,14.05,14.05,14.05,14.05,50,0.0,1.0
2000-08-24,15.15,15.15,15.15,15.15,150,0.0,1.0
2000-08-25,16.35,16.35,16.35,16.35,100,0.0,1.0
2000-08-28,16.35,16.35,16.35,16.35,0,0.0,1.0
2000-08-29,17.6,17.6,17.6,17.6,50,0.0,1.0
2000-08-30,17.6,17.6,17.6,17.6,0,0.0,1.0
2000-08-31,17.5,17.5,16.65,16.65,200,0.0,1.0
2000-09-01,16.65,16.65,16.65,16.65,0,0.0,1.0
2000-09-04,17.950001,17.950001,17.950001,17.950001,71,0.0,1.0
2000-09-05,19.35,19.35,18,19,600,0.0,1.0
2000-09-06,17.5,17.5,17.5,17.5,200,0.0,1.0
2000-09-07,17.5,17.5,17,17,850,0.0,1.0
2000-09-08,17,17,17,17,0,0.0,1.0
2000-09-11,15.65,17,15.65,15.65,190,0.0,1.0
2000-09-12,15.7,15.7,15,15,155,0.0,1.0
2000-09-13,15.05,15.05,13.85,13.85,5255,0.0,1.0
2000-09-14,12.85,14.55,12.85,14.5,701,0.0,1.0
2000-09-15,14.85,14.9,13.5,14,500,0.0,1.0
2000-09-18,14,14,14,14,0,0.0,1.0
2000-09-19,14,14,14,14,0,0.0,1.0
2000-09-20,14.5,14.5,14.5,14.5,2000,0.0,1.0
2000-09-21,14,14.5,13.7,14.5,1400,0.0,1.0
2000-09-22,13.7,14.25,13.7,14.25,110,0.0,1.0
2000-09-25,13.15,14.85,13.15,13.5,1201,0.0,1.0
2000-09-26,13.5,13.5,13.5,13.5,0,0.0,1.0
2000-09-27,13.5,13.5,13.5,13.5,0,0.0,1.0
2000-09-28,13.8,13.8,13.8,13.8,200,0.0,1.0
2000-09-29,13.8,13.8,13.8,13.8,0,0.0,1.0
2000-10-02,13.8,13.8,13.8,13.8,0,0.0,1.0
2000-10-03,12.7,12.7,12.7,12.7,1,0.0,1.0
2000-10-04,12.7,12.7,12.7,12.7,0,0.0,1.0
2000-10-05,13,13,13,13,30,0.0,1.0
2000-10-06,12.5,14,12.5,13.6,102,0.0,1.0
2000-10-09,12.6,12.6,12.6,12.6,20,0.0,1.0
2000-10-10,12.55,12.55,12.55,12.55,25,0.0,1.0
2000-10-11,12.55,12.55,12.55,12.55,0,0.0,1.0
2000-10-12,11.55,13,11.55,12.5,180,0.0,1.0
2000-10-13,12.5,12.5,12.5,12.5,0,0.0,1.0
2000-10-16,12.5,12.5,12.5,12.5,0,0.0,1.0
2000-10-17,12.5,12.5,12.5,12.5,100,0.0,1.0
2000-10-18,12.5,12.5,12.5,12.5,0,0.0,1.0
2000-10-19,13.45,13.45,12,12,40,0.0,1.0
2000-10-20,12,12,12,12,0,0.0,1.0
2000-10-23,12,12,12,12,0,0.0,1.0
2000-10-24,12,12,12,12,0,0.0,1.0
2000-10-25,12,12,12,12,0,0.0,1.0
2000-10-26,12,12,12,12,0,0.0,1.0
2000-10-27,12,12,12,12,0,0.0,1.0
2000-10-30,12,12,12,12,0,0.0,1.0
2000-10-31,12,12,12,12,0,0.0,1.0
2000-11-01,12,12,12,12,0,0.0,1.0
2000-11-02,12.7,12.7,12.7,12.7,110,0.0,1.0
2000-11-03,12.95,12.95,12.8,12.9,81,0.0,1.0
2000-11-06,11.9,11.9,11.9,11.9,70,0.0,1.0
2000-11-07,12.05,12.8,12.05,12.1,300,0.0,1.0
