date,open,high,low,close,volume,dividend,split
2000-01-03,30,30.885,29.305,30.885,6243965,0.0,1.0
2000-01-04,32.299999,32.349998,29.4,30.375,3547675,0.0,1.0
2000-01-05,29.9,30.1,28,29.200001,2522065,0.0,1.0
2000-01-06,29.5,30.34,29.200001,29.41,1994390,0.0,1.0
2000-01-07,29.200001,29.48,27.93,28.5,3132470,0.0,1.0
2000-01-10,30,30,28.51,28.700001,1207075,0.0,1.0
2000-01-11,29,29.290001,27.219999,28.245001,2169435,0.0,1.0
2000-01-12,28.299999,29.1,28.200001,28.325001,768310,0.0,1.0
2000-01-13,28.49,28.895,28,28.200001,828790,0.0,1.0
2000-01-14,28,29.200001,27.51,28.809999,1805475,0.0,1.0
2000-01-17,29.92,31.1,29.799999,30.25,4161860,0.0,1.0
2000-01-18,30.299999,31.875,30.299999,30.9,3523190,0.0,1.0
2000-01-19,31.120001,31.200001,30.200001,30.200001,2141730,0.0,1.0
2000-01-20,30.4,30.41,28.865,29,1790290,0.0,1.0
2000-01-21,29.450001,30.6,28.799999,29.6,4342335,0.0,1.0
2000-01-24,30.15,30.65,29.200001,29.405001,1252750,0.0,1.0
2000-01-25,29.025,30.924999,29.025,30.700001,3340685,0.0,1.0
2000-01-26,30.700001,30.700001,30.700001,30.700001,0,0.0,1.0
2000-01-27,30.9,33.154999,30.895,33.154999,7230000,0.0,1.0
2000-01-28,33.5,33.799999,32.049999,33,6525380,0.0,1.0
2000-01-31,32.580002,35.169998,32.110001,33.299999,4901800,1.68509,1.0
2000-02-01,33.299999,35.439999,33.299999,34.805,3849220,0.0,1.0
2000-02-02,35.34,35.494999,34.110001,34.700001,3256240,0.0,1.0
2000-02-03,35.200001,35.240002,33.75,34.5,1274585,0.0,1.0
2000-02-04,34.599998,36.200001,34,34.5,5013790,0.0,1.0
2000-02-07,35.099998,36.400002,34.599998,35.799999,2942915,0.0,1.0
2000-02-08,35.110001,35.880001,34.650002,35.18,1208280,0.0,1.0
2000-02-09,35.470001,35.470001,32.369999,32.799999,2398665,0.0,1.0
2000-02-10,32.700001,33.200001,31.309999,32.395,1411770,0.0,1.0
2000-02-11,32.5,34.985001,31.5,34.985001,5279670,0.0,1.0
2000-02-14,35.59,37.200001,35,35.549999,6833390,0.0,1.0
2000-02-15,35,36,33.5,33.525002,3027140,0.0,1.0
2000-02-16,34,34.799999,33.599998,33.900002,1093710,0.0,1.0
2000-02-17,34.189999,34.450001,33.5,33.75,737430,0.0,1.0
2000-02-18,33.5,34,32,32.299999,2644400,0.0,1.0
2000-02-21,33.400002,34,32,32.110001,1069155,0.0,1.0
2000-02-22,32.099998,32.400002,30.9,31.299999,992855,0.0,1.0
2000-02-23,31.5,33.799999,31.5,33.799999,3001110,0.0,1.0
2000-02-24,34.799999,35.485001,33,35.299999,2533405,0.0,1.0
2000-02-25,35.494999,38.119999,34.900002,38.119999,2669985,0.0,1.0
2000-02-28,39.299999,41.165001,38.555,41.165001,4627515,0.0,1.0
2000-02-29,42.5,44.455002,37.875,39.209999,10411410,0.0,1.0
2000-03-01,39.900002,42.345001,39.799999,42.345001,3186485,0.0,1.0
2000-03-02,43.299999,45.73,43.299999,45.73,1093690,0.0,1.0
2000-03-03,47,48.799999,42.075001,45.5,3515505,0.0,1.0
2000-03-06,48,48,43.099998,44,2743410,0.0,1.0
2000-03-07,43.900002,44,40.485001,40.700001,2228265,0.0,1.0
2000-03-08,40.900002,42.349998,39.205002,41,1483825,0.0,1.0
2000-03-09,41.299999,41.299999,38.5,39.200001,467665,0.0,1.0
2000-03-10,39.599998,40.599998,38.5,39.009998,1311585,0.0,1.0
2000-03-13,39.009998,39.009998,39.009998,39.009998,0,0.0,1.0
2000-03-14,38,40.349998,36.82,40.009998,724640,0.0,1.0
2000-03-15,40.494999,40.494999,38.099998,39.599998,490340,0.0,1.0
2000-03-16,39.049999,40.099998,39.049999,39.610001,952570,0.0,1.0
2000-03-17,39.610001,39.610001,39.610001,39.610001,0,0.0,1.0
2000-03-20,39.610001,39.610001,39.610001,39.610001,0,0.0,1.0
2000-03-21,41.439999,42.775002,39.950001,41.740002,911905,0.0,1.0
2000-03-22,41.689999,42.799999,38.450001,41.650002,886880,0.0,1.0
2000-03-23,42.700001,44.98,40.400002,40.900002,840270,0.0,1.0
2000-03-24,41.200001,41.700001,40.025002,41.174999,334055,0.0,1.0
2000-03-27,42.400002,44.465,41.200001,42.5,1351130,0.0,1.0
2000-03-28,42.799999,42.799999,40.799999,41.700001,562975,0.0,1.0
2000-03-29,41.5,41.599998,38.365002,38.365002,701900,0.0,1.0
2000-03-30,37,37.125,35.32,35.32,585870,0.0,1.0
2000-03-31,32.599998,38.139999,32.599998,38.139999,698630,0.0,1.0
2000-04-03,41.189999,41.189999,41.189999,41.189999,61585,0.0,1.0
2000-04-04,44,44.48,44,44.48,1723065,0.0,1.0
2000-04-05,48.035,48.035,44,46.799999,2217660,0.0,1.0
2000-04-06,46.125,46.5,43.5,46.025002,2282790,0.0,1.0
2000-04-07,46.200001,49.705002,45.900002,48.855,3264930,0.0,1.0
2000-04-10,49.900002,50.299999,46.724998,47.400002,5158285,0.0,1.0
2000-04-11,47.099998,47.5,46.099998,46.875,789945,0.0,1.0
2000-04-12,46.5,47,44.299999,45.715,1467645,0.0,1.0
2000-04-13,45.125,47.200001,43.5,45.900002,1588605,1.88145,1.0
2000-04-14,45.900002,45.900002,45.900002,45.900002,0,0.0,1.0
2000-04-17,42.599998,43.990002,42.23,43.25,1539230,0.0,1.0
2000-04-18,43.5,45,43.5,44.400002,721745,0.0,1.0
2000-04-19,45,46.299999,44.5,45.994999,716840,0.0,1.0
2000-04-20,45.700001,49.299999,44.625,47.299999,1844500,0.0,1.0
2000-04-21,47.299999,47.299999,47.299999,47.299999,0,0.0,1.0
2000-04-24,47.790001,47.790001,44.150002,44.299999,525470,0.0,1.0
2000-04-25,43.599998,46,42.209999,45.82,904550,0.0,1.0
2000-04-26,45.150002,47,45.150002,45.799999,718190,0.0,1.0
2000-04-27,45.5,46.389999,44.5,46.099998,357150,0.0,1.0
2000-04-28,46.450001,47.900002,46,47.290001,868020,0.0,1.0
2000-05-01,47.290001,47.290001,47.290001,47.290001,0,0.0,1.0
2000-05-02,47.740002,48.200001,45.5,46.700001,1087955,0.0,1.0
2000-05-03,46.209999,46.849998,45,46.395,963525,0.0,1.0
2000-05-04,46.5,46.799999,44.900002,45.799999,1411640,0.0,1.0
2000-05-05,45.799999,45.799999,45.799999,45.799999,0,0.0,1.0
2000-05-08,45.099998,45.099998,43.119999,44,1403570,0.0,1.0
2000-05-09,44,44,44,44,0,0.0,1.0
2000-05-10,42.400002,44.700001,41,43.974998,688035,0.0,1.0
2000-05-11,43.599998,46.599998,43.009998,44.91,1479065,0.0,1.0
2000-05-12,44.91,44.91,44.91,44.91,0,0.0,1.0
2000-05-15,44.91,44.91,44.91,44.91,0,0.0,1.0
2000-05-16,44.91,44.91,44.91,44.91,0,0.0,1.0
2000-05-17,44.91,44.91,44.91,44.91,0,0.0,1.0
2000-05-18,44.91,44.91,44.91,44.91,0,0.0,1.0
2000-05-19,44.91,44.91,44.91,44.91,0,0.0,1.0
2000-05-22,44.91,44.91,44.91,44.91,0,0.0,1.0
2000-05-23,44.91,44.91,44.91,44.91,0,0.0,1.0
2000-05-24,44.91,44.91,44.91,44.91,0,0.0,1.0
2000-05-25,48.990002,49.099998,46.799999,47.5,948995,0.0,1.0
2000-05-26,47.200001,49,46.200001,48.404999,668030,0.0,1.0
2000-05-29,48.200001,54.209999,47.599998,54.209999,2890250,0.0,1.0
2000-05-30,55.200001,57.700001,52.799999,53.400002,1787270,0.0,1.0
2000-05-31,54.169998,55,47,47.400002,2344430,0.0,1.0
2000-06-01,47.014999,50.98,47.014999,49.705002,871675,0.0,1.0
2000-06-02,49.900002,53.5,49.299999,52.224998,1163530,0.0,1.0
2000-06-05,52.5,56.400002,52.099998,55.200001,2227410,0.0,1.0
2000-06-06,55.200001,55.900002,52.700001,53,667815,0.0,1.0
2000-06-07,52.799999,53.5,51.200001,51.494999,520300,0.0,1.0
2000-06-08,51.799999,52.595001,51.099998,51.275002,335905,0.0,1.0
2000-06-09,51.400002,52.5,50.419998,50.77,732580,0.0,1.0
2000-06-12,52.34,52.34,49.009998,50.299999,1278435,0.0,1.0
2000-06-13,51.099998,51.099998,49.5,49.764999,794340,0.0,1.0
2000-06-14,49.799999,49.799999,48.5,48.605,293955,0.0,1.0
2000-06-15,48.700001,48.900002,48.299999,48.595001,182040,0.0,1.0
2000-06-16,48.599998,51,48.150002,50.055,703550,0.0,1.0
2000-06-19,50.055,50.055,50.055,50.055,0,0.0,1.0
2000-06-20,51,51.875,50.310001,50.805,654975,0.0,1.0
2000-06-21,51.130001,53.099998,50.400002,52.400002,1215410,0.0,1.0
2000-06-22,52.5,53.599998,50.900002,52.619999,1088105,0.0,1.0
2000-06-23,52.105,54.25,51.810001,53.584999,675685,0.0,1.0
2000-06-26,53.299999,54.695,52.5,54.119999,575435,0.0,1.0
2000-06-27,54.5,57.099998,54,55.779999,1986935,0.0,1.0
2000-06-28,55.5,57,53.75,55.884998,1348485,0.0,1.0
2000-06-29,56.025002,56.025002,54.560001,54.98,398505,0.0,1.0
2000-06-30,54.540001,56,54.540001,55.904999,527545,0.0,1.0
2000-07-03,55.5,55.5,53.5,54.665001,786745,0.0,1.0
2000-07-04,54.599998,54.599998,47.400002,48.285,2701980,0.0,1.0
2000-07-05,48.400002,49.400002,47.5,48.455002,480265,0.0,1.0
2000-07-06,49.099998,52.09,49.099998,50.91,1434005,0.0,1.0
2000-07-07,50.91,50.91,50.91,50.91,0,0.0,1.0
2000-07-10,50.91,50.91,50.91,50.91,0,0.0,1.0
2000-07-11,49.005001,49.470001,48.099998,48.334999,505590,0.0,1.0
2000-07-12,48.375,49.700001,48.299999,48.959999,393790,0.0,1.0
2000-07-13,49.099998,49.349998,48.610001,48.705002,267935,0.0,1.0
2000-07-14,48.610001,49.299999,47.299999,47.689999,472920,0.0,1.0
2000-07-17,48,48.799999,47.700001,48.485001,273675,0.0,1.0
2000-07-18,48.5,48.990002,47.700001,47.860001,414495,0.0,1.0
2000-07-19,47.5,48,46.224998,47.330002,302085,0.0,1.0
2000-07-20,47.700001,52.099998,47.700001,51.119999,2091650,0.0,1.0
2000-07-21,51.5,52,50.404999,51.365002,721900,0.0,1.0
2000-07-24,51.365002,51.365002,51.365002,51.365002,0,0.0,1.0
2000-07-25,49.66,50.099998,48.099998,49.830002,828865,0.0,1.0
2000-07-26,50.099998,50.700001,49.400002,50.040001,239155,0.0,1.0
2000-07-27,50.040001,50.040001,50.040001,50.040001,0,0.0,1.0
2000-07-28,49.799999,50.5,49.794998,50.365002,301555,0.0,1.0
2000-07-31,50.189999,50.900002,49.700001,50.555,172265,0.0,1.0
2000-08-01,50.900002,51,49.900002,50.029999,248510,0.0,1.0
2000-08-02,49.509998,50.099998,48.200001,49.215,156305,0.0,1.0
2000-08-03,48.900002,49.200001,48.634998,48.700001,121465,0.0,1.0
2000-08-04,49.09,50.825001,48.400002,50.645,498390,0.0,1.0
2000-08-07,48,50.5,48,50.290001,231270,0.0,1.0
2000-08-08,50.125,50.900002,49.900002,50.689999,222505,0.0,1.0
