date,open,high,low,close,volume,dividend,split
2000-01-28,25,25,23.75,24.25,13075,0.0,1.0
2000-01-31,24,24.5,23.6,23.799999,4100,0.0,1.0
2000-02-01,23.5,24,23.5,23.9,3400,0.0,1.0
2000-02-02,22.049999,24.15,22.049999,24,8675,0.0,1.0
2000-02-03,24,24,24,24,0,0.0,1.0
2000-02-04,24.950001,24.950001,23.5,23.85,14020,0.0,1.0
2000-02-07,25,25,23,23.700001,5727,0.0,1.0
2000-02-08,22.25,24.200001,22.25,24,3294,0.0,1.0
2000-02-09,23.5,24,23.5,23.5,3795,0.0,1.0
2000-02-10,23.5,23.5,23.5,23.5,4600,0.0,1.0
2000-02-11,22.549999,22.75,21.85,22.700001,5300,0.0,1.0
2000-02-14,23.5,24,22.1,24,5800,0.0,1.0
2000-02-15,23.25,24,22.65,24,17085,0.0,1.0
2000-02-16,22.4,24,22.4,23.200001,7250,0.0,1.0
2000-02-17,23.1,24.799999,23,23,6100,0.0,1.0
2000-02-18,23.1,24.35,21.5,23,5500,0.0,1.0
2000-02-21,24,24,23,24,4752,0.0,1.0
2000-02-22,23,24.5,23,24,9450,0.0,1.0
2000-02-23,23.5,23.5,23,23,3600,0.0,1.0
2000-02-24,23.1,23.1,23,23.049999,4800,0.0,1.0
2000-02-25,23.1,24.75,23,24.75,14275,0.0,1.0
2000-02-28,23.1,24,23.1,23.549999,1900,0.0,1.0
2000-02-29,23.4,25,23.4,24.85,9600,0.0,1.0
2000-03-01,25,26,24.25,25.35,5550,0.0,1.0
2000-03-02,25.1,27.35,24.6,26.6,6925,0.0,1.0
2000-03-03,27,28.700001,25.1,25.5,6610,0.0,1.0
2000-03-06,26.75,27.5,25.5,26.049999,8800,0.0,1.0
2000-03-07,27.5,28,25.5,27.799999,23701,0.0,1.0
2000-03-08,28,28,26,26,12100,0.0,1.0
2000-03-09,25.85,26.5,25.85,25.85,8550,0.0,1.0
2000-03-10,25,25.9,25,25.85,17450,0.0,1.0
2000-03-13,25.85,25.85,25.85,25.85,0,0.0,1.0
2000-03-14,25.85,26,25.85,25.85,3287,0.0,1.0
2000-03-15,25.85,25.85,25.85,25.85,5950,0.0,1.0
2000-03-16,27.4,27.4,26,26,6200,0.0,1.0
2000-03-17,26,26,26,26,0,0.0,1.0
2000-03-20,26,26,26,26,0,0.0,1.0
2000-03-21,26,26,26,26,1800,0.0,1.0
2000-03-22,26,26.049999,26,26,1850,0.0,1.0
2000-03-23,26,27.5,26,26.85,9888,0.0,1.0
2000-03-24,27.299999,28.9,27,28.9,8200,0.0,1.0
2000-03-27,28.1,30.9,27.5,28,9700,0.0,1.0
2000-03-28,28.299999,30.200001,28.299999,30,16250,0.0,1.0
2000-03-29,32,32,30,30.4,10761,0.0,1.0
2000-03-30,32,32,30,30,5750,0.0,1.0
2000-03-31,30,30.75,29.950001,30.049999,7750,0.0,1.0
2000-04-03,30,30.5,30,30,5200,0.0,1.0
2000-04-04,30,30,27.700001,28,1800,0.0,1.0
2000-04-05,28.4,28.4,25.799999,26,1100,0.0,1.0
2000-04-06,23.950001,26.950001,23.950001,26.549999,3750,0.0,1.0
2000-04-07,26.5,27,26.5,26.85,3175,0.0,1.0
2000-04-10,27.049999,28.450001,27.049999,28.450001,441,0.0,1.0
2000-04-11,28.450001,28.450001,28.450001,28.450001,0,0.0,1.0
2000-04-12,27.5,27.549999,25.25,26.549999,7050,0.0,1.0
2000-04-13,26.5,26.549999,26.5,26.5,1600,0.0,1.0
2000-04-14,26.5,26.5,26.5,26.5,0,0.0,1.0
2000-04-17,27,27,27,27,626,0.0,1.0
2000-04-18,27,27.85,27,27,1850,0.0,1.0
2000-04-19,27.5,27.5,27.25,27.25,1000,0.0,1.0
2000-04-20,27.25,27.25,27.25,27.25,800,0.0,1.0
2000-04-21,27.25,27.25,27.25,27.25,0,0.0,1.0
2000-04-24,27.25,27.25,27.25,27.25,0,1.09821,1.0
2000-04-25,27,27,27,27,1350,0.0,1.0
2000-04-26,27,27,27,27,0,0.0,1.0
2000-04-27,26.5,26.5,26.5,26.5,400,0.0,1.0
2000-04-28,26.6,26.6,26.5,26.5,1800,0.0,1.0
2000-05-01,26.5,26.5,26.5,26.5,0,0.0,1.0
2000-05-02,26,26,26,26,850,0.0,1.0
2000-05-03,26,26,26,26,0,0.0,1.0
2000-05-04,26.25,26.25,26.25,26.25,4250,0.0,1.0
2000-05-05,26.25,26.25,26.25,26.25,0,0.0,1.0
2000-05-08,26.5,26.5,26.5,26.5,650,0.0,1.0
2000-05-09,26.5,26.5,26.5,26.5,0,0.0,1.0
2000-05-10,26.6,26.6,26.5,26.5,900,0.0,1.0
2000-05-11,26,26.049999,26,26,3800,0.0,1.0
2000-05-12,25.75,26,25.75,26,1500,0.0,1.0
2000-05-15,25.75,26,25,25.799999,6150,0.0,1.0
2000-05-16,25.75,25.75,25.75,25.75,350,0.0,1.0
2000-05-17,25.75,26.5,25.75,25.75,1300,0.0,1.0
2000-05-18,26,26,26,26,2500,0.0,1.0
2000-05-19,25.799999,26.25,25.75,25.75,2700,0.0,1.0
2000-05-22,25.75,25.75,25.75,25.75,50,0.0,1.0
2000-05-23,25.75,25.75,25.75,25.75,2050,0.0,1.0
2000-05-24,25.75,25.75,25.75,25.75,2000,0.0,1.0
2000-05-25,25.75,25.75,25.75,25.75,600,0.0,1.0
2000-05-26,25.75,25.9,25.75,25.75,4300,0.0,1.0
2000-05-29,25.75,25.85,25.75,25.75,1000,0.0,1.0
2000-05-30,25.75,26.25,25.75,26.25,900,0.0,1.0
2000-05-31,25.75,25.75,25.75,25.75,550,0.0,1.0
2000-06-01,26.25,26.25,25.75,25.799999,450,0.0,1.0
2000-06-02,25.75,26.5,25.75,26.5,1032,0.0,1.0
2000-06-05,26,26,26,26,500,0.0,1.0
2000-06-06,26,26,26,26,2650,0.0,1.0
2000-06-07,26,26,26,26,612,0.0,1.0
2000-06-08,26,26.5,26,26.5,2244,0.0,1.0
2000-06-09,26.5,27.4,26.25,27.4,1050,0.0,1.0
2000-06-12,26.75,26.75,26.25,26.25,1200,0.0,1.0
2000-06-13,26.1,26.5,26,26.450001,800,0.0,1.0
2000-06-14,26,26.25,26,26,2152,0.0,1.0
2000-06-15,26,26,26,26,1290,0.0,1.0
2000-06-16,26,26.15,26,26,2063,0.0,1.0
2000-06-19,26,26,26,26,0,0.0,1.0
2000-06-20,26,26.25,26,26.25,800,0.0,1.0
2000-06-21,26.25,26.25,26,26,600,0.0,1.0
2000-06-22,26,26,26,26,1850,0.0,1.0
2000-06-23,26.1,26.5,26,26,1700,0.0,1.0
2000-06-26,26,26.200001,26,26,650,0.0,1.0
2000-06-27,26,26,26,26,950,0.0,1.0
2000-06-28,26,26.25,26,26,1225,0.0,1.0
2000-06-29,26,26.799999,26,26,1350,0.0,1.0
2000-06-30,26,27,26,26.35,1550,0.0,1.0
2000-07-03,26,26.5,26,26.5,900,0.0,1.0
2000-07-04,26,26,24.4,24.4,350,0.0,1.0
2000-07-05,25.5,25.5,24.5,24.5,1050,0.0,1.0
2000-07-06,25,25.75,24.549999,25.450001,1850,0.0,1.0
2000-07-07,25.450001,25.450001,25.450001,25.450001,0,0.0,1.0
2000-07-10,25.450001,25.450001,25.450001,25.450001,0,0.0,1.0
2000-07-11,25.200001,25.200001,24.5,25,2750,0.0,1.0
2000-07-12,24.6,25.25,24.5,24.799999,1150,0.0,1.0
2000-07-13,24.5,25.25,24.5,25.1,650,0.0,1.0
2000-07-14,24.25,24.299999,24.25,24.25,1150,0.0,1.0
2000-07-17,26.15,26.15,25.049999,26.15,1350,0.0,1.0
2000-07-18,25.5,26.799999,25.5,26.5,576,0.0,1.0
2000-07-19,26.25,26.75,26.25,26.75,226,0.0,1.0
2000-07-20,28.25,28.85,28.25,28.85,3276,0.0,1.0
2000-07-21,31.1,31.1,31.1,31.1,4232,0.0,1.0
2000-07-24,31.1,31.1,31.1,31.1,0,0.0,1.0
2000-07-25,31.5,33,31,33,1400,0.0,1.0
2000-07-26,33.75,33.75,31,31,2151,0.0,1.0
