date,open,high,low,close,volume,dividend,split
2017-12-06,155,160,152,154,29200,0.0,1.0
2018-03-14,151,153.600006,150.199997,152.800003,13531,0.0,1.0
2018-03-15,156.100006,157,153,154.100006,40082,0.0,1.0
2018-03-16,153.850006,154.300003,151.350006,153,20607,0.0,1.0
2018-03-19,153,153,149.050003,150.800003,17004,0.0,1.0
2018-03-20,150,153,148,148.75,9608,0.0,1.0
2018-03-21,150.699997,150.699997,147.5,148.149994,8812,0.0,1.0
2018-03-22,150.050003,150.050003,146.25,148.449997,19648,0.0,1.0
2018-03-23,145.699997,145.949997,141,144.899994,21810,0.0,1.0
2018-03-26,146,146.100006,141.199997,145.399994,31606,0.0,1.0
2018-03-27,146.100006,146.850006,142.699997,143.399994,18318,0.0,1.0
2018-03-28,142.649994,145.050003,141.5,142.300003,18097,0.0,1.0
2018-04-02,142.350006,145.949997,142.350006,145.350006,20735,0.0,1.0
2018-04-03,144.850006,148.5,142.850006,147.449997,18855,0.0,1.0
2018-04-04,149.649994,150,145.25,145.600006,18399,0.0,1.0
2018-04-05,147.350006,150,147,148.350006,29037,0.0,1.0
2018-04-06,149.100006,157.850006,147.600006,155.149994,44591,0.0,1.0
2018-04-09,158.699997,159.899994,154.5,155.350006,15151,0.0,1.0
2018-04-10,157.800003,158.600006,155.199997,155.949997,24218,0.0,1.0
2018-04-11,155,159.5,151.449997,158.199997,38926,0.0,1.0
2018-04-12,158.199997,158.199997,153.899994,155.699997,18640,0.0,1.0
2018-04-13,156.25,156.5,154,154.550003,8664,0.0,1.0
2018-04-16,154.100006,155.350006,154,155,9413,0.0,1.0
2018-04-17,154.300003,155,151.75,153.699997,8993,0.0,1.0
2018-04-18,155.199997,156.399994,153.699997,154.25,7235,0.0,1.0
2018-04-19,156.399994,161.850006,156,157.100006,31768,0.0,1.0
2018-04-20,156.399994,157.5,154.449997,155.050003,8364,0.0,1.0
2018-04-23,155.050003,159.850006,154.100006,156.199997,74366,0.0,1.0
2018-04-24,157.350006,157.5,155,155.75,13366,0.0,1.0
2018-04-25,155.350006,155.350006,150.399994,150.699997,85367,0.0,1.0
2018-04-26,151.800003,152.899994,150,152.199997,24239,0.0,1.0
2018-04-27,153.199997,155.300003,153.199997,154.449997,3631,0.0,1.0
2018-04-30,155.949997,156.800003,155.100006,155.300003,11177,0.0,1.0
2018-05-02,155.300003,156.350006,153.899994,154.149994,5782,0.0,1.0
2018-05-03,154.100006,155,153.550003,154.399994,6674,0.0,1.0
2018-05-04,154.199997,154.5,150,150.550003,18581,0.0,1.0
2018-05-07,150.350006,152.449997,149.449997,150.100006,25763,0.0,1.0
2018-05-08,151.5,152.800003,150.850006,152.199997,10626,0.0,1.0
2018-05-09,152.699997,152.699997,150.350006,150.800003,11077,0.0,1.0
2018-05-10,151.350006,152.050003,150,150.5,6341,0.0,1.0
2018-05-11,150.449997,152.550003,150,150.100006,7036,0.0,1.0
2018-05-14,153.800003,153.800003,147.350006,148.25,5625,0.0,1.0
2018-05-15,147.600006,150.600006,147.600006,149,10082,0.0,1.0
2018-05-16,147.75,152.899994,146.800003,151.100006,11915,0.0,1.0
2018-05-17,150.100006,152.350006,149.149994,150.25,16009,0.0,1.0
2018-05-18,150.050003,151.550003,142.699997,143.949997,35292,0.0,1.0
2018-05-21,145.449997,146.449997,141.050003,143.050003,15392,0.0,1.0
2018-05-22,142.350006,146.899994,140.600006,143.899994,14732,0.0,1.0
2018-05-23,144.149994,145.850006,139.550003,141,12857,0.0,1.0
2018-05-24,141.649994,151.199997,141.649994,148.800003,137000,0.0,1.0
2018-05-25,148.5,149.449997,144,145.25,18607,0.0,1.0
2018-05-28,146.199997,151.350006,146,150.300003,21674,0.0,1.0
2018-05-29,149.149994,153.399994,148,148.800003,9645,0.0,1.0
2018-05-30,147,149.050003,147,148,9691,0.0,1.0
2018-05-31,148.699997,155,148.699997,151.899994,21125,0.0,1.0
2018-06-01,152.5,152.850006,146.100006,147.75,50489,0.0,1.0
2018-06-04,150.449997,152.100006,141.399994,142.25,46238,0.0,1.0
2018-06-05,142.350006,142.399994,135.550003,139.949997,23955,0.0,1.0
2018-06-06,139.5,144.5,138.600006,143,12531,0.0,1.0
2018-06-07,145.149994,146.649994,142.399994,142.75,19149,0.0,1.0
2018-06-08,142,142.5,139.600006,140.149994,24192,0.0,1.0
2018-06-11,142.75,146,141.199997,144.399994,10225,0.0,1.0
