date,open,high,low,close,volume,dividend,split
2002-01-01,4.8125,4.8125,4.8125,4.8125,2400,0.0,1.0
2002-01-03,5.125,5.125,5.125,5.125,54000,0.0,1.0
2002-01-04,5.15,5.225,4.975,4.975,5600,0.0,1.0
2002-01-07,5.9625,5.9625,5.9625,5.9625,5000,0.0,1.0
2002-01-08,6,6.4125,5.975,6.25,4600,0.0,1.0
2002-01-09,6.125,6.125,5.825,5.825,3600,0.0,1.0
2002-01-10,5.8125,5.875,5.8125,5.875,400,0.0,1.0
2002-01-11,5.75,6.75,5.3875,5.6375,1640,0.0,1.0
2002-01-14,6,6.0625,5.9,6.0625,1004,0.0,1.0
2002-01-15,5.6375,5.75,5.625,5.675,840,0.0,1.0
2002-01-16,5.6875,5.6875,5.6875,5.6875,400,0.0,1.0
2002-01-17,5.875,5.875,5.7875,5.7875,800,0.0,1.0
2002-01-21,5.7875,5.7875,5.7875,5.7875,500,0.0,1.0
2002-01-22,5.9625,5.9625,5.9625,5.9625,40,0.0,1.0
2002-01-23,5.75,5.75,5.75,5.75,1600,0.0,1.0
2002-01-24,5.75,5.75,5.6875,5.6875,1200,0.0,1.0
2002-01-25,5.75,5.75,5.7,5.7125,4800,0.0,1.0
2002-01-28,5.75,5.75,5.625,5.625,400,0.0,1.0
2002-01-29,5.75,5.8125,5.75,5.775,2400,0.0,1.0
2002-01-30,5.75,5.75,5.75,5.75,4000,0.0,1.0
2002-01-31,5.875,5.875,5.75,5.75,3204,0.0,1.0
2002-02-01,6,6,6,6,3200,0.0,1.0
2002-02-04,6,6,6,6,1200,0.0,1.0
2002-02-05,5.925,5.925,5.925,5.925,2400,0.0,1.0
2002-02-06,5.9875,6.025,5.9625,6.025,5400,0.0,1.0
2002-02-07,6.25,6.25,6.125,6.225,5700,0.0,1.0
2002-02-08,6.0625,6.5625,6.0625,6.45,3620,0.0,1.0
2002-02-11,6.5,6.625,6.5,6.5625,6400,0.0,1.0
2002-02-12,6.3125,6.3125,6.3125,6.3125,500,0.0,1.0
2002-02-14,6.6625,6.6625,6.3125,6.3125,3600,0.0,1.0
2002-02-15,6.4,6.6,6.4,6.6,2400,0.0,1.0
2002-02-18,6.3125,6.5,6.3125,6.375,18140,0.0,1.0
2002-02-19,6.75,6.75,6.75,6.75,4,0.0,1.0
2002-02-20,6.45,6.5,6.45,6.4625,2400,0.0,1.0
2002-02-21,6.5,6.5,6.5,6.5,1600,0.0,1.0
2002-02-22,6.5625,6.5625,6.5625,6.5625,800,0.0,1.0
2002-02-26,6.375,6.375,6.375,6.375,1200,0.0,1.0
2002-02-27,6.4,6.6,6.4,6.6,1600,0.0,1.0
2002-02-28,6.5625,6.725,6.3125,6.3125,5600,0.0,1.0
2002-03-04,6.5,6.5,6.4,6.4,2200,0.0,1.0
