date,open,high,low,close,volume,dividend,split
2000-08-08,32,32,32,32,750,0.0,1.0
2000-08-09,31.200001,33.053299,31.200001,33.053299,2250,0.0,1.0
2000-08-10,30.6667,31.4667,30.6667,31.4667,1500,0.0,1.0
2000-08-11,30.6667,32.266701,30.6667,30.6667,9000,0.0,1.0
2000-08-14,33.053299,33.053299,29.0667,30.133301,8250,0.0,1.0
2000-08-15,45.200001,45.200001,45.200001,45.200001,0,0.0,1.0
2000-08-16,30.5,30.52,30.5,30.5133,2250,0.0,1.0
2000-08-17,30,31.9333,29.799999,29.799999,10500,0.0,1.0
2000-08-18,31.3333,31.3333,30.0333,30.9533,18750,0.0,1.0
2000-08-21,46.43,46.43,46.43,46.43,0,0.0,1.0
2000-08-22,46.43,46.43,46.43,46.43,0,0.0,1.0
2000-08-23,16.713301,16.713301,16.713301,16.713301,750,0.0,1.0
2000-08-24,25.07,25.07,25.07,25.07,0,0.0,1.0
2000-08-25,18.0467,18.0467,18.0467,18.0467,8,0.0,1.0
2000-08-28,19.4867,19.4867,19.4867,19.4867,8,0.0,1.0
2000-08-29,21.040001,21.040001,21.040001,21.040001,8,0.0,1.0
2000-08-30,22.719999,22.719999,22.52,22.719999,12758,0.0,1.0
2000-08-31,24.266701,24.266701,23.200001,23.5867,4035,0.0,1.0
2000-09-01,35.380001,35.380001,35.380001,35.380001,0,0.0,1.0
2000-09-04,23.3333,24.26,23.200001,24.1133,5850,0.0,1.0
2000-09-05,23.4667,23.6,23.4667,23.6,6382,0.0,1.0
2000-09-06,23.7267,23.7267,23.200001,23.200001,38,0.0,1.0
2000-09-07,22.2733,22.2733,22.2733,22.2733,1500,0.0,1.0
2000-09-08,21.3867,21.3867,21.3867,21.3867,2625,0.0,1.0
2000-09-11,20.6667,21.0667,20.6667,21.0667,900,0.0,1.0
2000-09-12,21.3333,21.3333,20.2533,20.2533,975,0.0,1.0
2000-09-13,21.059999,21.059999,20.6667,20.6667,6150,0.0,1.0
2000-09-14,20.633301,20.633301,20.633301,20.633301,150,0.0,1.0
2000-09-15,20.6667,20.6667,19.813299,19.813299,4358,0.0,1.0
2000-09-18,29.719999,29.719999,29.719999,29.719999,0,0.0,1.0
2000-09-19,29.719999,29.719999,29.719999,29.719999,0,0.0,1.0
2000-09-20,19.866699,20,19.866699,20,525,0.0,1.0
