date,open,high,low,close,volume,dividend,split
2000-01-03,11.75,12,11,11.8,73500,0.0,1.0
2000-01-04,11,11.5,10.75,11.35,29116,0.0,1.0
2000-01-05,10.65,11.7,10.5,11.05,58600,0.0,1.0
2000-01-06,11,11.8,10.75,11.8,68000,0.0,1.0
2000-01-07,11,12.4,11,11.35,235261,0.0,1.0
2000-01-10,12.2,12.2,12.2,12.2,906,0.0,1.0
2000-01-11,13.15,13.15,13.15,13.15,28191,0.0,1.0
2000-01-12,13.5,14.15,13.2,14.15,78292,0.0,1.0
2000-01-13,15.2,15.2,14,14.5,52536,0.0,1.0
2000-01-14,14.2,14.5,13.8,14.3,33514,0.0,1.0
2000-01-17,15.1,15.1,13.8,13.8,17930,0.0,1.0
2000-01-18,13.8,14.2,13,13,34470,0.0,1.0
2000-01-19,13,13.3,12.1,12.9,25533,0.0,1.0
2000-01-20,12.95,12.95,12.15,12.2,32844,0.0,1.0
2000-01-21,12.1,13,12,12.05,14407,0.0,1.0
2000-01-24,12,12.9,11.55,12.5,5180,0.0,1.0
2000-01-25,12.05,12.5,11.55,11.55,12800,0.0,1.0
2000-01-26,11.55,11.55,11.55,11.55,0,0.0,1.0
2000-01-27,11,11.45,10.65,10.7,19200,0.0,1.0
2000-01-28,10.25,11,10.25,10.55,25808,0.0,1.0
2000-01-31,10.4,11.35,10.4,11.35,12448,0.0,1.0
2000-02-01,12.2,12.2,11.6,12.2,17000,0.0,1.0
2000-02-02,12,13.15,11.5,13.15,36583,0.0,1.0
2000-02-03,13.15,13.15,13.15,13.15,0,0.0,1.0
2000-02-04,13.3,14,13,13,62695,0.0,1.0
2000-02-07,14,14,13,14,46286,0.0,1.0
2000-02-08,15,15.1,15,15.1,11029,0.0,1.0
2000-02-09,16.25,16.25,16.25,16.25,13257,0.0,1.0
2000-02-10,17.5,17.5,17.5,17.5,6714,0.0,1.0
2000-02-11,18.85,18.85,18.85,18.85,16036,0.0,1.0
2000-02-14,20.299999,20.299999,17.4,17.5,104283,0.0,1.0
2000-02-15,17.5,18.450001,16.75,18.1,78000,0.0,1.0
2000-02-16,17.549999,19,17.200001,17.4,51539,0.0,1.0
2000-02-17,17.549999,18.25,17.5,17.5,67167,0.0,1.0
2000-02-18,17.85,17.85,16.15,16.75,153698,0.0,1.0
2000-02-21,17.25,17.450001,15.45,15.45,79875,0.0,1.0
2000-02-22,16.299999,16.549999,15.15,15.5,29910,0.0,1.0
2000-02-23,16,16.700001,14.7,14.75,18700,0.0,1.0
2000-02-24,14.75,15.85,13.85,15,44900,0.0,1.0
2000-02-25,14.85,15.5,14,15.5,73900,0.0,1.0
2000-02-28,15.1,16.25,15.1,15.8,16800,0.0,1.0
2000-02-29,15,16.200001,14.6,14.6,29636,0.0,1.0
2000-03-01,14,15,14,15,1789,0.0,1.0
2000-03-02,15,15.5,14,15,68540,0.0,1.0
2000-03-03,14.1,16,14,15.8,79836,0.0,1.0
2000-03-06,17.049999,17.049999,14.55,15,82802,0.0,1.0
2000-03-07,15.2,15.2,13.85,14.6,16736,0.0,1.0
2000-03-08,14,14,13.45,13.45,1400,0.0,1.0
2000-03-09,13.95,13.95,12.5,13,5831,0.0,1.0
2000-03-10,12.95,12.95,12,12.05,40055,0.0,1.0
2000-03-13,12.05,12.05,12.05,12.05,0,0.0,1.0
