date,open,high,low,close,volume,dividend,split
2002-07-01,31.74,32,31.74,32,590,0.0,1.0
2002-07-04,33.5,33.5,33,33.5,288,0.0,1.0
2002-07-05,33.75,33.75,33.75,33.75,20,0.0,1.0
2002-07-08,33.75,33.75,33.75,33.75,500,0.0,1.0
2002-07-09,35,35.25,34.875,35.25,1320,0.0,1.0
2002-07-11,33.875,33.875,33.75,33.75,116,0.0,1.0
2002-07-12,33,33,33,33,34,0.0,1.0
2002-07-15,33.5,33.75,33.5,33.75,4,0.0,1.0
2002-07-18,34.375,35,34.375,35,200,0.0,1.0
2002-07-23,35,35,33.875,33.875,250,0.0,1.0
2002-07-24,35,35,35,35,180,0.0,1.0
2002-07-29,33.264999,33.264999,33.264999,33.264999,200,0.0,1.0
2002-07-30,33.264999,33.264999,33.264999,33.264999,12,0.0,1.0
2002-08-06,31.6,31.6,31.6,31.6,100,0.0,1.0
2002-08-07,30.040001,30.040001,30.040001,30.040001,60,0.0,1.0
2002-08-08,28.540001,28.540001,28.540001,28.540001,50,0.0,1.0
2002-08-14,27.125,27.125,27.125,27.125,200,0.0,1.0
2002-08-26,27.5,27.5,27.5,27.5,400,0.0,1.0
2002-08-27,27.5,27.5,27.5,27.5,200,0.0,1.0
2002-09-02,28.75,28.75,28.75,28.75,2,0.0,1.0
2002-09-03,30.190001,30.190001,30.190001,30.190001,2,0.0,1.0
2002-09-09,28.690001,28.690001,28.690001,28.690001,50,0.0,1.0
2002-09-11,30,30,30,30,2,0.0,1.0
2002-09-17,29.975,29.975,29.975,29.975,30,0.0,1.0
2002-09-18,31.25,31.25,29.975,29.975,4,0.0,1.0
2002-09-27,28.75,28.75,28.75,28.75,10,0.0,1.0
2002-10-04,27.325001,27.325001,27.325001,27.325001,120,0.0,1.0
2002-10-08,27.25,27.25,26.25,26.25,20,0.0,1.0
2002-10-22,25.125,25.125,25,25,150,0.0,1.0
2002-10-25,23.764999,23.764999,23.764999,23.764999,50,0.0,1.0
2002-10-28,22.775,22.775,22.575001,22.575001,300,0.0,1.0
2002-11-25,23.5,23.5,23.5,23.5,10,0.0,1.0
2002-12-03,24.674999,24.674999,24.674999,24.674999,202,0.0,1.0
2002-12-11,23.450001,23.450001,23.450001,23.450001,200,0.0,1.0
2002-12-12,23.75,23.75,23.75,23.75,400,0.0,1.0
2002-12-26,24,24.940001,23.75,24.375,72500,0.0,1.0
2002-12-27,24.25,24.99,23.725,24.25,16734,0.0,1.0
2002-12-30,25.25,25.25,24.290001,24.315001,12602,0.0,1.0
2002-12-31,25.25,25.525,25.25,25.525,540,0.0,1.0
2003-01-01,26.799999,26.799999,26.799999,26.799999,100,0.0,1.0
2003-01-02,26.75,26.75,26.75,26.75,100,0.0,1.0
2003-01-03,26.75,26.75,26.065001,26.065001,368,0.0,1.0
2003-01-07,26.99,27,26.99,27,2176,0.0,1.0
2003-01-09,28.25,28.25,28.25,28.25,1000,0.0,1.0
2003-01-10,28.25,29.25,28.25,29.25,2950,0.0,1.0
2003-01-15,29.24,29.24,28.5,28.5,3220,0.0,1.0
2003-01-20,28.25,28.25,27.125,27.125,3020,0.0,1.0
2003-01-24,27.125,27.125,27.125,27.125,2920,0.0,1.0
2003-01-27,25.775,25.775,25.775,25.775,50,0.0,1.0
2003-01-28,25.75,25.75,25.75,25.75,300,0.0,1.0
2003-01-29,26.5,26.5,26.5,26.5,2920,0.0,1.0
2003-01-31,27.5,27.5,27.5,27.5,50,0.0,1.0
2003-02-03,27.475,27.475,27.475,27.475,2920,0.0,1.0
2003-02-04,26.115,26.115,26.115,26.115,200,0.0,1.0
2003-02-06,25,25,25,25,10,0.0,1.0
2003-02-07,26,26,26,26,2870,0.0,1.0
2003-02-11,24.715,24.715,24.715,24.715,100,0.0,1.0
2003-02-12,25,25,25,25,2870,0.0,1.0
2003-02-18,25,25,25,25,2870,0.0,1.0
2003-02-20,24,26,23.764999,24.875,8450,0.0,1.0
2003-02-21,25.75,25.75,25.75,25.75,2870,0.0,1.0
2003-02-25,26.125,26.125,26.125,26.125,50,0.0,1.0
2003-02-27,24.950001,24.950001,24.950001,24.950001,2870,0.0,1.0
2003-02-28,25.25,25.25,25.25,25.25,200,0.0,1.0
2003-03-04,25.125,25.125,25.125,25.125,2870,0.0,1.0
2003-03-07,23.875,23.875,23.875,23.875,50,0.0,1.0
2003-03-10,23.875,23.875,23.875,23.875,2870,0.0,1.0
2003-03-17,22.75,22.75,22.690001,22.690001,70,0.0,1.0
2003-03-19,23.5,23.5,23.5,23.5,2870,0.0,1.0
2003-03-20,22.35,22.35,22.34,22.34,400,0.0,1.0
2003-03-21,21.25,22.5,21.25,22.5,800,0.0,1.0
2003-03-24,22.5,23,22.5,23,225870,0.0,1.0
2003-03-26,22.5,22.5,22.5,22.5,5000,0.0,1.0
2003-03-27,22.440001,22.440001,22.424999,22.424999,3070,0.0,1.0
2003-03-28,22.424999,22.424999,21.375,21.549999,700,0.0,1.0
2003-03-31,20.5,20.5,20.5,20.5,30,0.0,1.0
2003-04-01,21.25,21.25,21.25,21.25,2870,0.0,1.0
2003-04-07,21.25,21.25,21.25,21.25,2970,0.0,1.0
2003-04-10,20.200001,20.200001,20.200001,20.200001,100,0.0,1.0
2003-04-11,20.200001,20.200001,19.514999,19.514999,2970,0.0,1.0
2003-04-16,19.514999,19.514999,19.514999,19.514999,2870,0.0,1.0
2003-04-17,20,20,20,20,50,0.0,1.0
2003-04-22,19.5,19.5,19.25,19.25,2890,0.0,1.0
2003-04-24,19.25,19.25,19.25,19.25,18800,0.0,1.0
2003-04-25,19.25,19.25,19.25,19.25,2870,0.0,1.0
2003-04-30,20.174999,20.174999,20,20,2970,0.0,1.0
2003-05-02,20,20,20,20,28,0.0,1.0
2003-05-05,21,21,20.5,20.5,52,0.0,1.0
2003-05-06,21,21,21,21,2870,0.0,1.0
2003-05-07,21.25,21.25,21.25,21.25,38,0.0,1.0
2003-05-08,22.315001,22.315001,22.315001,22.315001,490,0.0,1.0
2003-05-09,23.424999,23.424999,23.424999,23.424999,4,0.0,1.0
2003-05-12,24.59,24.59,24.59,24.59,2,0.0,1.0
2003-05-13,25.815001,25.815001,25.815001,25.815001,2,0.0,1.0
2003-05-14,27.1,27.1,27.1,27.1,200,0.0,1.0
2003-05-15,28.450001,28.450001,27.975,28.450001,1488,0.0,1.0
2003-05-16,28.5,29.865,28.5,29.865,600,0.0,1.0
