date,open,high,low,close,volume,dividend,split
2000-01-03,17.5,18.65,16,18.65,58900,0.0,1.0
2000-01-04,19.25,20.5,16.049999,17.1,23300,0.0,1.0
2000-01-05,15,16.85,15,15.9,18400,0.0,1.0
2000-01-06,15.05,15.95,15,15.75,14300,0.0,1.0
2000-01-07,16.450001,16.450001,14.2,14.65,19000,0.0,1.0
2000-01-10,15,15,14.4,14.8,4200,0.0,1.0
2000-01-11,15.1,15.1,13.65,14.55,5200,0.0,1.0
2000-01-12,14.85,14.85,14,14,400,0.0,1.0
2000-01-13,14,14,13.6,13.8,2900,0.0,1.0
2000-01-14,14,14,12.9,13,3800,0.0,1.0
2000-01-17,13,14,12.5,14,4900,0.0,1.0
2000-01-18,14.5,14.7,13,13.2,4700,0.0,1.0
2000-01-19,13.4,13.5,12.55,13,5400,0.0,1.0
2000-01-20,13.9,13.9,12,13,4400,0.0,1.0
2000-01-21,13.5,13.5,12.35,12.45,3400,0.0,1.0
2000-01-24,11.55,12.6,11.55,12.55,500,0.0,1.0
2000-01-25,13,13,11.8,11.8,2700,0.0,1.0
2000-01-26,11.8,11.8,11.8,11.8,0,0.0,1.0
2000-01-27,12,12.25,12,12,500,0.0,1.0
2000-01-28,11.8,12.25,11.15,11.55,5800,0.0,1.0
2000-01-31,12,12.4,11.25,11.5,1100,0.0,1.0
2000-02-01,11.5,11.8,11,11.6,5300,0.0,1.0
2000-02-02,11,11.6,10.75,11.6,2200,0.0,1.0
2000-02-03,11.6,11.6,11.6,11.6,0,0.0,1.0
2000-02-04,11.7,11.7,11,11,10800,0.0,1.0
2000-02-07,11.25,11.85,11.2,11.85,1600,0.0,1.0
2000-02-08,12,12.6,12,12.5,1100,0.0,1.0
2000-02-09,13.45,13.45,13.45,13.45,2200,0.0,1.0
2000-02-10,14.45,14.45,12.55,13.5,7700,0.0,1.0
2000-02-11,14.5,14.5,12.9,13.8,4500,0.0,1.0
2000-02-14,14,14,12.8,12.8,3700,0.0,1.0
2000-02-15,12.85,12.85,12.05,12.05,8600,0.0,1.0
2000-02-16,11.2,11.2,11.1,11.1,4000,0.0,1.0
2000-02-17,11.45,11.95,11.45,11.95,1600,0.0,1.0
2000-02-18,12,12.8,11.5,11.5,3700,0.0,1.0
2000-02-21,11.3,11.5,11.15,11.5,3700,0.0,1.0
2000-02-22,11.55,11.55,11.5,11.5,4400,0.0,1.0
