date,open,high,low,close,volume,dividend,split
2010-07-21,170,191.899994,170,189.199997,14943600,0.0,1.0
2010-07-22,190,196.699997,190,195.399994,2245175,0.0,1.0
2010-07-23,197.800003,197.800003,184.550003,187.199997,904146,0.0,1.0
2010-07-26,187,187,180,180.699997,103622,0.0,1.0
2010-07-27,181,188.300003,177.850006,185.949997,228873,0.0,1.0
2010-07-28,187,187,181,181.850006,81264,0.0,1.0
2010-07-29,181.75,183.199997,181.25,182.050003,50166,0.0,1.0
2010-07-30,181.149994,183,176.550003,179.449997,36172,0.0,1.0
2010-08-02,181.449997,182,176.800003,178.449997,10950,0.0,1.0
2010-08-03,178.800003,189.300003,175.050003,186.75,88978,0.0,1.0
2010-08-04,186.850006,186.850006,180.800003,182,10428,0.0,1.0
2010-08-05,181.5,184.5,181.5,182.600006,18979,0.0,1.0
2010-08-06,182.5,182.5,178,179.649994,11907,0.0,1.0
2010-08-09,182.949997,185.5,180.25,184.199997,17578,0.0,1.0
2010-08-10,181.550003,199.899994,181.550003,196.449997,243852,0.0,1.0
2010-08-11,196.800003,197.800003,185,188.050003,66270,0.0,1.0
2010-08-12,187.949997,194.800003,185.199997,187.149994,24673,0.0,1.0
2010-08-13,188.800003,188.800003,185,185.050003,5796,0.0,1.0
2010-08-16,184.5,187.25,183.25,185.050003,8693,0.0,1.0
2010-08-17,184,185.5,178.850006,183.850006,4967,0.0,1.0
2010-08-18,184.5,184.949997,179,179.850006,13943,0.0,1.0
2010-08-19,180.899994,185,174.050003,182.75,73859,0.0,1.0
2010-08-20,183.899994,184,177.649994,179.949997,37962,0.0,1.0
2010-08-23,181,183.899994,179.100006,181.75,2542,0.0,1.0
2010-08-24,182,185.25,181.100006,183.199997,2522,0.0,1.0
2010-08-25,182.050003,185,176.25,184.100006,16461,0.0,1.0
2010-08-26,183,185,181.399994,183,35872,0.0,1.0
2010-08-27,182,183.699997,178.149994,180,2881,0.0,1.0
2010-08-30,176.699997,186,176.699997,180.800003,15917,0.0,1.0
2010-08-31,180.050003,184.899994,174,180.949997,3390,0.0,1.0
2010-09-01,180.199997,182,177,177.899994,2285,0.0,1.0
2010-09-02,179,185.399994,177.949997,179.050003,14473,0.0,1.0
2010-09-03,180,180.800003,177.5,178.5,1241,0.0,1.0
2010-09-06,178,192.699997,177.149994,188.75,17972,0.0,1.0
2010-09-07,188,189,184,185.649994,3230,0.0,1.0
2010-09-08,180.050003,191.949997,180.050003,187.800003,20969,0.0,1.0
2010-09-09,187,189.899994,185.050003,185.699997,894,0.0,1.0
2010-09-13,186.899994,192.850006,183.199997,191.25,8951,0.0,1.0
2010-09-14,190,192.600006,186.100006,188.800003,4778,0.0,1.0
2010-09-15,190,195.899994,188,195.050003,16690,0.0,1.0
2010-09-16,196,196,185.350006,186.350006,5399,0.0,1.0
2010-09-17,185,190,185,189.350006,667,0.0,1.0
2010-09-20,182.100006,192,182.100006,191.699997,3788,0.0,1.0
2010-09-21,191,195,188,190.25,24684,0.0,1.0
2010-09-22,189,194.399994,183,192.550003,8273,0.0,1.0
2010-09-23,192,196,187,194.649994,3716,0.0,1.0
2010-09-24,190,193,185.050003,186.25,1743,0.0,1.0
2010-09-27,190,193,187.199997,191.949997,26467,0.0,1.0
2010-09-28,191,191,185,186.899994,582,0.0,1.0
2010-09-29,188,190,185,186.100006,268,0.0,1.0
2010-09-30,194,219.899994,190.25,191.75,157163,0.0,1.0
2010-10-01,194,196.800003,191,192,11503,0.0,1.0
2010-10-04,197.899994,197.899994,189.300003,192.899994,11638,0.0,1.0
2010-10-05,192.550003,198,190.050003,194.350006,11944,0.0,1.0
2010-10-06,194.350006,195.899994,188.100006,189.050003,6720,0.0,1.0
2010-10-07,192.899994,196,186,188.25,29695,0.0,1.0
2010-10-08,187.800003,187.800003,182.5,183.699997,5787,0.0,1.0
2010-10-11,187.949997,187.949997,184.5,186.050003,2564,0.0,1.0
2010-10-12,185,193.899994,183,188.449997,5643,0.0,1.0
2010-10-13,188.899994,192,181.5,183.600006,13609,0.0,1.0
2010-10-14,185.449997,187.600006,179,180,7726,0.0,1.0
2010-10-15,182,182.75,172.199997,175,7142,0.0,1.0
