date,open,high,low,close,volume,dividend,split
2000-06-28,301,311,300,308.149994,4490,0.0,1.0
2000-06-29,317,317,307.299988,308.149994,3800,0.0,1.0
2000-06-30,299.100006,301.850006,296.049988,296.950012,1100,0.0,1.0
2000-07-03,298,308.5,298,304.950012,1800,0.0,1.0
2000-07-04,309,323,309,316.049988,4600,0.0,1.0
2000-07-05,317,317,312,312,200,0.0,1.0
2000-07-06,310,310,305.299988,306,500,0.0,1.0
2000-07-07,306,306,306,306,0,0.0,1.0
2000-07-10,306,306,306,306,0,0.0,1.0
2000-07-11,305,308.399994,305,305.200012,600,0.0,1.0
2000-07-12,302.5,304.950012,300,304.950012,1500,0.0,1.0
2000-07-13,302,314,302,312.200012,2945,0.0,1.0
2000-07-14,315,331,315,323.950012,4400,0.0,1.0
2000-07-17,331.899994,340,325,335.25,13500,0.0,1.0
2000-07-18,333.049988,333.049988,325,325,800,0.0,1.0
2000-07-19,320,322.950012,303,303,2400,0.0,1.0
2000-07-20,301,324.75,301,323.049988,4900,0.0,1.0
2000-07-21,316.100006,316.549988,300,314,2000,0.0,1.0
2000-07-24,314,314,314,314,0,0.0,1.0
2000-07-25,268.75,283,265.799988,283,1700,0.0,1.0
2000-07-26,285,285,260.399994,260.5,1000,0.0,1.0
2000-07-27,260.5,260.5,260.5,260.5,0,0.0,1.0
2000-07-28,238,249,238,245,2400,0.0,1.0
2000-07-31,241,246.949997,231.050003,231.050003,600,0.0,1.0
2000-08-01,231.5,231.5,221,221,800,0.0,1.0
2000-08-02,220,225,220,225,200,0.0,1.0
2000-08-03,220,220,220,220,100,0.0,1.0
2000-08-04,205.550003,214.949997,204.100006,208,400,0.0,1.0
2000-08-07,214,214,206.100006,209.050003,300,0.0,1.0
2000-08-08,210,215,210,215,645,0.0,1.0
2000-08-09,231,231,231,231,236,0.0,1.0
2000-08-10,245,245,227,227,300,0.0,1.0
2000-08-11,211.050003,211.050003,209.5,209.5,200,0.0,1.0
2000-08-14,210,210,210,210,345,0.0,1.0
2000-08-15,210,210,210,210,0,0.0,1.0
2000-08-16,210,210,210,210,0,0.0,1.0
2000-08-17,205,205.149994,205,205,400,0.0,1.0
2000-08-18,205.050003,211.100006,205.050003,211,1000,0.0,1.0
2000-08-21,220,226,220,221,600,0.0,1.0
2000-08-22,217,217,209,215,900,0.0,1.0
2000-08-23,215,215,209.100006,209.100006,300,0.0,1.0
2000-08-24,205,205,205,205,210,0.0,1.0
2000-08-25,200,203,200,202,400,0.0,1.0
2000-08-28,202,202,202,202,0,0.0,1.0
2000-08-29,218.149994,218.149994,218.149994,218.149994,1,0.0,1.0
2000-08-30,225,235,225,235,321,0.0,1.0
2000-08-31,232.100006,245,232.100006,245,71,0.0,1.0
2000-09-01,245,245,245,245,0,0.0,1.0
2000-09-04,236,247,236,238.149994,331,0.0,1.0
2000-09-05,240,240,240,240,25,0.0,1.0
2000-09-06,248,256,242,251.100006,397,0.0,1.0
2000-09-07,258,268.5,258,259,190,0.0,1.0
2000-09-08,248,251,247,251,46,0.0,1.0
2000-09-11,259,268,240,240,646,0.0,1.0
2000-09-12,240,240,230.050003,230.050003,220,0.0,1.0
2000-09-13,225,246.949997,225,246.949997,35,0.0,1.0
2000-09-14,243.949997,243.949997,227.5,227.5,285,0.0,1.0
2000-09-15,235,235,216.300003,220,382,0.0,1.0
