date,open,high,low,close,volume,dividend,split
2017-12-06,132,132,128,129,33800,0.0,1.0
2018-03-14,125,129.800003,125,127.5,8547,0.0,1.0
2018-03-15,126.550003,131,126.550003,128.550003,5403,0.0,1.0
2018-03-16,127.5,130,127.5,128.25,2751,0.0,1.0
2018-03-19,129,129,124,124.75,6341,0.0,1.0
2018-03-20,122.900002,126.5,122,122.75,5821,0.0,1.0
2018-03-21,123.5,124,122,122.949997,9511,0.0,1.0
2018-03-22,123.300003,123.300003,118.849998,119.25,14031,0.0,1.0
2018-03-23,119,119,115,116.400002,21782,0.0,1.0
2018-03-26,117.599998,117.699997,113.449997,115.099998,24842,0.0,1.0
2018-03-27,126.800003,126.800003,118.900002,123.75,10717,0.0,1.0
2018-03-28,123,129,122.099998,127.900002,12109,0.0,1.0
2018-04-02,129,129.899994,127.300003,128.800003,3482,0.0,1.0
2018-04-03,128,129.350006,127.5,128.100006,3925,0.0,1.0
2018-04-04,127.599998,130,125.050003,125.349998,10704,0.0,1.0
2018-04-05,128.5,129,126.5,127.099998,3067,0.0,1.0
2018-04-06,134,134,126.050003,126.800003,2915,0.0,1.0
2018-04-09,129.899994,129.899994,126.050003,127.199997,5139,0.0,1.0
2018-04-10,128,128,126,126.599998,5832,0.0,1.0
2018-04-11,128.100006,128.100006,126,126.550003,4565,0.0,1.0
2018-04-12,125.099998,126.099998,124.949997,125.050003,2580,0.0,1.0
2018-04-13,124.5,126.199997,124.25,124.949997,1670,0.0,1.0
2018-04-16,124.449997,125.550003,117.550003,119.25,35226,0.0,1.0
2018-04-17,120,121.949997,119,119.400002,6132,0.0,1.0
2018-04-18,121.050003,121.199997,116.050003,116.949997,10815,0.0,1.0
2018-04-19,117,120.099998,116.75,116.949997,12449,0.0,1.0
2018-04-20,116.699997,118,115.900002,116.800003,4532,0.0,1.0
2018-04-23,116.5,118.900002,116.5,117.349998,7899,0.0,1.0
2018-04-24,118,118.900002,114.900002,114.949997,12129,0.0,1.0
2018-04-25,114.550003,116.099998,114.150002,115,4007,0.0,1.0
2018-04-26,115.650002,115.650002,113.050003,113.550003,5397,0.0,1.0
