date,open,high,low,close,volume,dividend,split
2000-10-12,0.35,0.35,0.35,0.35,9000,0.0,1.0
2000-10-13,0.35,0.35,0.35,0.35,0,0.0,1.0
2000-10-16,0.35,0.35,0.35,0.35,0,0.0,1.0
2000-10-17,0.35,0.35,0.35,0.35,0,0.0,1.0
2000-10-18,0.27,0.27,0.27,0.27,1000,0.0,1.0
2000-10-19,0.3,0.3,0.3,0.3,1000,0.0,1.0
2000-10-20,0.3,0.3,0.3,0.3,0,0.0,1.0
2000-10-23,0.245,0.37,0.245,0.37,3000,0.0,1.0
2000-10-24,0.37,0.37,0.37,0.37,1000,0.0,1.0
2000-10-25,0.37,0.37,0.37,0.37,0,0.0,1.0
2000-10-26,0.37,0.37,0.37,0.37,0,0.0,1.0
2000-10-27,0.37,0.37,0.37,0.37,0,0.0,1.0
2000-10-30,0.4,0.4,0.38,0.39,12000,0.0,1.0
2000-10-31,0.39,0.39,0.39,0.39,0,0.0,1.0
2000-11-01,0.35,0.35,0.35,0.35,2000,0.0,1.0
2000-11-02,0.4,0.4,0.4,0.4,1000,0.0,1.0
2000-11-03,0.405,0.405,0.405,0.405,10000,0.0,1.0
2000-11-06,0.405,0.405,0.405,0.405,0,0.0,1.0
2000-11-07,0.405,0.405,0.405,0.405,1000,0.0,1.0
2000-11-08,0.405,0.405,0.405,0.405,0,0.0,1.0
2000-11-09,0.405,0.405,0.405,0.405,1000,0.0,1.0
2000-11-10,0.405,0.405,0.405,0.405,0,0.0,1.0
2000-11-13,0.405,0.405,0.405,0.405,0,0.0,1.0
2000-11-14,0.405,0.405,0.405,0.405,0,0.0,1.0
2000-11-15,0.405,0.405,0.405,0.405,0,0.0,1.0
2000-11-16,0.33,0.35,0.33,0.35,12000,0.0,1.0
2000-11-17,0.4,0.4,0.4,0.4,2000,0.0,1.0
2000-11-20,0.4,0.4,0.4,0.4,0,0.0,1.0
2000-11-21,0.4,0.4,0.4,0.4,0,0.0,1.0
2000-11-22,0.4,0.4,0.4,0.4,10000,0.0,1.0
