date,open,high,low,close,volume,dividend,split
2002-07-01,7.2,7.35,7.19,7.35,4301,0.0,1.0
2002-07-02,8.06,8.07,7.56,7.57,5316,0.0,1.0
2002-07-03,7.5,7.5,7.28,7.37,1450,0.0,1.0
2002-07-04,7.05,7.38,7.05,7.33,2093,0.0,1.0
2002-07-05,7.15,7.67,7.15,7.45,1032,0.0,1.0
2002-07-08,7.2,7.44,7.2,7.44,626,0.0,1.0
2002-07-09,7.86,7.86,7.09,7.09,6487,0.0,1.0
2002-07-10,7.27,7.27,6.86,7.02,2000,0.0,1.0
2002-07-11,6.96,6.99,6.84,6.99,710,0.0,1.0
2002-07-12,6.82,6.84,6.73,6.73,500,0.0,1.0
2002-07-15,6.64,6.72,6.54,6.72,300,0.0,1.0
2002-07-16,6.63,6.63,6.12,6.17,3378,0.0,1.0
2002-07-17,6.12,6.12,6.02,6.02,52,0.0,1.0
2002-07-18,6.58,6.62,6.36,6.62,1150,0.0,1.0
2002-07-19,6.43,6.43,6.26,6.26,390,0.0,1.0
2002-07-22,5.86,5.86,5.64,5.64,3750,0.0,1.0
2002-07-23,5.76,5.76,5.43,5.64,225,0.0,1.0
2002-07-24,5.64,5.8,5.53,5.76,785,0.0,1.0
2002-07-25,5.78,5.98,5.64,5.65,1100,0.0,1.0
2002-07-26,5.43,5.52,5.32,5.32,1426,0.0,1.0
2002-07-29,5.1,5.1,5.1,5.1,20,0.0,1.0
2002-07-30,5.46,5.46,5.13,5.2,255,0.0,1.0
2002-07-31,5.04,5.04,4.86,4.98,2800,0.0,1.0
2002-08-01,4.98,4.99,4.98,4.99,150,0.0,1.0
2002-08-02,5.16,5.16,4.9,5.02,573,0.0,1.0
2002-08-05,5.27,5.27,5.22,5.23,477,0.0,1.0
2002-08-06,5.07,5.42,5.07,5.36,318,0.0,1.0
2002-08-07,5.51,5.51,5.16,5.4,1306,0.0,1.0
2002-08-09,5.25,5.25,4.96,5.05,101,0.0,1.0
2002-08-12,5.15,5.15,4.99,5.01,113,0.0,1.0
2002-08-13,4.82,5.03,4.82,5.03,960,0.0,1.0
2002-08-14,5,5,4.98,4.99,275,0.0,1.0
2002-08-16,5.21,5.22,4.58,5.21,703,0.0,1.0
2002-08-19,5.16,5.16,5.16,5.16,100,0.0,1.0
2002-08-21,5.64,5.64,4.92,5.15,203,0.0,1.0
2002-08-22,5.04,5.27,4.92,5.07,332,0.0,1.0
2002-08-23,5.18,5.28,5.04,5.28,512,0.0,1.0
2002-08-26,4.93,5.12,4.93,4.95,648,0.0,1.0
2002-08-27,4.69,4.92,4.69,4.76,445,0.0,1.0
2002-08-28,4.8,4.8,4.8,4.8,645,0.0,1.0
2002-08-29,4.74,4.96,4.63,4.64,229,0.0,1.0
2002-09-02,4.91,4.91,4.71,4.71,125,0.0,1.0
2002-09-03,4.74,4.74,4.7,4.7,150,0.0,1.0
2002-09-04,4.8,4.93,4.8,4.93,500,0.28496,1.0
2002-09-05,4.75,4.9,4.75,4.88,225,0.0,1.0
2002-09-06,5.19,5.19,4.75,4.85,270,0.0,1.0
2002-09-09,4.85,4.85,4.85,4.85,50,0.0,1.0
2002-09-11,4.76,4.76,4.71,4.75,1072,0.0,1.0
2002-09-16,4.56,4.56,4.56,4.56,180,0.0,1.0
2002-09-17,4.79,4.79,4.56,4.57,200,0.0,1.0
2002-09-18,4.58,4.62,4.44,4.44,517,0.0,1.0
2002-09-19,4.38,4.52,4.36,4.52,650,0.0,1.0
2002-09-23,4.5,4.5,4.45,4.45,152,0.0,1.0
