date,open,high,low,close,volume,dividend,split
2017-09-27,650,694,638.150024,681.549988,5912496,0.0,1.0
2017-09-28,675,690,660.099976,685.75,766740,0.0,1.0
2017-09-29,684.900024,687,673,677.5,262107,0.0,1.0
2017-10-03,675,688,673.599976,683.950012,392056,0.0,1.0
2017-10-04,684,686.950012,679.5,681.5,130214,0.0,1.0
2017-10-05,679.75,680.549988,660,661.75,112464,0.0,1.0
2017-10-06,666,681,663,679.5,134034,0.0,1.0
2017-10-09,675.549988,686.950012,675.5,683.700012,137978,0.0,1.0
2017-10-10,682,690,679.450012,687.150024,119616,0.0,1.0
2017-10-11,686.900024,689.349976,683,687.5,81896,0.0,1.0
2017-10-12,684.75,701,684.75,700.150024,166144,0.0,1.0
2017-10-13,697.200012,700.349976,693.599976,695,42997,0.0,1.0
2017-10-16,695,697.900024,674.950012,696.299988,59162,0.0,1.0
2017-10-17,696,719.849976,690.5,717.900024,181941,0.0,1.0
2017-10-18,718,718,703,709.200012,83259,0.0,1.0
2017-10-19,710,719.799988,708,714.150024,33456,0.0,1.0
2017-10-23,714.950012,714.950012,691.150024,693.950012,61588,0.0,1.0
2017-10-24,690,705,686.099976,698.150024,35861,0.0,1.0
2017-10-25,693,701.099976,676,685,44381,0.0,1.0
2017-10-26,676,690,676,682.799988,31956,0.75110,1.0
2017-10-27,681,684.950012,678.650024,682.349976,17360,0.0,1.0
2017-10-30,682,685.950012,676.200012,680.150024,27172,0.0,1.0
2017-10-31,680,689,619,676.049988,31947,0.0,1.0
2017-11-01,678.950012,684.299988,677,679.950012,27442,0.0,1.0
2017-11-02,679,686.049988,675,680.099976,20316,0.0,1.0
2017-11-03,681,688.950012,670.25,672.450012,20104,0.0,1.0
2017-11-06,672,684.049988,670,680.299988,23135,0.0,1.0
2017-11-07,680,682.299988,679.5,680.200012,14709,0.0,1.0
2017-11-08,680,685,674.950012,680.700012,18427,0.0,1.0
2017-11-09,680.75,680.75,666.099976,678.25,12979,0.0,1.0
2017-11-10,671.049988,683,671.049988,680.799988,14918,0.0,1.0
2017-11-13,680,687.599976,676.650024,685.849976,22450,0.0,1.0
2017-11-14,685,689,685,685.150024,15039,0.0,1.0
2017-11-15,685.25,688.049988,684.299988,686.549988,13634,0.0,1.0
2017-11-16,685.099976,685.5,670.950012,677.599976,66742,0.0,1.0
2017-11-17,684,690,672.799988,685.450012,39829,0.0,1.0
2017-11-20,680.099976,692.200012,680.099976,690.5,28540,0.0,1.0
2017-11-21,685.25,706.950012,683.5,698.849976,58781,0.0,1.0
2017-11-22,698.900024,703.5,690.049988,701.25,26641,0.0,1.0
2017-11-23,695,706,686,700.599976,18261,0.0,1.0
2017-11-24,701,701,693.549988,699.700012,12903,0.0,1.0
2017-11-27,691.049988,701,690,700.200012,11434,0.0,1.0
2017-11-28,698.200012,712,698.150024,703,19986,0.0,1.0
2017-11-29,699.049988,725,696.049988,719.150024,60000,0.0,1.0
2017-11-30,713.5,716,706.900024,712.650024,10704,0.0,1.0
2017-12-01,710.299988,723.400024,708.849976,720.900024,20387,0.0,1.0
2017-12-04,713.799988,724,713.599976,721.599976,18713,0.0,1.0
2017-12-05,717.599976,730,708,728.150024,27536,0.0,1.0
2017-12-06,725,730,715,725,19900,0.0,1.0
2017-12-07,720,744.200012,718.450012,735.25,26998,0.0,1.0
2017-12-08,732.400024,769,725,765.549988,198744,0.0,1.0
2017-12-11,765,769.200012,763.549988,766.5,113476,0.0,1.0
2017-12-12,764.75,790.25,764.75,780.900024,22565,0.0,1.0
2017-12-13,793.799988,793.799988,769,775.349976,25849,0.0,1.0
