date,open,high,low,close,volume,dividend,split
2017-10-23,150,165.800003,150,162.645004,6053040,0.0,1.0
2017-10-24,162.550003,162.699997,159.005005,159.990005,601950,0.0,1.0
2017-10-25,160.024994,160.024994,154.5,155.300003,396380,0.0,1.0
2017-10-26,156,158.699997,153.104996,155.449997,251930,0.0,1.0
2017-10-27,155.539993,157.274994,155.100006,156.389999,158670,0.0,1.0
2017-10-30,157.044998,158,155.615005,156.115005,113970,0.0,1.0
2017-10-31,156.994995,156.994995,154.699997,155.115005,68540,0.0,1.0
2017-11-01,155.600006,156.399994,154.100006,155.070007,89560,0.0,1.0
2017-11-02,155.065002,157.095001,154.800003,155.610001,76830,0.0,1.0
2017-11-03,156,161.595001,155.354996,158.619995,157360,0.0,1.0
2017-11-06,157,161.5,157,160.304993,111850,0.0,1.0
2017-11-07,160.899994,161.5,159.059998,160.779999,103600,0.0,1.0
2017-11-08,159.199997,161.764999,156,158.604996,66140,0.0,1.0
2017-11-09,159.365005,161,156,159.625,57600,0.0,1.0
2017-11-10,158.410004,160.869995,158.410004,159.690002,51170,0.0,1.0
2017-11-13,158.574997,159.315002,156.699997,157.199997,31620,0.0,1.0
2017-11-14,156.804993,158.095001,153.600006,154.115005,29310,0.0,1.0
2017-11-15,155.005005,155.005005,150.404999,151.054993,28080,0.0,1.0
2017-11-16,153,153,148.804993,151.054993,1093260,0.0,1.0
2017-11-17,152,152.175003,150.25,151.604996,30240,0.0,1.0
2017-11-20,151.214996,154.199997,150.100006,150.554993,34430,0.0,1.0
2017-11-21,151.020004,152,151.020004,151.494995,18310,0.0,1.0
2017-11-22,150.115005,157.490005,150.115005,155.820007,55010,0.0,1.0
2017-11-23,156.755005,157,153.710007,155.360001,42250,0.0,1.0
2017-11-24,155.399994,156.5,153.5,154.389999,11520,0.0,1.0
2017-11-27,153.615005,156.5,153.5,154.490005,21610,0.0,1.0
2017-11-28,155,155.979996,153.205002,153.940002,16690,0.0,1.0
2017-11-29,155,155,151.585007,152.524994,13010,0.0,1.0
2017-11-30,152.5,154.895004,152.300003,153.735001,19080,0.0,1.0
2017-12-01,153.029999,155.5,152.035004,152.845001,22370,0.0,1.0
2017-12-04,157,157,150,150.845001,16180,0.0,1.0
2017-12-05,151.009995,152.309998,150,150.335007,13170,0.0,1.0
2017-12-06,151,152,150,151,9330,0.0,1.0
2017-12-07,150.315002,154,150.315002,152.524994,609680,0.0,1.0
2017-12-08,153.914993,154.899994,152.505005,153.354996,16680,0.0,1.0
2017-12-11,155.490005,155.820007,153,153.960007,34510,0.0,1.0
2017-12-12,160,161.899994,157.100006,160.990005,3089240,0.0,1.0
2017-12-13,162.820007,164.5,159,160.304993,110570,0.0,1.0
2017-12-14,160.300003,162,157.895004,158.824997,18890,0.0,1.0
2017-12-15,159.899994,161.104996,155.100006,157.369995,41700,0.0,1.0
2017-12-18,159,160.125,153.505005,158.865005,30580,0.0,1.0
2017-12-19,158.800003,159.179993,157,157.869995,13980,0.0,1.0
2017-12-20,157.505005,163,154.710007,158.475006,23640,0.0,1.0
2017-12-21,161.005005,161.494995,157.860001,158.395004,24310,0.0,1.0
2017-12-22,159.229996,162.485001,156.264999,160.225006,559630,0.0,1.0
2017-12-26,159.884995,162,158.5,160.244995,27820,0.0,1.0
2017-12-27,161,161.350006,157.110001,158.684998,21570,0.0,1.0
2017-12-28,159.539993,163.5,158.005005,162.490005,78530,0.0,1.0
2017-12-29,159.589996,164.399994,159.589996,161.024994,33060,0.0,1.0
2018-01-01,160,161.625,158,159.384995,24990,0.0,1.0
2018-01-02,160.005005,162,158.5,160.815002,30310,0.0,1.0
2018-01-03,162.100006,162.100006,158.699997,159.494995,11530,0.0,1.0
2018-01-04,159.904999,161.699997,159,160.925003,16650,0.0,1.0
2018-01-05,161.199997,161.199997,158.860001,160.240005,14380,0.0,1.0
2018-01-08,160.559998,161.789993,160,160.490005,18720,0.0,1.0
2018-01-09,160.399994,163,160,161.354996,32110,0.0,1.0
2018-01-10,161,167.440002,159.634995,163.205002,1512180,0.0,1.0
2018-01-11,163.820007,165.445007,159.800003,159.979996,105520,0.0,1.0
2018-01-12,161,165.104996,158.699997,163.350006,593100,0.0,1.0
2018-01-15,163.100006,167.399994,161,161.904999,1830760,0.0,1.0
2018-01-16,162.014999,163.494995,160,162.785004,1089160,0.0,1.0
2018-01-17,161.360001,165.005005,160,160.75,25870,0.0,1.0
2018-01-18,161.994995,163.005005,159.529999,161.264999,481460,0.0,1.0
2018-01-19,160.740005,162.300003,160.330002,161.294998,19980,0.0,1.0
2018-01-22,160.100006,163.029999,160.100006,161.324997,199390,0.0,1.0
2018-01-23,162,162.985001,158.199997,160.005005,50590,0.0,1.0
2018-01-24,160.494995,161.604996,158.75,160.130005,28750,0.0,1.0
2018-01-25,157.699997,160.929993,157.699997,160.175003,22370,0.0,1.0
2018-01-29,159.899994,162.800003,159.899994,160.735001,18260,0.0,1.0
2018-01-30,160.005005,160.690002,159.5,159.899994,13680,0.0,1.0
2018-01-31,159.815002,160.785004,158.710007,159.604996,8980,0.0,1.0
2018-02-01,158,161.274994,158,160.735001,11240,0.0,1.0
2018-02-02,159.410004,160.300003,157.25,158.089996,21980,0.0,1.0
2018-02-05,157.5,158.75,155.100006,157.824997,18510,0.0,1.0
2018-02-06,155.5,157.800003,152,154.559998,44230,0.0,1.0
2018-02-07,156.089996,156.830002,153.100006,153.695007,10420,0.0,1.0
2018-02-08,155.339996,157.5,154.524994,156.589996,9170,0.0,1.0
2018-02-09,154.800003,156.264999,154,154.815002,7810,0.0,1.0
2018-02-12,155.764999,157.5,155.5,156.009995,10620,0.0,1.0
2018-02-14,156,156.5,154.5,154.815002,14180,0.0,1.0
2018-02-15,156.875,156.880005,154.300003,154.535004,12050,0.0,1.0
2018-02-16,154.604996,154.740005,152.449997,153.600006,11310,0.0,1.0
2018-02-19,154.005005,154.375,151,152.684998,8890,0.0,1.0
2018-02-20,152.925003,154.190002,151.5,151.869995,3610,0.0,1.0
2018-02-21,152.130005,153.035004,149,149.434998,31000,0.0,1.0
2018-02-22,149.440002,150.600006,149,149.544998,6860,0.0,1.0
2018-02-23,149.5,149.994995,145,145.845001,13950,0.0,1.0
2018-02-26,146.990005,147.699997,145.800003,146.020004,12790,0.0,1.0
2018-02-27,146.990005,146.990005,144,145.164993,7310,0.0,1.0
2018-02-28,144.899994,146.490005,144.899994,145.630005,7300,0.0,1.0
2018-03-01,146,146.75,144.550003,145.149994,807650,0.0,1.0
2018-03-05,145.100006,146.335007,144,144.264999,13490,0.0,1.0
2018-03-06,146.300003,146.300003,144.5,144.595001,12800,0.0,1.0
2018-03-07,146.399994,146.399994,140.5,141.184998,19300,0.0,1.0
2018-03-08,142.395004,143.994995,141.100006,142.910004,5590,0.0,1.0
2018-03-09,146.399994,146.399994,142.5,143.949997,5150,0.0,1.0
2018-03-12,144,145.300003,143.005005,143.895004,10240,0.0,1.0
2018-03-13,143.125,147.600006,143,145.460007,270580,0.0,1.0
2018-03-14,145.149994,149.889999,145.020004,147.395004,4940,0.0,1.0
2018-03-15,147.300003,149.199997,146,148,255580,0.0,1.0
2018-03-16,148.725006,151,148.005005,149.699997,30850,0.0,1.0
2018-03-19,150.065002,150.065002,144.285004,146.350006,5540,0.0,1.0
2018-03-20,145,147.970001,144.929993,146.074997,5560,0.0,1.0
2018-03-21,145,148,145,146.395004,5420,0.0,1.0
2018-03-22,146.544998,147.199997,145.009995,145.714996,172870,0.0,1.0
2018-03-23,144.654999,146.169998,144.5,145.615005,8760,0.0,1.0
2018-03-26,145.005005,153.699997,144.949997,148.434998,24390,0.0,1.0
2018-03-27,151.104996,155,148.100006,153.335007,17710,0.0,1.0
2018-03-28,151.865005,160.699997,150.669998,157.649994,11960,0.0,1.0
2018-04-02,159.604996,160.5,157.410004,158.610001,22590,0.0,1.0
2018-04-03,158.289993,160.244995,158.100006,158.824997,17590,0.0,1.0
2018-04-04,158.789993,159.985001,153.570007,154.190002,14340,0.0,1.0
2018-04-05,156.199997,159,155,158.369995,7110,0.0,1.0
2018-04-06,158.399994,161,156.524994,160.119995,11490,0.0,1.0
2018-04-09,160.404999,163.990005,158.610001,162.809998,44670,0.0,1.0
2018-04-10,163.399994,164.940002,161.639999,162.839996,37700,0.0,1.0
2018-04-11,162,163.5,158.800003,159.539993,34530,0.0,1.0
2018-04-12,160,160.800003,158.350006,159.934998,6170,0.0,1.0
2018-04-13,160.054993,161.100006,159.529999,160.595001,5440,0.0,1.0
2018-04-16,158.860001,163.380005,158.860001,162.880005,18590,0.0,1.0
2018-04-17,163.199997,165,161.369995,162.990005,33240,0.0,1.0
2018-04-18,163.125,164.5,162.404999,164.100006,27390,0.0,1.0
2018-04-19,164,165.5,164,164.414993,150950,0.0,1.0
2018-04-20,163.574997,164.800003,162.634995,163.509995,5160,0.0,1.0
2018-04-23,166.399994,166.399994,162.509995,163.380005,18390,0.0,1.0
2018-04-24,166,166.5,163.300003,163.914993,704980,0.0,1.0
2018-04-25,165,167.800003,164.514999,167.044998,82230,0.0,1.0
2018-04-26,167,167.615005,165.800003,166.345001,29390,0.0,1.0
2018-04-27,165,165.169998,161.625,162.990005,29650,0.0,1.0
2018-04-30,160.949997,164.104996,160,160.919998,9200,0.0,1.0
2018-05-02,161.949997,161.949997,154.509995,156.429993,10190,0.0,1.0
2018-05-03,156.419998,159.899994,156.419998,157.494995,8640,0.0,1.0
2018-05-04,156.600006,160,156.005005,157.255005,4550,0.0,1.0
2018-05-07,155.964996,159.5,155.964996,159.229996,4650,0.0,1.0
2018-05-08,160.695007,161.899994,159,161.164993,5860,0.0,1.0
2018-05-09,161.169998,163.5,160.009995,162.494995,18250,0.0,1.0
2018-05-10,161.699997,164.399994,159.970001,163.975006,11420,0.0,1.0
2018-05-11,162.5,163.300003,161.100006,161.410004,2340,0.0,1.0
2018-05-14,161.835007,162,153,158.645004,21640,0.0,1.0
2018-05-15,161,164.25,161,162.604996,16630,0.0,1.0
2018-05-16,162.789993,164.899994,162.244995,163.610001,33670,0.0,1.0
2018-05-17,162.154999,165,162.154999,164.285004,11690,0.0,1.0
2018-05-18,163.714996,164.274994,158.5,161.714996,5860,0.0,1.0
2018-05-21,159.899994,162.800003,159.304993,161.020004,5020,0.0,1.0
2018-05-22,159.399994,163.485001,159.399994,161.369995,14780,0.0,1.0
2018-05-23,160.970001,162.804993,157.100006,157.824997,11930,0.0,1.0
2018-05-24,158.199997,159.630005,157.205002,158.854996,5610,0.0,1.0
2018-05-25,161.020004,162.300003,161.020004,161.565002,5760,0.0,1.0
2018-05-28,162.154999,163.335007,161,161.835007,11400,0.0,1.0
2018-05-29,161,162.985001,158.5,158.615005,8410,0.0,1.0
2018-05-30,159,161.729996,157.509995,158.929993,5620,0.0,1.0
2018-05-31,159.895004,161,153.860001,157.600006,13530,0.0,1.0
2018-06-01,157.100006,160.899994,156.279999,157.085007,4050,0.0,1.0
2018-06-04,157.565002,161,156.5,157.104996,16510,0.0,1.0
2018-06-05,160.274994,160.460007,152.520004,154.315002,34390,0.0,1.0
2018-06-06,157.225006,159.294998,156.600006,157.089996,16790,0.0,1.0
2018-06-07,161.139999,161.139999,158.210007,158.744995,2800,0.0,1.0
2018-06-08,160,163.199997,159.009995,161.669998,77090,0.0,1.0
2018-06-11,159.774994,164.699997,158.270004,163.505005,1973650,0.0,1.0
2018-06-12,164.789993,164.789993,161.25,161.955002,10350,0.0,1.0
2018-06-13,163.824997,167,162,163.035004,1591660,0.0,1.0
2018-06-14,163.494995,163.830002,161.5,163.100006,5770,0.0,1.0
2018-06-15,163.205002,163.205002,160.899994,161.25,4710,0.0,1.0
2018-06-18,160.399994,161.009995,157.5,159.434998,7560,0.0,1.0
2018-06-19,160.210007,160.895004,155.300003,158.039993,38300,0.0,1.0
2018-06-20,159.404999,163.104996,157.300003,161.009995,15860,0.0,1.0
2018-06-21,157,161,147.100006,159.785004,74120,0.0,1.0
2018-06-22,159.485001,160.5,159.199997,159.899994,1570,0.0,1.0
2018-06-25,161.490005,165.600006,159,160.889999,15960,0.0,1.0
2018-06-26,160.619995,162.910004,159.625,161.184998,6390,0.0,1.0
2018-06-27,160.005005,162.100006,158.5,159.800003,57700,0.0,1.0
2018-06-28,159.009995,160.399994,152.289993,156.544998,1914160,0.0,1.0
2018-06-29,157,167.994995,157,165.149994,23300,0.0,1.0
2018-07-02,166.600006,166.699997,164.005005,165.845001,22290,0.0,1.0
2018-07-03,165.104996,165.755005,162.505005,163.720001,4560,0.0,1.0
2018-07-04,160,164,160,162.779999,1650,0.0,1.0
2018-07-05,164.005005,164.005005,161.009995,162,1450,0.0,1.0
2018-07-06,162.014999,163.5,162.014999,162.729996,2240,0.0,1.0
2018-07-09,161.654999,163.100006,160.710007,162.660004,4990,0.0,1.0
2018-07-10,163,167,162.505005,164.324997,27790,0.0,1.0
2018-07-11,164.940002,164.940002,162.785004,163.205002,3920,0.0,1.0
2018-07-12,163.770004,163.770004,162.104996,162.434998,3080,0.0,1.0
2018-07-13,163.75,163.804993,160.509995,161.205002,6020,0.0,1.0
2018-07-16,160.589996,161.5,159,160.895004,10700,0.0,1.0
2018-07-17,161.195007,163.300003,158,160.044998,38040,0.0,1.0
2018-07-18,161.5,162.5,158.910004,159.604996,11940,0.0,1.0
2018-07-19,158.580002,159.360001,158.5,158.669998,4390,0.0,1.0
2018-07-20,159.100006,160,158.199997,159.940002,21790,0.0,1.0
2018-07-23,158,160.199997,157.600006,158.039993,117910,0.0,1.0
2018-07-24,160.005005,161.214996,158.300003,159.315002,4280,0.0,1.0
2018-07-25,158.554993,160,158,159,2290,0.0,1.0
2018-07-26,158.904999,162.994995,158.300003,159.990005,104300,0.0,1.0
2018-07-27,159.705002,160.440002,157.990005,158.039993,8010,0.0,1.0
2018-07-30,162.794998,162.794998,157.125,158.539993,4040,0.0,1.0
2018-07-31,158.009995,160.914993,158,160.255005,2280,0.0,1.0
2018-08-01,160.304993,160.350006,158.550003,159.889999,2190,0.0,1.0
2018-08-02,158.520004,160.419998,158.520004,159.919998,5620,0.0,1.0
2018-08-03,159.279999,160.100006,158.009995,158.240005,22280,0.0,1.0
2018-08-06,159.100006,161,156.585007,159.244995,20980,0.0,1.0
2018-08-07,160,160.699997,158.404999,159.889999,4250,0.0,1.0
2018-08-08,158.880005,160.574997,158.880005,159.164993,1610,0.0,1.0
2018-08-09,160.895004,162.595001,159.009995,161.869995,20260,0.0,1.0
2018-08-10,162.899994,164.600006,160.5,162.324997,22990,0.0,1.0
2018-08-13,163.5,166,161.899994,164.399994,38840,0.0,1.0
2018-08-14,163.029999,165.574997,161.300003,161.964996,19710,0.0,1.0
2018-08-16,163.899994,166.899994,162.779999,164.139999,17480,0.0,1.0
2018-08-17,164.804993,166,163.804993,165.845001,26910,0.0,1.0
2018-08-20,165.009995,167.899994,164.160004,166.044998,39410,0.0,1.0
2018-08-21,165.485001,166.654999,164.095001,164.875,18170,0.0,1.0
2018-08-23,166.395004,167.5,165.175003,166.039993,13280,0.0,1.0
2018-08-24,165.300003,166.300003,164.889999,165.244995,5850,0.0,1.0
2018-08-27,165,175.929993,165,171.169998,109960,0.0,1.0
2018-08-28,173.399994,175.5,166.304993,168.645004,68910,0.0,1.0
2018-08-29,170,171.699997,166.5,166.565002,22020,0.0,1.0
2018-08-30,166.600006,167.5,166.005005,166.630005,4110,0.0,1.0
2018-08-31,166.009995,175,166.005005,173.410004,30240,0.0,1.0
2018-09-03,175.399994,177,173.494995,174.214996,23790,0.0,1.0
2018-09-04,172.955002,174.270004,170,171.539993,19420,0.0,1.0
2018-09-05,171.725006,177.014999,170.100006,174.350006,26320,0.0,1.0
2018-09-06,175.104996,176.100006,173.5,174.104996,14360,0.0,1.0
2018-09-07,174.300003,174.785004,171,171.639999,10060,0.0,1.0
2018-09-10,171.294998,174.5,170.75,174.009995,29110,22.30808,1.0
2018-09-11,172.505005,174.895004,170.494995,171.835007,31710,0.0,1.0
2018-09-12,170.505005,171.625,169,170.365005,8980,0.0,1.0
2018-09-14,172.979996,173,170,171.669998,1319060,0.0,1.0
