date,open,high,low,close,volume,dividend,split
2002-01-03,2.45,2.45,2.45,2.45,200,0.0,1.0
2002-01-04,2.3,2.9,2.3,2.9,100,0.0,1.0
2002-01-07,3,3,3,3,300,0.0,1.0
2002-01-24,2.9,2.9,2.9,2.9,200,0.0,1.0
2002-01-30,2.8,2.8,2.8,2.8,50,0.0,1.0
2002-01-31,2.7,2.8,2.7,2.8,500,0.0,1.0
2002-02-01,2.7,2.7,2.7,2.7,1200,0.0,1.0
2002-02-04,2.8,2.8,2.6,2.6,100,0.0,1.0
2002-02-06,2.5,2.7,2.5,2.7,700,0.0,1.0
2002-02-07,2.65,2.8,2.65,2.8,100,0.0,1.0
2002-02-13,2.65,2.65,2.65,2.65,50,0.0,1.0
2002-02-26,2.65,2.75,2.65,2.75,800,0.0,1.0
2002-02-27,2.85,2.85,2.85,2.85,600,0.0,1.0
2002-03-01,2.8,2.8,2.8,2.8,400,0.0,1.0
2002-03-05,2.9,2.9,2.7,2.7,800,0.0,1.0
2002-03-06,2.8,2.8,2.75,2.75,100,0.0,1.0
2002-03-07,2.65,2.65,2.65,2.65,50,0.0,1.0
2002-03-08,2.6,2.6,2.55,2.55,1000,0.0,1.0
2002-03-11,2.65,2.65,2.6,2.6,800,0.0,1.0
2002-03-12,2.55,2.65,2.55,2.65,20100,0.0,1.0
2002-03-13,2.6,2.6,2.55,2.55,100,0.0,1.0
2002-03-14,2.5,2.65,2.5,2.65,1100,0.0,1.0
2002-03-15,2.55,2.75,2.55,2.75,81200,0.0,1.0
2002-03-18,2.85,2.85,2.85,2.85,500,0.0,1.0
2002-03-19,2.9,2.9,2.75,2.75,300,0.0,1.0
2002-03-20,2.55,2.6,2.55,2.55,300,0.0,1.0
2002-03-22,2.65,2.65,2.65,2.65,238400,0.0,1.0
2002-03-27,2.85,2.85,2.85,2.85,500,0.0,1.0
2002-04-02,2.95,2.95,2.95,2.95,300,0.0,1.0
2002-04-04,3.15,3.15,3.15,3.15,100,0.0,1.0
2002-04-05,3.05,3.2,3.05,3.2,400,0.0,1.0
2002-04-08,3.3,3.3,3.1,3.25,1000,0.0,1.0
2002-04-10,3.05,3.05,3.05,3.05,1,0.0,1.0
2002-04-11,3.05,3.05,3.05,3.05,100,0.0,1.0
2002-04-16,3.65,3.65,3.65,3.65,100,0.0,1.0
2002-04-17,3.15,3.15,3.15,3.15,100,0.0,1.0
2002-04-18,3.75,3.75,3.75,3.75,100,0.0,1.0
2002-04-19,3.3,4.5,3.3,4.5,3,0.0,1.0
2002-04-26,4,4,4,4,500,0.0,1.0
2002-05-09,4.2,4.2,4.2,4.2,500,0.0,1.0
