date,open,high,low,close,volume,dividend,split
2000-01-03,14.5,14.7,13.1,14.35,14400,0.0,1.0
2000-01-04,13.05,14.95,13,14.35,13000,0.0,1.0
2000-01-05,12.8,14,12.25,12.8,7200,0.0,1.0
2000-01-06,10.25,14,10.25,12.75,6800,0.0,1.0
2000-01-07,12.6,12.8,11.05,12.25,15600,0.0,1.0
2000-01-10,12.3,13,12.25,13,3600,0.0,1.0
2000-01-11,13.2,13.9,12.75,12.85,12600,0.0,1.0
2000-01-12,12.6,13,11.85,12.5,7900,0.0,1.0
2000-01-13,11.7,12.7,11.65,11.75,4000,0.0,1.0
2000-01-14,11.25,12.5,11.25,12.1,8200,0.0,1.0
2000-01-17,11.25,12.1,11.25,12,2800,0.0,1.0
2000-01-18,11.25,12,11.25,11.75,3400,0.0,1.0
2000-01-19,12,12,11.25,11.25,4100,0.0,1.0
2000-01-20,11.5,11.6,11.2,11.3,5600,0.0,1.0
2000-01-21,11.1,11.7,10.8,11.1,4700,0.0,1.0
2000-01-24,11,11,10.6,10.95,3000,0.0,1.0
2000-01-25,10.6,11.25,10.2,10.2,4800,0.0,1.0
2000-01-26,10.2,10.2,10.2,10.2,0,0.0,1.0
2000-01-27,10.5,10.5,9.75,10,2900,0.0,1.0
2000-01-28,10.2,10.2,9.05,9.3,11400,0.0,1.0
2000-01-31,8,9.8,8,9,3600,0.0,1.0
2000-02-01,9,9,8.5,8.95,6500,0.0,1.0
2000-02-02,9.2,9.5,8.65,9.3,10500,0.0,1.0
2000-02-03,9.3,9.3,9.3,9.3,0,0.0,1.0
2000-02-04,9.5,10.5,9.05,10.5,9500,0.0,1.0
2000-02-07,10.6,11,10.1,10.3,15900,0.0,1.0
2000-02-08,9.9,10.35,9.75,10,10800,0.0,1.0
2000-02-09,10.5,10.6,9.8,10.2,2600,0.0,1.0
2000-02-10,9.4,10,9.4,9.5,1800,0.0,1.0
2000-02-11,10,10.5,9.25,9.9,5900,0.0,1.0
2000-02-14,9,9.45,8.25,8.5,3600,0.0,1.0
2000-02-15,8.65,9.45,8,9.35,11400,0.0,1.0
2000-02-16,8.55,9,8.2,8.7,2300,0.0,1.0
2000-02-17,8.2,8.8,8,8.25,6900,0.0,1.0
2000-02-18,8,9.9,8,8.8,14400,0.0,1.0
2000-02-21,9.9,10,8.9,9.25,28700,0.0,1.0
2000-02-22,9.25,9.5,8.75,9.25,26400,0.0,1.0
2000-02-23,9.4,11.5,9.4,10,34500,0.0,1.0
2000-02-24,10.8,10.9,9,9.75,27900,0.0,1.0
2000-02-25,10.15,10.7,8.25,10.5,41600,0.0,1.0
2000-02-28,11.3,11.3,11.3,11.3,2400,0.0,1.0
2000-02-29,12.15,12.15,12.15,12.15,5100,0.0,1.0
2000-03-01,12.75,13.1,12.75,13.1,1700,0.0,1.0
2000-03-02,14.1,14.1,13.5,13.5,15000,0.0,1.0
2000-03-03,13.5,14.55,12.5,12.85,14200,0.0,1.0
2000-03-06,13.85,13.85,12,12,4700,0.0,1.0
2000-03-07,11.25,11.95,11.05,11.1,5500,0.0,1.0
2000-03-08,10.95,10.95,10.25,10.25,3800,0.0,1.0
2000-03-09,9.45,10,9.45,9.95,7500,0.0,1.0
2000-03-10,10,10.25,9.3,10,8600,0.0,1.0
2000-03-13,10,10,10,10,0,0.0,1.0
2000-03-14,9.75,10.85,9.75,10.85,800,0.0,1.0
2000-03-15,10.05,11,10.05,11,3400,0.0,1.0
2000-03-16,10.6,11.8,10.6,11.15,2000,0.0,1.0
2000-03-17,11.15,11.15,11.15,11.15,0,0.0,1.0
