date,open,high,low,close,volume,dividend,split
2000-09-13,2.65,2.65,2.65,2.65,200,0.0,1.0
2000-09-14,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-09-15,3,3,3,3,200,0.0,1.0
2000-09-18,3,3,3,3,0,0.0,1.0
2000-09-19,3,3,3,3,0,0.0,1.0
2000-09-20,2.5,2.5,2.5,2.5,100,0.0,1.0
2000-09-21,2.7,3,2.7,3,400,0.0,1.0
2000-09-22,2.6,2.6,2.6,2.6,600,0.0,1.0
2000-09-25,2.05,2.05,2.05,2.05,200,0.0,1.0
2000-09-26,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-09-27,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-09-28,2.2,2.2,2.2,2.2,200,0.0,1.0
2000-09-29,2.2,2.2,2.2,2.2,0,0.0,1.0
2000-10-02,2.2,2.2,2.2,2.2,0,0.0,1.0
2000-10-03,2.2,2.2,2.2,2.2,0,0.0,1.0
2000-10-04,1.85,2.25,1.85,2.1,1200,0.0,1.0
2000-10-05,2.1,2.1,2.1,2.1,0,0.0,1.0
2000-10-06,2.2,2.2,2.1,2.15,300,0.0,1.0
2000-10-09,2.15,2.15,2.15,2.15,0,0.0,1.0
2000-10-10,2.15,2.15,2.15,2.15,0,0.0,1.0
2000-10-11,2.1,2.1,2.1,2.1,100,0.0,1.0
2000-10-12,2.1,2.1,2.1,2.1,0,0.0,1.0
2000-10-13,2.1,2.1,2.1,2.1,0,0.0,1.0
2000-10-16,2.1,2.1,2.1,2.1,0,0.0,1.0
2000-10-17,2.1,2.1,2.1,2.1,0,0.0,1.0
2000-10-18,1.9,1.9,1.9,1.9,300,0.0,1.0
2000-10-19,1.9,1.9,1.9,1.9,0,0.0,1.0
2000-10-20,1.9,1.9,1.9,1.9,0,0.0,1.0
2000-10-23,2.3,2.35,2.3,2.35,200,0.0,1.0
2000-10-24,2.35,2.35,2.35,2.35,0,0.0,1.0
2000-10-25,2.35,2.35,2.35,2.35,0,0.0,1.0
2000-10-26,2.35,2.35,2.35,2.35,0,0.0,1.0
2000-10-27,2.2,2.2,2.2,2.2,400,0.0,1.0
2000-10-30,2.2,2.2,2.2,2.2,0,0.0,1.0
2000-10-31,2.2,2.2,2.2,2.2,0,0.0,1.0
2000-11-01,1.8,1.8,1.7,1.7,1300,0.0,1.0
2000-11-02,2,2,2,2,100,0.0,1.0
2000-11-03,2.05,2.1,2.05,2.1,500,0.0,1.0
2000-11-06,2.6,2.6,2.6,2.6,200,0.0,1.0
2000-11-07,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-11-08,2.65,2.65,2.65,2.65,100,0.0,1.0
2000-11-09,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-11-10,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-11-13,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-11-14,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-11-15,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-11-16,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-11-17,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-11-20,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-11-21,2.65,2.65,2.65,2.65,0,0.0,1.0
2000-11-22,2,2,2,2,100,0.0,1.0
2000-11-24,2.45,2.45,2.45,2.45,100,0.0,1.0
2000-12-04,2.25,2.25,2.25,2.25,100,0.0,1.0
2000-12-06,2.45,2.8,2.45,2.8,200,0.0,1.0
2001-12-31,1.45,1.45,1.45,1.45,100,0.0,1.0
2002-01-01,1.5,1.5,1.5,1.5,10,0.0,1.0
2002-01-02,1.45,1.45,1.45,1.45,25,0.0,1.0
2002-01-03,1.45,1.45,1.45,1.45,25,0.0,1.0
2002-01-08,1.2,1.2,1.2,1.2,100,0.0,1.0
2002-01-09,1,1.05,1,1.05,600,0.0,1.0
2002-01-10,1,1,0.9,0.9,600,0.0,1.0
2002-01-14,1.05,1.05,1.05,1.05,25,0.0,1.0
2002-01-15,1,1.1,1,1.1,300,0.0,1.0
2002-01-17,1,1,1,1,100,0.0,1.0
