date,open,high,low,close,volume,dividend,split
1995-05-05,250,260,250,252.5,0,0.0,1.0
1995-05-08,250,255,250,255,0,0.0,1.0
1995-05-09,260,260,260,260,0,0.0,1.0
1995-05-10,260,261,260,260,0,0.0,1.0
1995-05-12,257,257,257,257,0,0.0,1.0
1995-05-15,256,260,256,260,0,0.0,1.0
1995-05-16,256,256,256,256,0,0.0,1.0
1995-05-17,265,265,262,262,0,0.0,1.0
1995-05-18,265,268,262,268,0,0.0,1.0
1995-05-19,265,265,265,265,0,0.0,1.0
1995-05-22,267,270,267,267,0,0.0,1.0
1995-05-23,267,272,267,268,0,0.0,1.0
1995-05-24,270,272,270,272,0,0.0,1.0
1995-05-25,272,272,272,272,0,0.0,1.0
1995-05-26,273,274,273,274,0,0.0,1.0
1995-05-29,270,270,268,268,0,0.0,1.0
1995-05-30,275,275,270,270,0,0.0,1.0
1995-05-31,270,275,270,275,0,0.0,1.0
1995-06-01,270,270,270,270,0,0.0,1.0
1995-06-02,270,272,270,272,0,0.0,1.0
1995-06-05,272,275,272,275,0,0.0,1.0
1995-06-06,276,284,276,284,0,0.0,1.0
1995-06-07,290,295,284,285,0,0.0,1.0
1995-06-09,275,280,275,280,0,0.0,1.0
1995-06-12,278,281,278,281,0,0.0,1.0
1995-06-13,281,281,281,281,0,0.0,1.0
1995-06-15,281,281,280,281,0,0.0,1.0
1995-06-16,280,283,280,283,0,0.0,1.0
1995-06-19,281,283,281,283,0,0.0,1.0
1995-06-20,285,285,282,282,0,0.0,1.0
1995-06-21,283,283,283,283,0,0.0,1.0
1995-06-22,283,283,283,283,0,0.0,1.0
1995-06-23,283,284,283,283,0,0.0,1.0
1995-06-26,279,279,279,279,0,0.0,1.0
1995-06-27,281,281,281,281,0,0.0,1.0
1995-06-28,281,281,281,281,0,0.0,1.0
1995-07-03,255,255,255,255,0,0.0,1.0
1995-07-04,253,256,253,256,0,0.0,1.0
1995-07-05,270,270,256,256,0,0.0,1.0
1995-07-06,260,260,256,256,0,0.0,1.0
1995-07-07,255,260,255,260,0,0.0,1.0
1995-07-10,265,268,260,260,600,0.0,1.0
1995-07-11,260,260,260,260,0,0.0,1.0
1995-07-12,250,250,250,250,100,0.0,1.0
1995-07-14,251,285,251,285,700,0.0,1.0
1995-07-17,262,265,262,265,1900,0.0,1.0
1995-07-18,267,275,267,268,700,0.0,1.0
1995-07-19,280,280,280,280,50,0.0,1.0
1995-07-20,275,278,272,272,5350,0.0,1.0
1995-07-21,263,270,263,270,500,0.0,1.0
1995-07-25,270,270,270,270,300,0.0,1.0
1995-07-26,273,299,273,299,300,0.0,1.0
1995-07-28,265,265,265,265,50,0.0,1.0
1995-07-31,265,270,265,270,350,0.0,1.0
