date,open,high,low,close,volume,dividend,split
2000-01-03,31.049999,33.200001,31.049999,33.200001,4800,0.0,1.0
2000-01-04,34.049999,35.75,31.4,32.75,16300,0.0,1.0
2000-01-05,34.400002,34.400002,31,31.5,4100,0.0,1.0
2000-01-06,30.299999,32.75,30.25,31.799999,5900,0.0,1.0
2000-01-07,33.599998,33.599998,30,30.1,12200,0.0,1.0
2000-01-10,30.549999,32.25,30.5,31.1,3600,0.0,1.0
2000-01-11,30.1,31.5,30.1,30.25,7100,0.0,1.0
2000-01-12,30,30.5,29.299999,30.450001,3900,0.0,1.0
2000-01-13,28.6,30.1,28.6,29.6,6300,0.0,1.0
2000-01-14,29.1,29.15,27.75,28.200001,11000,0.0,1.0
2000-01-17,27.5,29,27.5,27.5,4100,0.0,1.0
2000-01-18,26.5,27.4,26.25,27.4,12900,0.0,1.0
2000-01-19,28.450001,29.5,28,29.299999,4300,0.0,1.0
2000-01-20,31.5,31.5,29.1,29.1,8200,0.0,1.0
2000-01-21,29.5,30.450001,28,29.950001,7700,0.0,1.0
2000-01-24,30,30,27.6,28.4,3500,0.0,1.0
2000-01-25,28,28.1,27.1,27.1,5400,0.0,1.0
2000-01-26,27.1,27.1,27.1,27.1,0,0.0,1.0
2000-01-27,27,29.25,27,27.799999,15300,0.0,1.0
2000-01-28,27.35,27.9,26.25,26.4,10300,0.0,1.0
2000-01-31,27.049999,27.6,27,27,8700,0.0,1.0
2000-02-01,28.5,29.15,28.1,29.15,11800,0.0,1.0
2000-02-02,31.4,31.450001,30.049999,31.1,24400,0.0,1.0
2000-02-03,31.1,31.1,31.1,31.1,0,0.0,1.0
2000-02-04,29.700001,29.700001,28.25,28.4,19400,0.0,1.0
2000-02-07,28.1,30.4,28,28.25,6500,0.0,1.0
2000-02-08,27,28.9,26,26.25,33500,0.0,1.0
2000-02-09,26.049999,27,25.5,25.950001,9000,0.0,1.0
2000-02-10,25,26,24.75,25.5,8400,0.0,1.0
2000-02-11,23.5,26.25,23.5,25,10100,0.0,1.0
2000-02-14,23.25,25,23.049999,23.049999,15900,0.0,1.0
2000-02-15,21.5,24.5,21.5,23,3700,0.0,1.0
2000-02-16,23,24.799999,23,24,9400,0.0,1.0
2000-02-17,24,25.25,23,23.950001,8500,0.0,1.0
2000-02-18,23.9,24.700001,23,23.799999,13700,0.0,1.0
2000-02-21,24.1,25.5,23.200001,24.5,17200,0.0,1.0
2000-02-22,25,25,22.549999,23,16500,0.0,1.0
2000-02-23,24,24,21.5,22.5,8700,0.0,1.0
2000-02-24,22.049999,23.799999,22.049999,23.35,10100,0.0,1.0
2000-02-25,21.5,23,21.5,22,10800,0.0,1.0
2000-02-28,23.700001,23.700001,22.5,23.549999,3500,0.0,1.0
2000-02-29,24.549999,25.299999,24.25,24.35,6800,0.0,1.0
2000-03-01,22.6,24.4,22.6,23,6500,0.0,1.0
2000-03-02,23.25,24,21.75,21.85,12000,0.0,1.0
2000-03-03,21.5,22.5,21.5,22.200001,10300,0.0,1.0
2000-03-06,21.700001,22.700001,21,22.700001,6000,0.0,1.0
2000-03-07,22.200001,22.200001,20.9,21,44200,0.0,1.0
2000-03-08,21.9,22,19.5,20.5,3100,0.0,1.0
2000-03-09,19,21,19,19.549999,17000,0.0,1.0
2000-03-10,19.049999,20.799999,19,20,8900,0.0,1.0
2000-03-13,20,20,20,20,0,0.0,1.0
2000-03-14,19.5,20.5,18.5,18.5,4800,0.0,1.0
2000-03-15,19,19.950001,18.25,19.950001,4700,0.0,1.0
2000-03-16,20.9,21.5,20,20.9,6700,0.0,1.0
2000-03-17,20.9,20.9,20.9,20.9,0,0.0,1.0
2000-03-20,20.9,20.9,20.9,20.9,0,0.0,1.0
2000-03-21,19.25,21.950001,19.25,20.049999,7600,0.0,1.0
2000-03-22,21,21.6,21,21.6,2800,0.0,1.0
2000-03-23,23.200001,23.25,20.049999,20.25,16300,0.0,1.0
