date,open,high,low,close,volume,dividend,split
2007-03-01,105,105,77,98.300003,30810511,0.0,1.0
2007-03-02,99.699997,102,94.599998,97.099998,5016279,0.0,1.0
2007-03-05,95.099998,95.900002,90.050003,92.650002,1293260,0.0,1.0
2007-03-06,94.400002,98,92.25,93.699997,690235,0.0,1.0
2007-03-07,95,95,85.300003,86.800003,443366,0.0,1.0
2007-03-08,86.800003,90,86.800003,89.449997,201070,0.0,1.0
2007-03-09,90.25,92,88,90.849998,262936,0.0,1.0
2007-03-12,91.5,92,87.800003,88,410140,0.0,1.0
2007-03-13,88.849998,89.800003,87.599998,88.599998,37344,0.0,1.0
2007-03-14,85.5,88,84.25,87.050003,70351,0.0,1.0
2007-03-15,88.050003,90,87.099998,88,103072,0.0,1.0
2007-03-16,87.900002,88.699997,84.5,85,184371,0.0,1.0
2007-03-19,83.199997,87,83.199997,85.300003,51437,0.0,1.0
2007-03-20,86.699997,88.050003,85.25,87.150002,162938,0.0,1.0
2007-03-21,85.5,89,85.5,87.050003,173558,0.0,1.0
2007-03-22,88.900002,92,88.25,91.75,232401,0.0,1.0
2007-03-23,92.900002,92.900002,89.900002,91.550003,101986,0.0,1.0
2007-03-26,91.400002,93,91.150002,92,139512,0.0,1.0
2007-03-28,91,91,88,89.099998,68346,0.0,1.0
2007-03-29,88.099998,94.199997,85.550003,87.25,326019,0.0,1.0
2007-03-30,88.800003,91,87.099998,90.199997,134865,0.0,1.0
2007-04-02,83.300003,87.900002,83.25,87.150002,45495,0.0,1.0
2007-04-03,88.199997,91,87.25,90.400002,56500,0.0,1.0
2007-04-04,90,92.25,90,91.550003,88999,0.0,1.0
2007-04-05,90.199997,91.25,89.900002,90.599998,43964,0.0,1.0
2007-04-09,91.5,91.5,89,89.5,97932,0.0,1.0
2007-04-10,89.25,96.400002,89.25,93.449997,451611,0.0,1.0
2007-04-11,94,95.5,92.800003,94,248857,0.0,1.0
2007-04-12,93,93,89.949997,90.550003,69885,0.0,1.0
2007-04-13,91.75,94.800003,91.300003,93.5,220222,0.0,1.0
