date,open,high,low,close,volume,dividend,split
2010-09-29,29.75,29.9,22.799999,23.700001,82896500,0.0,1.0
2010-09-30,23.75,25.5,23.65,24.5,11259800,0.0,1.0
2010-10-01,24.799999,25.450001,24.049999,24.549999,6677852,0.0,1.0
2010-10-04,24.9,25.15,23.799999,24.200001,2879452,0.0,1.0
2010-10-05,23.799999,24.35,23,24.200001,2001001,0.0,1.0
2010-10-06,23.5,24.200001,23.200001,23.5,2683071,0.0,1.0
2010-10-07,23.700001,23.9,22.85,23,1124130,0.0,1.0
2010-10-08,23.1,23.25,22.200001,22.700001,1024999,0.0,1.0
2010-10-11,22.700001,23.700001,22.700001,23.15,915768,0.0,1.0
2010-10-12,23.15,23.450001,22.700001,22.85,897450,0.0,1.0
2010-10-13,22.9,23.4,22.85,23.049999,741460,0.0,1.0
2010-10-14,23.200001,23.200001,22.15,22.25,734059,0.0,1.0
2010-10-15,22.450001,22.5,21.4,21.65,699587,0.0,1.0
2010-10-18,21.75,21.799999,21,21.450001,466820,0.0,1.0
2010-10-19,21.549999,23.75,21.25,22.6,1925196,0.0,1.0
2010-10-20,22.6,23.200001,22.35,22.75,814495,0.0,1.0
2010-10-21,22.85,24.25,22.75,23.85,2824228,0.0,1.0
2010-10-22,24.1,24.1,23.15,23.299999,1045315,0.0,1.0
2010-10-25,23.5,24.4,23.450001,23.700001,1138385,0.0,1.0
2010-10-26,24,25.1,23.549999,24.700001,6048736,0.0,1.0
2010-10-27,24.950001,25.5,24.6,25,4291069,0.0,1.0
2010-10-28,25.200001,25.5,24.65,25.1,2707480,0.0,1.0
2010-10-29,25.200001,25.25,23.85,24.25,1770546,0.0,1.0
2010-11-01,24.450001,25.950001,23.75,25.65,2604955,0.0,1.0
2010-11-02,26.1,26.950001,25.75,26.1,5840575,0.0,1.0
2010-11-03,26.35,26.799999,25.85,26.299999,2390345,0.0,1.0
2010-11-04,26.5,26.75,26,26.15,1583784,0.0,1.0
2010-11-08,27.6,29.4,27,28.85,8835061,0.0,1.0
2010-11-09,29,29.75,28.6,29.200001,4099294,0.0,1.0
2010-11-10,29.1,30.9,28.75,30,7742944,0.0,1.0
2010-11-11,30.15,30.5,28.25,28.5,3638807,0.0,1.0
2010-11-12,28.5,29.25,27.549999,27.799999,2116943,0.0,1.0
2010-11-15,27.25,28.15,26.700001,26.9,2172116,0.0,1.0
2010-11-16,27.049999,27.799999,25.299999,25.700001,3149802,0.0,1.0
2010-11-18,26.200001,26.6,24.5,25.5,7065036,0.0,1.0
2010-11-19,25.700001,26,24.65,24.9,1733691,0.0,1.0
2010-11-22,25.25,26.799999,25.1,26.6,2198536,0.0,1.0
2010-11-23,26.35,26.549999,24.85,25.6,1406286,0.0,1.0
2010-11-24,25.799999,26.25,25.1,25.25,869585,0.0,1.0
2010-11-25,25.6,25.85,24.85,25.049999,808856,0.0,1.0
2010-11-26,25.049999,25.35,22.549999,23.700001,1397412,0.0,1.0
2010-11-29,24.049999,24.85,23.799999,24,555722,0.0,1.0
2010-11-30,24.049999,24.75,23.549999,24.450001,573190,0.0,1.0
2010-12-01,24.700001,26.299999,24.549999,25.950001,1170030,0.0,1.0
2010-12-02,26.6,27.299999,26.1,26.25,1204358,0.0,1.0
2010-12-03,26.15,26.299999,24.799999,26.049999,854515,0.0,1.0
2010-12-06,26.200001,26.299999,24.75,24.950001,479175,0.0,1.0
2010-12-07,25,25.549999,24.5,24.700001,510183,0.0,1.0
2010-12-08,24.549999,25.049999,23.799999,23.950001,511126,0.0,1.0
2010-12-09,24.1,24.1,22.299999,22.5,890695,0.0,1.0
2010-12-10,22.049999,23.65,22.049999,23.35,469151,0.0,1.0
2010-12-13,23.6,24.5,23.4,24.299999,456339,0.0,1.0
2010-12-14,24.35,24.9,24,24.15,245078,0.0,1.0
2010-12-15,24.15,24.85,23.85,23.950001,317758,0.0,1.0
2010-12-16,23.6,24.200001,23.1,23.65,409431,0.0,1.0
2010-12-20,23.9,24.1,23.25,23.75,296521,0.0,1.0
2010-12-21,24.200001,24.799999,23.950001,24.549999,511317,0.0,1.0
2010-12-22,24.65,24.65,23.799999,24,512193,0.0,1.0
2010-12-23,23.950001,24.299999,23.65,23.75,186272,0.0,1.0
2010-12-24,23.700001,23.950001,23.1,23.4,344837,0.0,1.0
2010-12-27,24,24.299999,23.6,23.799999,319128,0.0,1.0
2010-12-28,24,24.200001,23.450001,23.549999,158149,0.0,1.0
2010-12-29,23.6,23.9,23.35,23.6,267280,0.0,1.0
2010-12-30,23.700001,24.549999,23.549999,24.25,439087,0.0,1.0
2010-12-31,24.6,24.75,24.299999,24.450001,503391,0.0,1.0
2011-01-03,24.950001,25.200001,24.4,24.549999,368137,0.0,1.0
2011-01-04,24.700001,25.200001,24.1,24.700001,680718,0.0,1.0
2011-01-05,24.6,24.799999,24.1,24.200001,216981,0.0,1.0
2011-01-06,24.5,24.5,23.9,24.049999,132500,0.0,1.0
2011-01-07,24,24.200001,22.549999,22.700001,597954,0.0,1.0
2011-01-10,22.950001,23.200001,22.299999,22.450001,267016,0.0,1.0
2011-01-11,22.9,22.9,22.1,22.200001,262353,0.0,1.0
2011-01-12,22.6,23.1,22.15,22.85,191254,0.0,1.0
2011-01-13,23,23.4,22.5,22.549999,330730,0.0,1.0
2011-01-14,22.5,22.700001,21.950001,22.049999,159020,0.0,1.0
2011-01-17,22.1,22.15,21.549999,21.65,210407,0.0,1.0
2011-01-18,22.299999,22.299999,21.6,21.700001,199521,0.0,1.0
2011-01-19,21.549999,21.9,21.25,21.35,152254,0.0,1.0
2011-01-20,21.5,21.65,21.25,21.35,139454,0.0,1.0
2011-01-21,21.65,21.65,21.1,21.25,133425,0.0,1.0
2011-01-24,21.5,21.65,21.200001,21.299999,123227,0.0,1.0
2011-01-25,21.4,21.549999,20.9,20.950001,152311,0.0,1.0
2011-01-27,21.1,21.1,19.950001,20.049999,520070,0.0,1.0
2011-01-28,20,20.15,18.5,19,504117,0.0,1.0
2011-01-31,19,19.35,18.4,19.049999,273890,0.0,1.0
2011-02-01,19.049999,20.15,18.85,19.15,550602,0.0,1.0
2011-02-02,19.5,19.799999,18.9,19,278110,0.0,1.0
2011-02-03,19,19.6,19,19.35,150890,0.0,1.0
2011-02-04,19.4,19.6,18.6,18.85,192736,0.0,1.0
2011-02-07,19.299999,19.299999,17.799999,18.200001,506172,0.0,1.0
2011-02-08,18.5,18.5,17,17.1,321044,0.0,1.0
2011-02-09,17.450001,17.450001,16.200001,16.6,326623,0.0,1.0
2011-02-10,16.9,16.950001,16.15,16.75,489044,0.0,1.0
2011-02-11,17.25,18.15,16.75,17.799999,341621,0.0,1.0
2011-02-14,18,19,17.799999,18.950001,239491,0.0,1.0
2011-02-15,19.25,20.5,18.25,19.950001,1207240,0.0,1.0
2011-02-16,20,20.549999,19.75,19.950001,230503,0.0,1.0
2011-02-17,20.5,21.200001,20.200001,20.65,429346,0.0,1.0
2011-02-18,20,20.9,19.200001,19.5,244099,0.0,1.0
2011-02-21,19.549999,20.1,19.049999,19.5,87517,0.0,1.0
2011-02-22,19.450001,19.5,18.9,19.15,88367,0.0,1.0
2011-02-23,19.15,19.299999,18.85,18.9,98572,0.0,1.0
2011-02-24,18.75,19.200001,17.9,18.049999,381525,0.0,1.0
2011-02-25,17.9,18.35,17.1,17.9,255735,0.0,1.0
2011-02-28,18.1,19.4,18.1,18.450001,249832,0.0,1.0
2011-03-01,18.65,19.1,18.6,18.9,128908,0.0,1.0
2011-03-03,19,19.35,18.65,18.9,162277,0.0,1.0
2011-03-04,19,19.450001,18.4,18.6,223284,0.0,1.0
2011-03-07,19.200001,20,18.85,19.15,553490,0.0,1.0
2011-03-08,19.35,19.35,18.15,18.549999,233707,0.0,1.0
2011-03-09,18.75,19,18.25,18.549999,186038,0.0,1.0
2011-03-10,18.799999,18.799999,18,18.049999,242750,0.0,1.0
2011-03-11,18.049999,18.25,17.25,17.4,232196,0.0,1.0
2011-03-14,17.450001,17.6,17.15,17.35,212167,0.0,1.0
2011-03-15,17.200001,18.049999,16.700001,17.049999,519954,0.0,1.0
2011-03-16,17.5,18.9,17.4,18.15,688938,0.0,1.0
2011-03-17,18.15,18.25,17.700001,17.799999,170238,0.0,1.0
2011-03-18,18,18,17.5,17.6,197965,0.0,1.0
2011-03-21,17.799999,17.799999,17,17.15,189586,0.0,1.0
2011-03-22,17.450001,17.6,17.1,17.15,237924,0.0,1.0
2011-03-23,17.25,17.5,17.200001,17.35,223458,0.0,1.0
2011-03-24,17.4,17.65,17.25,17.4,255822,0.0,1.0
2011-03-25,17.1,18.299999,17.049999,18,352554,0.0,1.0
2011-03-28,18.049999,18.049999,17.299999,17.5,405118,0.0,1.0
2011-03-29,17.6,17.75,16.85,17,388783,0.0,1.0
2011-03-30,17.1,17.85,17.1,17.700001,243868,0.0,1.0
2011-03-31,18,18,16.9,17.1,241736,0.0,1.0
2011-04-01,17.35,17.75,17.200001,17.700001,135528,0.0,1.0
2011-04-04,17.700001,18.450001,17.700001,18.200001,247708,0.0,1.0
2011-04-05,18.25,18.65,18.1,18.6,203327,0.0,1.0
2011-04-06,19.950001,20.4,19.15,20,1264640,0.0,1.0
2011-04-07,20.200001,20.4,19.700001,19.75,390618,0.0,1.0
2011-04-08,19.950001,20,18.549999,18.799999,377641,0.0,1.0
2011-04-11,18.6,19.35,18.6,18.85,175380,0.0,1.0
2011-04-13,19,19.6,18.75,19.200001,143828,0.0,1.0
2011-04-15,19.200001,19.35,18.25,18.35,227144,0.0,1.0
2011-04-18,18.5,18.799999,17.799999,17.950001,155173,0.0,1.0
2011-04-19,18,18.200001,17.75,17.950001,258697,0.0,1.0
2011-04-20,18.1,20.25,18.1,19.4,2067582,0.0,1.0
2011-04-21,19.700001,20.049999,18.549999,18.85,716879,0.0,1.0
2011-04-25,18.85,19.299999,18.549999,18.6,151289,0.0,1.0
2011-04-26,18.549999,18.6,18.200001,18.4,137377,0.0,1.0
2011-04-27,18.4,18.65,18.15,18.200001,160266,0.0,1.0
2011-04-28,18.5,18.5,18,18.1,164401,0.0,1.0
2011-04-29,18.35,18.35,17.6,17.700001,204614,0.0,1.0
2011-05-02,17.9,18.049999,17.65,17.700001,114617,0.0,1.0
2011-05-03,17.6,17.9,16.9,17,512084,0.0,1.0
2011-05-04,16.9,17.25,16.9,17,162333,0.0,1.0
2011-05-05,17.049999,17.35,16.6,16.75,159162,0.0,1.0
2011-05-06,17,17.5,16.85,17.25,91399,0.0,1.0
2011-05-09,18,18.6,17.75,17.950001,572553,0.0,1.0
2011-05-10,17.85,17.85,17.200001,17.6,243019,0.0,1.0
2011-05-11,17.549999,17.799999,17.200001,17.299999,149914,0.0,1.0
2011-05-12,17.1,17.5,16.950001,17.1,110464,0.0,1.0
2011-05-13,17.6,17.6,17,17.1,128190,0.0,1.0
2011-05-16,17,17.200001,16.700001,16.799999,111495,0.0,1.0
2011-05-17,16.950001,17.200001,16.450001,16.5,154768,0.0,1.0
2011-05-18,16.65,16.799999,16.25,16.35,55877,0.0,1.0
2011-05-19,16.6,16.65,16.049999,16.1,123544,0.0,1.0
2011-05-20,16.4,16.5,16.049999,16.1,84290,0.0,1.0
2011-05-23,16.1,16.200001,15.9,15.95,60235,0.0,1.0
2011-05-24,15.95,16,15,15.35,182540,0.0,1.0
2011-05-25,15.4,15.5,15.15,15.25,65005,0.0,1.0
2011-05-26,15.3,15.65,15.15,15.2,85814,0.0,1.0
2011-05-27,15.3,15.7,15.2,15.6,150593,0.0,1.0
2011-05-30,16.200001,16.200001,15.65,15.75,62055,0.0,1.0
2011-05-31,15.85,16.549999,15.65,16.35,163893,0.0,1.0
2011-06-01,16.9,16.9,16.4,16.6,97424,0.0,1.0
2011-06-02,16.4,16.549999,16.049999,16.15,86621,0.0,1.0
2011-06-03,16.450001,16.75,15.85,15.95,90709,0.0,1.0
2011-06-06,15.95,16.1,15.75,15.95,51760,0.0,1.0
2011-06-07,16,16.1,15.75,16.049999,84343,0.0,1.0
2011-06-08,16.15,17,16,16.200001,171825,0.0,1.0
2011-06-09,16.4,16.4,15.75,15.8,109824,0.0,1.0
2011-06-10,15.95,16.049999,15.8,15.95,87767,0.0,1.0
2011-06-13,15.85,16,15.65,15.85,80676,0.0,1.0
2011-06-14,15.9,16.25,15.8,15.85,85843,0.0,1.0
2011-06-15,15.95,16,15.55,15.65,34776,0.0,1.0
2011-06-16,15.65,15.75,15.3,15.4,51506,0.0,1.0
2011-06-17,15.5,15.6,15.05,15.1,95158,0.0,1.0
2011-06-20,15.35,15.35,14.6,14.9,129278,0.0,1.0
2011-06-21,15.45,15.5,14.4,14.55,113195,0.0,1.0
2011-06-22,14.9,14.9,14.1,14.2,132446,0.0,1.0
2011-06-23,14.15,14.3,13.9,14.1,117104,0.0,1.0
2011-06-24,14.4,14.95,14.4,14.5,80290,0.0,1.0
2011-06-27,14.5,14.95,14.4,14.55,65598,0.0,1.0
2011-06-28,14.65,14.8,14.3,14.45,78767,0.0,1.0
2011-06-29,14.35,14.9,14.35,14.45,82209,0.0,1.0
2011-06-30,14.5,14.65,14.2,14.3,64882,0.0,1.0
2011-07-01,14.4,14.8,14.4,14.56,81678,0.0,1.0
2011-07-04,14.9,15.65,14.46,15.14,246459,0.0,1.0
2011-07-05,15.3,15.64,14.91,15.04,127276,0.0,1.0
2011-07-06,15.15,15.19,14.6,14.66,86821,0.0,1.0
2011-07-07,14.65,15,14.65,14.9,59145,0.0,1.0
2011-07-08,14.61,14.9,14.2,14.58,51306,0.0,1.0
2011-07-11,14.6,14.67,14.45,14.52,49388,0.0,1.0
2011-07-12,14.3,14.58,14.29,14.32,59729,0.0,1.0
