date,open,high,low,close,volume,dividend,split
2011-11-02,75,99.099998,18.1,23,37361213,0.0,1.0
2011-11-03,22,22.65,19.1,20.700001,3863945,0.0,1.0
2011-11-04,21.1,22.9,20.9,22.1,1562738,0.0,1.0
2011-11-08,21.799999,22.5,20.85,21.15,357650,0.0,1.0
2011-11-09,21.25,21.25,19.25,19.450001,408593,0.0,1.0
2011-11-11,19.200001,19.200001,16.4,16.950001,379465,0.0,1.0
2011-11-14,16.6,16.75,14.5,15.15,251623,0.0,1.0
2011-11-15,14.5,15.45,13.7,13.8,114867,0.0,1.0
2011-11-16,13.1,13.9,13,13.35,119584,0.0,1.0
2011-11-17,13,13.65,12.2,12.45,98457,0.0,1.0
2011-11-18,12.1,13.65,11.3,13.55,200573,0.0,1.0
2011-11-21,13.9,14.3,12.2,12.25,61368,0.0,1.0
2011-11-22,12.35,12.4,11.8,12.15,37712,0.0,1.0
2011-11-23,11.85,12,11.4,11.6,44633,0.0,1.0
2011-11-24,11.45,12,10.8,11.75,34461,0.0,1.0
2011-11-25,11.7,12.3,11.5,11.75,17535,0.0,1.0
2011-11-28,12,12.25,11.7,11.8,12594,0.0,1.0
2011-11-29,11.4,12.2,11.4,11.8,18755,0.0,1.0
2011-11-30,11.5,11.9,11.45,11.65,8387,0.0,1.0
2011-12-01,12.1,12.1,11.06,11.39,74022,0.0,1.0
2011-12-02,11.55,11.55,11.15,11.37,11072,0.0,1.0
2011-12-05,11.8,11.8,11.25,11.28,19312,0.0,1.0
2011-12-07,11.6,11.6,11.22,11.33,7090,0.0,1.0
2011-12-08,11.02,11.35,10.97,11.07,11989,0.0,1.0
2011-12-09,10.65,11.29,10.65,11.23,16475,0.0,1.0
2011-12-12,11,11.1,10.85,11.01,12854,0.0,1.0
2011-12-13,10.85,11.5,10.8,10.88,10459,0.0,1.0
2011-12-14,11.29,11.3,10.66,10.83,9539,0.0,1.0
2011-12-15,10.6,11.18,10.2,10.76,51455,0.0,1.0
2011-12-16,10.8,11.05,10.3,10.73,24586,0.0,1.0
2011-12-19,10.8,11,10.38,10.53,32048,0.0,1.0
2011-12-20,10.8,10.8,10.5,10.67,10377,0.0,1.0
2011-12-21,11,11,10.6,10.77,8535,0.0,1.0
2011-12-22,10.6,11,10.6,10.91,7081,0.0,1.0
2011-12-23,10.72,10.99,10.7,10.74,5837,0.0,1.0
2011-12-26,10.6,11.25,10.6,10.71,11505,0.0,1.0
2011-12-27,11.1,11.1,10.7,10.75,4452,0.0,1.0
2011-12-28,10.97,10.97,10.56,10.69,23626,0.0,1.0
2011-12-29,10.77,10.77,10.27,10.36,5011,0.0,1.0
2011-12-30,10.25,10.5,10.25,10.4,12217,0.0,1.0
2012-01-02,10.4,10.78,10.25,10.48,5388,0.0,1.0
2012-01-03,10.26,10.7,10.26,10.55,2799,0.0,1.0
2012-01-04,10.36,10.68,10.36,10.54,1234,0.0,1.0
2012-01-05,10.4,10.6,10.25,10.45,4652,0.0,1.0
2012-01-06,10.89,11,10.27,10.5,3731,0.0,1.0
2012-01-09,11.25,11.25,10.22,10.91,1781,0.0,1.0
2012-01-10,10.56,11.3,10.56,11,7602,0.0,1.0
2012-01-11,11.9,11.9,10.76,11.31,15487,0.0,1.0
2012-01-12,11.48,11.66,11,11.14,9214,0.0,1.0
2012-01-13,11.65,11.83,11.15,11.63,14446,0.0,1.0
2012-01-16,10.78,11.9,10.78,11.79,1396,0.0,1.0
2012-01-17,11.21,12.12,11.21,11.7,11384,0.0,1.0
2012-01-18,12,12.27,11.65,11.96,17966,0.0,1.0
2012-01-19,12,13.25,11.75,12.96,16058,0.0,1.0
2012-01-20,13.23,13.23,12.2,12.94,10300,0.0,1.0
2012-01-23,13.9,13.9,12.71,12.79,19293,0.0,1.0
2012-01-24,13.28,13.28,12.56,12.61,2638,0.0,1.0
2012-01-25,13.25,13.25,12.5,12.67,13647,0.0,1.0
2012-01-27,12.6,13.1,12.6,12.74,8751,0.0,1.0
2012-01-30,13.1,13.4,12.55,12.8,10657,0.0,1.0
2012-01-31,13.2,13.2,12.75,12.93,9767,0.0,1.0
2012-02-01,12.93,13.05,12.55,12.79,5328,0.0,1.0
2012-02-02,12.85,13.1,12.6,12.81,3734,0.0,1.0
2012-02-03,12.65,13,12.65,12.7,2181,0.0,1.0
2012-02-06,13,13.25,12.55,12.91,13698,0.0,1.0
2012-02-07,12.61,13.05,12.4,12.43,15664,0.0,1.0
2012-02-08,12.85,13,12.27,12.43,15861,0.0,1.0
2012-02-09,12.85,12.88,12.45,12.79,9252,0.0,1.0
2012-02-10,13.15,13.15,12.7,12.78,16114,0.0,1.0
2012-02-13,13,13.29,12.75,12.98,5434,0.0,1.0
2012-02-14,13.5,14.45,13.01,13.86,19068,0.0,1.0
2012-02-15,13.9,14.75,13.9,14.31,23968,0.0,1.0
2012-02-16,15.4,15.4,13.83,14,12710,0.0,1.0
2012-02-17,14,14.35,13.7,13.93,15093,0.0,1.0
2012-02-21,14.8,14.8,13.6,13.66,5601,0.0,1.0
2012-02-22,13.35,13.75,12.8,12.98,8216,0.0,1.0
2012-02-23,12.4,13.5,12.4,12.53,9050,0.0,1.0
2012-02-24,12.1,12.74,12.1,12.32,7593,0.0,1.0
2012-02-27,12.86,12.86,11.5,12.13,4350,0.0,1.0
2012-02-28,11.61,12.5,11.61,12.44,3296,0.0,1.0
