date,open,high,low,close,volume,dividend,split
1995-08-09,400,400,400,400,700,0.0,1.0
1995-08-11,530,755,530,750,900,0.0,1.0
1995-08-14,750,800,728,728,4000,0.0,1.0
1995-08-16,730,750,700,716,2000,0.0,1.0
1995-08-17,692,692,670,680,600,0.0,1.0
1995-08-21,626,660,626,650,500,0.0,1.0
1995-08-22,640,654,640,654,400,0.0,1.0
1995-08-24,690,690,674,690,600,0.0,1.0
1995-08-25,720,740,686,712,1600,0.0,1.0
1995-09-04,690,690,690,690,100,0.0,1.0
1995-09-26,690,690,690,690,300,0.0,1.0
1995-09-28,680,680,670,670,300,0.0,1.0
1995-10-06,678,678,678,678,100,0.0,1.0
1995-12-07,600,600,600,600,100,0.0,1.0
1995-12-08,575,575,575,575,100,0.0,1.0
1995-12-14,550,550,550,550,100,0.0,1.0
1996-02-29,600,600,600,600,100,0.0,1.0
1996-03-19,710,710,710,710,100,0.0,1.0
1996-03-29,750,750,750,750,100,0.0,1.0
1996-04-26,770,770,750,750,56800,0.0,1.0
1996-05-03,740,740,740,740,100,0.0,1.0
1996-05-08,750,750,750,750,100,0.0,1.0
1996-05-13,750,750,700,700,200,0.0,1.0
1996-05-15,700,700,700,700,100,0.0,1.0
1996-05-20,750,750,750,750,100,0.0,1.0
1996-05-21,750,750,750,750,100,0.0,1.0
1996-05-24,780,780,780,780,20100,0.0,1.0
1996-05-27,750,750,750,750,100,0.0,1.0
1996-05-29,770,770,770,770,30100,0.0,1.0
1996-05-30,770,790,770,790,5200,0.0,1.0
1996-06-05,780,780,780,780,100,0.0,1.0
1996-06-06,730,730,730,730,5200,0.0,1.0
1996-06-13,750,750,750,750,100,0.0,1.0
1996-06-14,750,750,750,750,100,0.0,1.0
1996-06-20,750,760,750,760,8200,0.0,1.0
1996-06-24,750,750,750,750,100,0.0,1.0
1996-06-26,770,770,750,750,200,0.0,1.0
1996-06-28,750,750,750,750,100,0.0,1.0
1996-09-27,640,640,640,640,100,0.0,1.0
1996-10-11,640,640,640,640,100,0.0,1.0
1996-10-24,635,635,635,635,100,0.0,1.0
1996-12-11,635,635,635,635,100,0.0,1.0
1996-12-12,635,635,635,635,100,0.0,1.0
1996-12-13,635,635,635,635,100,0.0,1.0
1997-01-03,640,640,640,640,100,0.0,1.0
1997-01-10,575,600,575,600,200,0.0,1.0
1997-01-20,635,635,635,635,10100,0.0,1.0
1997-01-21,640,640,640,640,100,0.0,1.0
1997-01-22,632,632,630,631,25000,0.0,1.0
1997-01-24,634.75,634.75,634.75,634.75,1800,0.0,1.0
1997-01-27,634,635,634,635,14500,0.0,1.0
1997-01-28,635,635,635,635,4200,0.0,1.0
1997-01-30,700,700,630,633.5,30200,0.0,1.0
1997-01-31,625,625,625,625,100,0.0,1.0
1997-02-13,628.5,629,628.25,629,9300,0.0,1.0
1997-03-03,612.5,612.5,612.5,612.5,1400,0.0,1.0
1997-03-04,580,580,580,580,11100,0.0,1.0
1997-03-05,620,620,620,620,100,0.0,1.0
1997-03-06,600,600,600,600,100,0.0,1.0
1997-03-11,600,600,600,600,200,0.0,1.0
1997-03-12,625,625,625,625,6100,0.0,1.0
1997-03-21,675,675,675,675,100,0.0,1.0
1997-03-25,735,735,710,710,200,0.0,1.0
1997-03-26,735,735,640,640,5800,0.0,1.0
1997-03-27,625,625,625,625,5000,0.0,1.0
1997-03-28,685,685,685,685,100,0.0,1.0
1997-03-31,625,625,625,625,5000,0.0,1.0
1997-04-01,625,625,625,625,5000,0.0,1.0
1997-04-15,630,630,630,630,100,0.0,1.0
1997-04-21,640,640,640,640,100,0.0,1.0
1997-04-24,585,585,585,585,100,0.0,1.0
1997-04-25,643,643,643,643,200,0.0,1.0
1997-05-06,605,605,605,605,100,0.0,1.0
1997-05-12,10.5,10.5,10.5,10.5,2000,0.0,1.0
1997-06-13,8,10.5,8,10.5,1000,0.0,1.0
1997-06-17,665.25,665.25,665.25,665.25,600,0.0,1.0
1997-06-18,731.75,731.75,731.75,731.75,50,0.0,1.0
1997-06-19,755.5,756,665.5,756,500,0.0,1.0
1997-06-20,756,756,750,750,150,0.0,1.0
1997-06-23,815,815,815,815,50,0.0,1.0
1997-06-24,875,875,875,875,50,0.0,1.0
1997-06-26,870,875,851,867.5,350,0.0,1.0
1997-07-01,845,845,845,845,50,0.0,1.0
1997-07-02,840,840,840,840,50,0.0,1.0
1997-07-03,840,840,840,840,100,0.0,1.0
1997-07-08,806,806,805,805,100,0.0,1.0
1997-07-09,850,850,850,850,50,0.0,1.0
1997-07-10,875,875,875,875,300,0.0,1.0
1997-07-16,850,850,830,830,100,0.0,1.0
1997-08-13,756,800,756,800,8450,0.0,1.0
1997-09-02,805,805,800,801.75,150,0.0,1.0
1997-09-03,820,822,820,822,150,0.0,1.0
1997-09-08,800,800,800,800,50,0.0,1.0
1997-09-11,720.25,720.25,720.25,720.25,50,0.0,1.0
1997-09-12,792,792,792,792,50,0.0,1.0
1997-09-16,869,869,850,850,200,0.0,1.0
1997-09-17,800,800,770,770,300,0.0,1.0
1997-09-18,798,798,798,798,50,0.0,1.0
1997-09-19,748,748,720,720,150,0.0,1.0
1997-09-22,720,720,720,720,50,0.0,1.0
1997-09-23,720,720,720,720,50,0.0,1.0
1997-09-24,720,720,720,720,50,0.0,1.0
1997-09-25,720,720,720,720,50,0.0,1.0
1997-09-26,720,720,720,720,100,0.0,1.0
1997-09-29,740,740,740,740,100,0.0,1.0
1997-09-30,739,739,739,739,50,0.0,1.0
1997-10-01,739,739,739,739,50,0.0,1.0
1997-10-09,719,719,719,719,100,0.0,1.0
1997-10-10,718,718,718,718,150,0.0,1.0
1997-10-13,740,740,740,740,200,0.0,1.0
1997-10-14,740,740,701,701,100,0.0,1.0
1997-10-15,719,719,719,719,100,0.0,1.0
1997-10-16,719,719,719,719,50,0.0,1.0
1997-10-17,719,719,719,719,100,0.0,1.0
1997-10-20,740,740,740,740,200,0.0,1.0
1997-10-21,710,710,710,710,200,0.0,1.0
1997-10-22,719,719,719,719,100,0.0,1.0
1997-10-23,719,719,719,719,100,0.0,1.0
1997-11-04,719,719,718.75,718.75,200,0.0,1.0
1997-11-06,714,714,714,714,50,0.0,1.0
1997-11-07,690,690,690,690,50,0.0,1.0
1997-11-11,709,709,700,700,100,0.0,1.0
1997-11-12,699,699,699,699,50,0.0,1.0
1997-11-13,689,690,685,685,500,0.0,1.0
1997-11-17,700,705,685,685,200,0.0,1.0
1997-11-18,695,695,695,695,100,0.0,1.0
1997-11-19,690,690,690,690,50,0.0,1.0
1997-11-20,709,709,709,709,100,0.0,1.0
1997-11-21,675,675,675,675,200,0.0,1.0
1997-11-24,719,719,719,719,50,0.0,1.0
1997-11-25,699,718,699,718,150,0.0,1.0
1997-11-26,680,690,680,680,4050,0.0,1.0
1997-11-27,708,708,708,708,50,0.0,1.0
1997-11-28,707,707,707,707,100,0.0,1.0
1997-12-01,706,706,706,706,50,0.0,1.0
1997-12-02,641,688,641,688,100,0.0,1.0
1997-12-04,650,650,650,650,100,0.0,1.0
1997-12-05,679,679,679,679,50,0.0,1.0
1997-12-08,693,693,693,693,50,0.0,1.0
1997-12-09,640,640,640,640,50,0.0,1.0
1997-12-10,669,669,669,669,50,0.0,1.0
1997-12-11,667,667,640,650,250,0.0,1.0
1997-12-12,645,665,639,656.25,400,0.0,1.0
1997-12-16,655,655,655,655,50,0.0,1.0
1997-12-19,653,653,650,650,15050,0.0,1.0
1997-12-22,647.75,650,640,650,23100,0.0,1.0
1997-12-23,650,654,650,650.75,20550,0.0,1.0
1997-12-24,665,665,665,665,50,0.0,1.0
1997-12-26,656.75,656.75,656.75,656.75,50,0.0,1.0
1997-12-29,666.75,666.75,666.75,666.75,50,0.0,1.0
1997-12-31,666.75,715,666.75,694,150,0.0,1.0
1998-01-01,755,755,699,699,100,0.0,1.0
1998-01-02,765,765,735,740,150,0.0,1.0
1998-01-05,810,810,740,740,150,0.0,1.0
1998-01-06,725,725,725,725,50,0.0,1.0
1998-01-08,725,725,725,725,50,0.0,1.0
1998-01-09,690,690,680,680,200,0.0,1.0
1998-01-12,735,735,735,735,50,0.0,1.0
1998-01-13,722,722,722,722,50,0.0,1.0
1998-01-15,700,700,700,700,50,0.0,1.0
1998-01-16,699,699,699,699,100,0.0,1.0
1998-01-19,745,745,745,745,50,0.0,1.0
1998-01-21,671.5,671.5,671.5,671.5,26050,0.0,1.0
1998-01-22,679,679,669,670,350,0.0,1.0
1998-01-23,640,640.25,640,640.25,100,0.0,1.0
1998-01-27,650,689,650,689,100,0.0,1.0
1998-01-28,651,665,650,665,200,0.0,1.0
1998-01-29,665,665,665,665,50,0.0,1.0
1998-02-03,665,665,665,665,50,0.0,1.0
1998-02-06,685,685,685,685,50,0.0,1.0
1998-02-09,670,670,670,670,50,0.0,1.0
1998-02-10,635,635,635,635,50,0.0,1.0
1998-02-11,670,670,670,670,50,0.0,1.0
1998-02-12,620,640,620,640,100,0.0,1.0
1998-02-13,640,640,640,640,50,0.0,1.0
1998-02-16,660,660,660,660,50,0.0,1.0
1998-02-17,648,648,648,648,50,0.0,1.0
1998-02-23,690,690,690,690,50,0.0,1.0
1998-03-03,640,640,640,640,50,0.0,1.0
1998-03-05,640,660,640,650,100,0.0,1.0
1998-03-17,650,650,650,650,50,0.0,1.0
1998-03-18,650,650,650,650,100,0.0,1.0
1998-03-19,610,610,609,609,100,0.0,1.0
1998-03-20,610,610,565,584.25,350,0.0,1.0
1998-03-23,624,624,545,547,5250,0.0,1.0
1998-03-24,545,575,545,551,1700,0.0,1.0
1998-03-25,530,530,515,516.25,261950,0.0,1.0
1998-03-26,530,549,530,530,341100,0.0,1.0
