date,open,high,low,close,volume,dividend,split
2000-08-30,14.04,14.4,14.04,14.4,3000,0.0,1.0
2000-08-31,14.2,14.4,13.8,13.9,6000,0.0,1.0
2000-09-01,13.9,13.9,13.9,13.9,0,0.0,1.0
2000-09-04,15.01,15.01,14.4,15,1500,0.0,1.0
2000-09-05,15.1,15.6,15.1,15.5,6000,0.0,1.0
2000-09-06,15,15.2,14.85,14.85,2000,0.0,1.0
2000-09-07,15.2,15.6,15,15.32,9500,0.0,1.0
2000-09-08,15.02,15.2,14.1,14.31,20500,0.0,1.0
2000-09-11,14.5,15,14.5,14.6,5000,0.0,1.0
2000-09-12,14.8,15.4,14.8,15.31,5500,0.0,1.0
2000-09-13,15,15,14.2,14.37,7000,0.0,1.0
2000-09-14,14.22,14.55,14.22,14.55,1000,0.0,1.0
2000-09-15,14.14,14.3,13.6,13.75,6000,0.0,1.0
2000-09-18,13.75,13.75,13.75,13.75,0,0.0,1.0
2000-09-19,13.75,13.75,13.75,13.75,0,0.0,1.0
2000-09-20,14.4,14.45,14,14.35,4000,0.0,1.0
2000-09-21,15.2,15.49,14.41,15.2,6000,0.0,1.0
2000-09-22,14.5,15.3,14.2,15.12,12000,0.0,1.0
2000-09-25,16.32,16.32,16.32,16.32,500,0.0,1.0
2000-09-26,16.4,17.4,16.4,17.4,1500,0.0,1.0
2000-09-27,18.76,18.780001,18.76,18.780001,500,0.0,1.0
2000-09-28,20.280001,20.280001,20.280001,20.280001,250,0.0,1.0
2000-09-29,21.9,21.9,21.9,21.9,500,0.0,1.0
2000-10-02,21.9,21.9,21.9,21.9,0,0.0,1.0
2000-10-03,23.6,23.6,23.559999,23.559999,2500,0.0,1.0
2000-10-04,25.48,25.48,25.48,25.48,250,0.0,1.0
2000-10-05,27.459999,27.459999,27.4,27.4,500,0.0,1.0
2000-10-06,29.6,29.6,25.27,25.27,3000,0.0,1.0
2000-10-09,29.940001,29.940001,27.27,27.27,2000,0.0,1.0
2000-10-10,26.799999,26.799999,26.799999,26.799999,50,0.0,1.0
2000-10-11,26.799999,26.799999,26.799999,26.799999,0,0.0,1.0
2000-10-12,26.799999,26.799999,26.799999,26.799999,0,0.0,1.0
2000-10-13,26.799999,26.799999,26.799999,26.799999,0,0.0,1.0
2000-10-16,23.01,23.01,23.01,23.01,50,0.0,1.0
2000-10-17,23.01,23.01,23.01,23.01,0,0.0,1.0
2000-10-18,23.5,23.5,23.5,23.5,500,0.0,1.0
2000-10-19,21.629999,21.629999,21.629999,21.629999,1000,0.0,1.0
2000-10-20,21.6,21.6,21.4,21.4,25000,0.0,1.0
2000-10-23,21.4,21.4,21.4,21.4,0,0.0,1.0
2000-10-24,21.4,21.4,21.4,21.4,0,0.0,1.0
2000-10-25,21.4,21.4,21.4,21.4,0,0.0,1.0
2000-10-26,21.4,21.4,21.4,21.4,0,0.0,1.0
2000-10-27,21.4,21.4,21.4,21.4,0,0.0,1.0
2000-10-30,21.4,21.4,21.4,21.4,0,0.0,1.0
2000-10-31,21.4,21.4,21.4,21.4,0,0.0,1.0
2000-11-01,21.4,21.4,21.4,21.4,0,0.0,1.0
2000-11-02,16.85,16.85,16.85,16.85,1000,0.0,1.0
2000-11-03,16.85,16.85,16.85,16.85,0,0.0,1.0
2000-11-06,16.85,16.85,16.85,16.85,0,0.0,1.0
