date,open,high,low,close,volume,dividend,split
2002-01-14,10.15,10.35,10.15,10.3,8600,0.0,1.0
2002-01-15,10.3,10.3,10.2,10.25,5360,0.0,1.0
2002-01-16,10.3,10.35,10.2,10.35,1190,0.0,1.0
2002-01-17,10.25,10.4,10.15,10.2,6165,0.0,1.0
2002-01-18,10.5,10.5,10.05,10.35,9861,0.0,1.0
2002-01-21,10.5,10.5,10.2,10.4,7250,0.0,1.0
2002-01-22,10.4,10.8,10.25,10.3,10561,0.0,1.0
2002-01-23,10.55,10.7,10.4,10.55,5550,0.0,1.0
2002-01-24,10.85,10.85,10.4,10.4,2735,0.0,1.0
2002-01-25,10.35,10.6,10.25,10.4,3450,0.0,1.0
2002-01-28,10.35,10.5,10.35,10.45,5950,0.0,1.0
2002-01-29,10.4,10.55,10.35,10.35,3522,0.0,1.0
2002-01-30,10.4,10.55,10.3,10.4,5450,0.0,1.0
2002-01-31,10.5,10.55,10.45,10.5,5160,0.0,1.0
2002-02-01,10.45,10.75,10.4,10.6,16698,0.0,1.0
2002-02-04,10.55,11.2,10.45,11.15,23588,0.0,1.0
2002-02-05,11.45,11.5,11.25,11.25,11700,0.0,1.0
2002-02-06,11.35,12.45,11.25,12.35,37170,0.0,1.0
2002-02-07,12.7,13,12.1,12.15,21232,0.0,1.0
2002-02-08,12.2,12.4,12.1,12.3,28479,0.0,1.0
2002-02-11,13,13.15,12.4,12.95,26277,0.0,1.0
2002-02-12,13.2,13.4,12.6,12.6,18700,0.0,1.0
2002-02-13,12.85,12.85,12.4,12.6,8720,0.0,1.0
2002-02-14,12.3,12.9,12.25,12.8,9436,0.0,1.0
2002-02-15,12.9,14.5,12.9,14.15,79579,0.0,1.0
2002-02-18,16.5,16.549999,14.65,16.4,115185,0.0,1.0
2002-02-19,16.950001,17.5,15,15.05,90247,0.0,1.0
2002-02-20,14.9,15,14.35,14.6,27980,0.0,1.0
2002-02-21,15,15.25,14.45,14.75,30965,0.0,1.0
2002-02-22,15,16.5,14.5,15.95,76660,0.0,1.0
2002-02-25,15.5,16.75,15.5,16.299999,44186,0.0,1.0
2002-02-26,16.5,17.299999,16.450001,16.549999,65605,0.0,1.0
2002-02-27,17,17.299999,15.8,16.25,35701,0.0,1.0
