date,open,high,low,close,volume,dividend,split
2000-05-10,178,178,158.300003,158.300003,26100,0.0,1.0
2000-05-11,145.649994,149.899994,145.649994,145.649994,500,0.0,1.0
2000-05-12,134,135,134,134,900,0.0,1.0
2000-05-15,123.300003,130,123.300003,124.150002,35100,0.0,1.0
2000-05-16,116.699997,117,114.25,114.25,3500,0.0,1.0
2000-05-17,105.150002,123.300003,105.150002,105.150002,63400,0.0,1.0
2000-05-18,98,105,96.75,96.75,9300,0.0,1.0
2000-05-19,89.099998,89.099998,89.050003,89.050003,2400,0.0,1.0
2000-05-22,81.949997,81.949997,81.949997,81.949997,300,0.0,1.0
2000-05-23,75.400002,75.400002,75.400002,75.400002,1900,0.0,1.0
2000-05-24,69.400002,69.400002,69.400002,69.400002,700,0.0,1.0
2000-05-25,63.849998,74.900002,63.849998,64.699997,43100,0.0,1.0
2000-05-26,65,67.75,59.549999,59.599998,22700,0.0,1.0
2000-05-29,64.349998,64.349998,54.849998,64.349998,67100,0.0,1.0
2000-05-30,69.449997,69.449997,69.300003,69.449997,11300,0.0,1.0
2000-05-31,74.949997,74.949997,74.949997,74.949997,5500,0.0,1.0
2000-06-01,80.900002,80.900002,80.900002,80.900002,5300,0.0,1.0
2000-06-02,87.349998,87.349998,87.349998,87.349998,18100,0.0,1.0
2000-06-05,94.300003,94.300003,94.300003,94.300003,5500,0.0,1.0
2000-06-06,101.800003,101.800003,101.800003,101.800003,8800,0.0,1.0
2000-06-07,109.900002,109.900002,106,109.900002,94100,0.0,1.0
2000-06-08,118.650002,118.650002,101.150002,105.699997,138100,0.0,1.0
2000-06-09,106,106,97.25,99,63200,0.0,1.0
2000-06-12,105,105.949997,92.550003,93.25,42500,0.0,1.0
2000-06-13,92,100.699997,86.099998,100.699997,42600,0.0,1.0
2000-06-14,108.699997,108.699997,101,108.699997,95900,0.0,1.0
2000-06-15,108.699997,117.349998,108.699997,117.349998,59100,0.0,1.0
2000-06-16,126.699997,126.699997,122.099998,126.699997,49600,0.0,1.0
2000-06-19,126.699997,126.699997,126.699997,126.699997,0,0.0,1.0
2000-06-20,147.699997,147.699997,147.699997,147.699997,14700,0.0,1.0
2000-06-21,159.5,159.5,135.899994,142.600006,187400,0.0,1.0
2000-06-22,145,149.5,135,139.300003,52900,0.0,1.0
2000-06-23,135.25,135.25,128.199997,128.199997,54100,0.0,1.0
2000-06-26,119.050003,138.399994,117.949997,134.25,92600,0.0,1.0
2000-06-27,143.800003,144.75,123.550003,123.75,79900,0.0,1.0
2000-06-28,117,119,113.900002,114.199997,52700,0.0,1.0
2000-06-29,115,123,105.099998,105.099998,49700,0.0,1.0
2000-06-30,96.699997,96.699997,96.699997,96.699997,5800,0.0,1.0
2000-07-03,99.25,104.400002,89.349998,104.400002,142100,0.0,1.0
2000-07-04,109.800003,109.800003,96.099998,99.099998,78400,0.0,1.0
2000-07-05,94.050003,98,91.199997,91.199997,65300,0.0,1.0
2000-07-06,83.949997,83.949997,83.949997,83.949997,14700,0.0,1.0
2000-07-07,83.949997,83.949997,83.949997,83.949997,0,0.0,1.0
2000-07-10,87.699997,87.800003,87.699997,87.800003,1300,0.0,1.0
2000-07-11,86.5,88.599998,85,85.550003,25500,0.0,1.0
2000-07-12,85.5,89.849998,79.349998,89,32500,0.0,1.0
2000-07-13,89,89.25,81.900002,81.900002,36500,0.0,1.0
2000-07-14,79,81.5,76.5,79.650002,41300,0.0,1.0
2000-07-17,82,82,74.5,75.949997,29300,0.0,1.0
2000-07-18,74,74.599998,72,72.800003,11700,0.0,1.0
2000-07-19,72.800003,74,70.550003,71.300003,10500,0.0,1.0
2000-07-20,71.050003,71.849998,68,68.75,9300,0.0,1.0
2000-07-21,70,74.199997,67,69.650002,50400,0.0,1.0
2000-07-24,69.650002,69.650002,69.650002,69.650002,0,0.0,1.0
2000-07-25,63,69.949997,61,69.949997,49700,0.0,1.0
2000-07-26,73.900002,73.900002,65.599998,65.849998,34600,0.0,1.0
2000-07-27,65.849998,65.849998,65.849998,65.849998,0,0.0,1.0
2000-07-28,64,65.5,60.25,60.400002,40400,0.0,1.0
2000-07-31,55.599998,57.599998,55.599998,55.599998,12700,0.0,1.0
2000-08-01,51.5,51.5,51.200001,51.200001,5800,0.0,1.0
2000-08-02,47.150002,47.150002,47.150002,47.150002,1800,0.0,1.0
2000-08-03,43.400002,46,43.400002,43.400002,26200,0.0,1.0
2000-08-04,40.200001,43.400002,39.950001,40.650002,59500,0.0,1.0
2000-08-07,39,42.400002,38.5,39.799999,27900,0.0,1.0
2000-08-08,40.849998,42.950001,40.650002,42.950001,16700,0.0,1.0
2000-08-09,46.349998,46.349998,46.349998,46.349998,2200,0.0,1.0
2000-08-10,50,50,46,46.349998,51900,0.0,1.0
2000-08-11,44.599998,47.75,44.599998,45.5,21600,0.0,1.0
2000-08-14,44.049999,46.25,43.5,45.549999,9500,0.0,1.0
2000-08-15,45.549999,45.549999,45.549999,45.549999,0,0.0,1.0
2000-08-16,47,49.099998,45,48.599998,9300,0.0,1.0
2000-08-17,49.150002,52.450001,47,52.400002,20100,0.0,1.0
2000-08-18,56,56.549999,52.400002,56.400002,21400,0.0,1.0
2000-08-21,58,60.900002,57,60.900002,37400,0.0,1.0
2000-08-22,62,65.75,61.049999,65.75,18900,0.0,1.0
2000-08-23,68,68.900002,63.25,66.150002,27000,0.0,1.0
2000-08-24,64.599998,67.300003,62.5,67.25,19500,0.0,1.0
2000-08-25,65,65.5,61.900002,62.25,25600,0.0,1.0
2000-08-28,67.199997,67.199997,67.199997,67.199997,6000,0.0,1.0
2000-08-29,72.550003,72.550003,65.599998,68.150002,29400,0.0,1.0
2000-08-30,67.75,67.800003,62.700001,62.700001,13400,0.0,1.0
2000-08-31,58.049999,62.950001,57.700001,61.75,15900,0.0,1.0
2000-09-01,61.75,61.75,61.75,61.75,0,0.0,1.0
2000-09-04,66.5,66.650002,66.5,66.650002,2500,0.0,1.0
2000-09-05,71.949997,71.949997,68.099998,71.949997,20700,0.0,1.0
2000-09-06,75.900002,77.650002,75.900002,77.650002,2500,0.0,1.0
2000-09-07,83.849998,83.849998,79.099998,83.199997,38800,0.0,1.0
2000-09-08,83.5,89.800003,83.5,89.800003,23200,0.0,1.0
2000-09-11,96.949997,96.949997,96.949997,96.949997,800,0.0,1.0
2000-09-12,104.650002,104.650002,97.199997,101.599998,79100,0.0,1.0
2000-09-13,100,101,93.5,93.5,13700,0.0,1.0
2000-09-14,87.099998,87.099998,86.050003,86.050003,2900,0.0,1.0
2000-09-15,79.199997,83.25,79.199997,79.199997,33100,0.0,1.0
2000-09-18,75,75,73,73,100,0.0,1.0
2000-09-19,73,73,73,73,0,0.0,1.0
2000-09-20,72,72,64,67.050003,19800,0.0,1.0
2000-09-21,65.099998,68.699997,64.900002,65.75,11500,0.0,1.0
2000-09-22,62,62,60.5,60.5,14800,0.0,1.0
2000-09-25,64.099998,65.300003,63,65.300003,22200,0.0,1.0
2000-09-26,65.300003,65.300003,65.300003,65.300003,0,0.0,1.0
2000-09-27,65.300003,65.300003,65.300003,65.300003,0,0.0,1.0
2000-09-28,63.049999,63.049999,59.849998,60,8100,0.0,1.0
2000-09-29,60,60,60,60,0,0.0,1.0
2000-10-02,60,60,60,60,0,0.0,1.0
2000-10-03,59.75,59.75,56,58.099998,4500,0.0,1.0
2000-10-04,57,62.349998,56.75,62,4200,0.0,1.0
2000-10-05,62,63,58,58,4900,0.0,1.0
2000-10-06,56.049999,57.950001,53.400002,53.450001,10800,0.0,1.0
2000-10-09,55,55,49.400002,50.900002,8100,0.0,1.0
2000-10-10,47.5,49.5,47,48.799999,10800,0.0,1.0
2000-10-11,47.900002,47.900002,44.900002,45.950001,7500,0.0,1.0
2000-10-12,42.5,49,42.299999,48.75,9800,0.0,1.0
2000-10-13,47,47.5,45.049999,45.849998,11000,0.0,1.0
2000-10-16,49.5,49.5,49.5,49.5,2700,0.0,1.0
2000-10-17,51,51,45.549999,45.549999,12800,0.0,1.0
2000-10-18,42.25,44.200001,41.950001,43.450001,10800,0.0,1.0
2000-10-19,41.099998,46.900002,40.049999,46.400002,10300,0.0,1.0
2000-10-20,46.400002,46.400002,46.400002,46.400002,0,0.0,1.0
2000-10-23,47,49,45,46.5,6800,0.0,1.0
2000-10-24,47,47,44,46.349998,1800,0.0,1.0
2000-10-25,46.349998,46.349998,46.349998,46.349998,0,0.0,1.0
2000-10-26,46.349998,46.349998,46.349998,46.349998,0,0.0,1.0
2000-10-27,46.25,48.599998,46.25,47.049999,4400,0.0,1.0
2000-10-30,48,48,45.25,45.599998,3400,0.0,1.0
2000-10-31,45.599998,45.599998,45.599998,45.599998,0,0.0,1.0
2000-11-01,47,47,45.75,46.150002,4200,0.0,1.0
2000-11-02,46,46,44.5,45.950001,10800,0.0,1.0
2000-11-03,44.25,46.400002,43.5,45.849998,7600,0.0,1.0
2000-11-06,47,47,45,45.5,9800,0.0,1.0
2000-11-07,44,46,44,46,5000,0.0,1.0
2000-11-08,47,48.400002,45,47.049999,19500,0.0,1.0
2000-11-09,45,48,44,44.849998,20700,0.0,1.0
2000-11-10,44.099998,44.799999,43,43.150002,11300,0.0,1.0
2000-11-13,43.450001,43.450001,39.700001,40.200001,8800,0.0,1.0
2000-11-14,40,43.400002,38,43.349998,5800,0.0,1.0
2000-11-15,44,46.450001,40,41.599998,9300,0.0,1.0
2000-11-16,42,42.450001,41.5,41.950001,3600,0.0,1.0
2000-11-17,41,42,41,41.700001,4600,0.0,1.0
2000-11-20,43.799999,44,42.450001,44,5500,0.0,1.0
2000-11-21,42.5,42.900002,42,42.650002,4700,0.0,1.0
2000-11-22,42.200001,43,42,42.049999,3400,0.0,1.0
2000-11-23,40.700001,41.75,39,41,4800,0.0,1.0
2000-11-24,39.599998,41.700001,39.599998,40.200001,7900,0.0,1.0
2000-11-27,42.099998,42.950001,41.099998,42.549999,4800,0.0,1.0
2000-11-28,43,43,40.849998,41.5,3800,0.0,1.0
2000-11-29,40.400002,41,40,40.700001,5500,0.0,1.0
2000-11-30,40.049999,40.5,39.5,39.599998,3600,0.0,1.0
2000-12-01,38.25,42.75,38.200001,42.75,16600,0.0,1.0
2000-12-04,46.150002,46.150002,41,42,18500,0.0,1.0
2000-12-05,41.25,42.400002,41,41.75,6400,0.0,1.0
2000-12-06,42.700001,44,40.950001,42.049999,8200,0.0,1.0
2000-12-07,41.549999,42.5,41,41,4400,0.0,1.0
2000-12-08,41,41.849998,39.75,40.150002,12000,0.0,1.0
2001-03-05,15.55,15.55,15.55,15.55,1100,0.0,1.0
2001-10-22,7,7,7,7,100,0.0,1.0
2001-11-20,14,14,14,14,600,0.0,1.0
2001-11-26,13.65,13.65,13.65,13.65,200,0.0,1.0
2001-11-27,14.7,14.7,14.7,14.7,700,0.0,1.0
2001-11-28,13.65,13.65,13.65,13.65,1300,0.0,1.0
2001-12-05,18.1,18.1,18.1,18.1,200,0.0,1.0
2001-12-14,21.75,22.4,21.75,22.4,600,0.0,1.0
2001-12-19,26,26,25.1,25.1,200,0.0,1.0
2001-12-20,24.5,26.9,24.5,25.75,1200,0.0,1.0
2001-12-26,28.9,30.15,28.9,30.15,12800,0.0,1.0
2001-12-28,28.049999,28.049999,28.049999,28.049999,50,0.0,1.0
2001-12-31,34.700001,36.299999,32.400002,36.299999,123900,0.0,1.0
2002-01-01,39,40.400002,36.099998,38.299999,157900,0.0,1.0
2002-01-02,39,44,38.099998,41.799999,98500,0.0,1.0
2002-01-03,43.5,44.75,40.5,42,78100,0.0,1.0
2002-01-04,48.299999,48.299999,41.400002,41.900002,152300,0.0,1.0
2002-01-07,45,45,38,39.75,94900,0.0,1.0
2002-01-08,38,44,35,38.849998,149700,0.0,1.0
2002-01-09,39,42.450001,35.75,36.200001,116700,0.0,1.0
2002-01-10,35,35.700001,29.65,30.5,96700,0.0,1.0
2002-01-11,28.15,36.599998,28.15,36.5,243000,0.0,1.0
2002-01-14,38.900002,41.299999,36.5,37.299999,137300,0.0,1.0
2002-01-15,36.700001,37.900002,33.5,35.75,68200,0.0,1.0
2002-01-16,36.099998,38,35.5,37.799999,51000,0.0,1.0
2002-01-17,36.5,43.900002,36.5,43.150002,161800,0.0,1.0
2002-01-18,44.900002,44.900002,38.599998,39.400002,104300,0.0,1.0
2002-01-21,40.25,41.900002,39,40.299999,44400,0.0,1.0
2002-01-22,40.900002,43.75,39.599998,40.900002,55800,0.0,1.0
2002-01-23,41,41,38.5,38.599998,35300,0.0,1.0
2002-01-24,39.25,40,34,34.549999,47900,0.0,1.0
2002-01-25,33.599998,37.25,33.200001,33.849998,56100,0.0,1.0
2002-01-28,36.75,39.5,34.25,38.25,96800,0.0,1.0
2002-01-29,39.400002,42.5,38.099998,40.849998,90800,0.0,1.0
2002-01-30,39.799999,41,38.150002,39.599998,67300,0.0,1.0
2002-01-31,40.75,47.5,40.25,47.5,214900,0.0,1.0
2002-02-01,53,57,52.599998,57,369600,0.0,1.0
2002-02-04,60,64.699997,52.650002,60.650002,396800,0.0,1.0
2002-02-05,58,59.200001,50,50.450001,176800,0.0,1.0
2002-02-06,53,53,48.049999,51.099998,102700,0.0,1.0
2002-02-07,52.700001,56.900002,49.5,50.650002,169000,0.0,1.0
2002-02-08,53.900002,55.25,50.900002,53.299999,126900,0.0,1.0
2002-02-11,55,58,55,55.849998,105500,0.0,1.0
2002-02-12,56.099998,57.25,50.599998,50.849998,54300,0.0,1.0
2002-02-13,51.5,51.5,48.099998,48.650002,55900,0.0,1.0
2002-02-14,52.400002,57.799999,49,57.099998,171800,0.0,1.0
