date,open,high,low,close,volume,dividend,split
2001-07-30,8.5,8.5,8.5,8.5,600,0.0,1.0
2001-08-02,8.5,8.5,8.5,8.5,400,0.0,1.0
2001-08-10,9,9,9,9,600,0.0,1.0
2001-08-14,9,9,9,9,400,0.0,1.0
2001-08-27,9,9,9,9,600,0.0,1.0
2001-08-29,9,9,9,9,400,0.0,1.0
2001-09-10,8.5,8.5,8.5,8.5,1000,0.0,1.0
2001-12-03,8.3,8.3,8.3,8.3,300,0.0,1.0
2001-12-04,8.3,8.3,8.3,8.3,300,0.0,1.0
2001-12-05,8.3,8.3,8.3,8.3,300,0.0,1.0
2001-12-11,8.3,8.3,8.3,8.3,300,0.0,1.0
2001-12-12,8.25,8.25,8.25,8.25,300,0.0,1.0
2001-12-13,8.25,8.25,8.25,8.25,300,0.0,1.0
2001-12-20,8.25,8.25,8.25,8.25,300,0.0,1.0
2001-12-21,8.25,8.25,8.25,8.25,300,0.0,1.0
2001-12-26,8.75,8.75,8.75,8.75,300,0.0,1.0
2001-12-31,8.25,8.25,7.3,7.3,800,0.0,1.0
2002-01-01,7.5,7.65,7.5,7.65,350,0.0,1.0
2002-01-03,7.05,7.7,7.05,7.7,700,0.0,1.0
2002-01-04,7.1,7.3,7.05,7.05,4850,0.0,1.0
2002-01-07,7.5,7.5,7.25,7.25,3310,0.0,1.0
2002-01-08,7.25,7.95,7.25,7.25,9400,0.0,1.0
2002-01-09,7.25,7.95,7.25,7.5,2000,0.0,1.0
2002-01-10,7.45,7.45,7.3,7.3,450,0.0,1.0
2002-01-11,7.4,7.65,7.4,7.6,12757,0.0,1.0
2002-01-14,7.45,7.45,7.35,7.4,9800,0.0,1.0
2002-01-15,7.5,7.5,7.4,7.4,6100,0.0,1.0
2002-01-16,7.45,7.5,7.3,7.3,5602,0.0,1.0
2002-01-17,7.45,7.45,7.25,7.3,19193,0.0,1.0
2002-01-18,7.4,7.45,7.3,7.4,6137,0.0,1.0
2002-01-21,7.3,7.6,7.3,7.35,1152,0.0,1.0
2002-01-22,7.2,7.65,7.2,7.5,2570,0.0,1.0
2002-01-23,7.45,7.5,7.3,7.3,1640,0.0,1.0
2002-01-24,7.5,7.6,7.5,7.6,860,0.0,1.0
2002-01-25,7.45,7.55,7.35,7.4,2870,0.0,1.0
2002-01-28,7.7,7.75,7.45,7.45,700,0.0,1.0
2002-01-29,7.35,8,7.35,7.5,3500,0.0,1.0
2002-01-30,7.65,7.65,7.5,7.55,2999,0.0,1.0
2002-01-31,7.55,7.75,7.5,7.65,5001,0.0,1.0
2002-02-01,7.75,7.8,7.55,7.7,7279,0.0,1.0
2002-02-04,7.9,7.9,7.7,7.8,4450,0.0,1.0
2002-02-05,8.2,8.2,7.85,8.15,4290,0.0,1.0
2002-02-06,8.1,8.4,8.1,8.35,7038,0.0,1.0
2002-02-07,8.3,8.35,8.05,8.05,5368,0.0,1.0
2002-02-08,8.1,8.4,8.1,8.35,3601,0.0,1.0
2002-02-11,8.5,8.6,8.35,8.55,3625,0.0,1.0
2002-02-12,7.9,8.7,7.9,8.6,7480,0.0,1.0
2002-02-13,8.55,8.65,8.4,8.45,6400,0.0,1.0
2002-02-14,8.4,8.85,8.4,8.85,4000,0.0,1.0
2002-02-15,9.1,10.1,8.95,9.9,38779,0.0,1.0
2002-02-18,10.15,10.75,9.85,10,44825,0.0,1.0
2002-02-19,10.5,10.7,9.6,9.75,37130,0.0,1.0
2002-02-20,10.5,10.5,9.1,9.3,33101,0.0,1.0
2002-02-21,10.1,10.1,9.45,9.75,19550,0.0,1.0
2002-02-22,9,9.8,9,9.7,12325,0.0,1.0
2002-02-25,9.8,9.8,9.5,9.7,20750,0.0,1.0
2002-02-26,10.1,10.1,9.75,9.8,24200,0.0,1.0
2002-02-27,9.8,10,9.6,9.6,16951,0.0,1.0
2002-02-28,9.6,9.7,8.6,8.8,34401,0.0,1.0
2002-03-01,9.05,9.2,8.95,9,4950,0.0,1.0
2002-03-04,9.1,9.85,9.1,9.2,6703,0.0,1.0
2002-03-05,9.75,9.75,8.9,8.9,28100,0.0,1.0
2002-03-06,9.2,9.2,8.85,9.05,16020,0.0,1.0
2002-03-07,10.45,10.45,9.1,9.3,38000,0.0,1.0
2002-03-08,9.5,9.55,9.2,9.35,8465,0.0,1.0
2002-03-11,9.45,9.45,9.1,9.25,2825,0.0,1.0
2002-03-12,9.1,9.25,8.95,8.95,6855,0.0,1.0
2002-03-13,10.1,10.7,8.9,9.05,5350,0.0,1.0
2002-03-14,8.85,9.25,8.85,9,14238,0.0,1.0
2002-03-15,8.8,9.1,8.8,8.95,3560,0.0,1.0
2002-03-18,9.2,9.7,9.05,9.05,6695,0.0,1.0
2002-03-19,9.1,9.1,9.05,9.1,1600,0.0,1.0
2002-03-20,9,9.1,8.95,8.95,6010,0.0,1.0
2002-03-21,9,9,8.95,9,6250,0.0,1.0
2002-03-22,9.1,9.1,9,9,3650,0.0,1.0
2002-03-26,9,9,8.85,8.9,4157,0.0,1.0
2002-03-27,9,9,8.7,8.9,10900,0.0,1.0
2002-04-01,8.7,9.1,8.65,9,9500,0.0,1.0
2002-04-02,9.25,9.25,8.85,8.95,5000,0.0,1.0
2002-04-03,8.95,8.95,8.85,8.9,4100,0.0,1.0
2002-04-04,8.8,9,8.8,8.9,3500,0.0,1.0
2002-04-05,9.05,9.35,9,9.35,9883,0.0,1.0
2002-04-08,9.5,9.75,9.5,9.55,6350,0.0,1.0
2002-04-09,9.7,9.9,9.7,9.75,15055,0.0,1.0
2002-04-10,9.6,9.7,9.55,9.6,9037,0.0,1.0
2002-04-11,9.5,9.95,9.35,9.35,15690,0.0,1.0
2002-04-12,9.9,9.9,9.4,9.4,9950,0.0,1.0
2002-04-15,9.6,9.6,9.45,9.5,5800,0.0,1.0
2002-04-16,9.5,9.6,9.45,9.5,4900,0.0,1.0
2002-04-17,9.25,9.6,9.25,9.4,7520,0.0,1.0
2002-04-18,9.35,10.1,9.35,10.1,20573,0.0,1.0
2002-04-19,10.1,10.15,9.85,9.95,26400,0.0,1.0
2002-04-22,9.75,9.75,9.55,9.65,6102,0.0,1.0
2002-04-23,9.95,10,9.85,10,6800,0.0,1.0
2002-04-24,10,10,9.95,9.95,1820,0.0,1.0
2002-04-25,10,10.35,10,10.25,30001,0.0,1.0
