date,open,high,low,close,volume,dividend,split
2000-01-03,3.79,3.79,3.56,3.615,64000,0.0,1.0
2000-01-04,3.79,3.79,3.51,3.575,59000,0.0,1.0
2000-01-05,3.4,3.5,3.35,3.385,43000,0.0,1.0
2000-01-06,3.325,3.495,3.32,3.415,40000,0.0,1.0
2000-01-07,3.3,3.4,3.15,3.365,122000,0.0,1.0
2000-01-10,3.55,3.55,3.2,3.395,15000,0.0,1.0
2000-01-11,3.3,3.37,3.3,3.37,12000,0.0,1.0
2000-01-12,3.2,3.205,3.175,3.185,14000,0.0,1.0
2000-01-13,3.205,3.325,3.205,3.32,14000,0.0,1.0
2000-01-14,3.4,3.4,3.23,3.25,43000,0.0,1.0
2000-01-17,3.49,3.5,3.36,3.475,96000,0.0,1.0
2000-01-18,3.5,3.5,3.325,3.35,134000,0.0,1.0
2000-01-19,3.44,3.45,3.35,3.36,43000,0.0,1.0
2000-01-20,3.375,3.375,3.3,3.3,54000,0.0,1.0
2000-01-21,3.285,3.49,3.22,3.355,151000,0.0,1.0
2000-01-24,3.62,3.62,3.5,3.565,169000,0.0,1.0
2000-01-25,3.59,3.6,3.5,3.585,65000,0.0,1.0
2000-01-26,3.585,3.585,3.585,3.585,0,0.0,1.0
2000-01-27,3.51,3.7,3.5,3.585,204000,0.0,1.0
2000-01-28,3.62,3.725,3.51,3.67,135000,0.0,1.0
2000-01-31,3.8,3.96,3.71,3.765,392000,0.0,1.0
2000-02-01,3.89,3.89,3.755,3.8,210000,0.0,1.0
2000-02-02,3.89,4.04,3.825,3.96,306000,0.0,1.0
2000-02-03,3.96,3.96,3.96,3.96,0,0.0,1.0
2000-02-04,3.995,4.18,3.85,3.995,349000,0.0,1.0
2000-02-07,4.3,4.3,3.9,3.905,273000,0.0,1.0
2000-02-08,3.9,4.1,3.875,3.91,180000,0.0,1.0
2000-02-09,3.95,3.95,3.685,3.705,132000,0.0,1.0
2000-02-10,3.675,3.74,3.61,3.7,63000,0.0,1.0
2000-02-11,3.555,3.7,3.55,3.6,138000,0.0,1.0
2000-02-14,3.55,3.65,3.55,3.65,38000,0.0,1.0
2000-02-15,3.6,3.605,3.5,3.505,60000,0.0,1.0
2000-02-16,3.49,3.5,3.4,3.48,27000,0.0,1.0
2000-02-17,3.38,3.475,3.26,3.46,63000,0.0,1.0
2000-02-18,3.625,3.625,3.3,3.4,55000,0.0,1.0
2000-02-21,3.3,3.6,3.28,3.385,36000,0.0,1.0
2000-02-22,3.265,3.37,3.215,3.3,29000,0.0,1.0
2000-02-23,3.1,3.2,3.1,3.125,30000,0.0,1.0
2000-02-24,3.2,3.29,3.015,3.275,41000,0.0,1.0
2000-02-25,3.105,3.39,3.105,3.22,68000,0.0,1.0
2000-02-28,3.38,3.45,3.265,3.445,26000,0.0,1.0
2000-02-29,3.675,3.715,3.35,3.5,167000,0.0,1.0
2000-03-01,3.49,3.55,3.4,3.545,31000,0.0,1.0
2000-03-02,3.7,3.7,3.275,3.5,79000,0.0,1.0
2000-03-03,3.4,3.75,3.3,3.505,183000,0.0,1.0
2000-03-06,3.7,3.78,3.51,3.77,42000,0.0,1.0
2000-03-07,3.62,3.62,3.47,3.5,56000,0.0,1.0
2000-03-08,3.7,3.77,3.55,3.655,109000,0.0,1.0
2000-03-09,3.61,3.75,3.405,3.47,80000,0.0,1.0
2000-03-10,3.25,3.525,3.25,3.29,158000,0.0,1.0
2000-03-13,3.29,3.29,3.29,3.29,0,0.0,1.0
