date,open,high,low,close,volume,dividend,split
2000-01-03,6.6,6.6,5.5,6.5,900,0.0,1.0
2000-01-04,6.5,6.6,5.1,6.3,1600,0.0,1.0
2000-01-05,6.3,6.35,6.3,6.3,800,0.0,1.0
2000-01-06,5.25,5.5,5.25,5.5,600,0.0,1.0
2000-01-07,5.05,5.95,5,5.5,2800,0.0,1.0
2000-01-10,5,5.25,5,5,500,0.0,1.0
2000-01-11,4.75,4.75,4.75,4.75,100,0.0,1.0
2000-01-12,4.75,5,4.7,5,700,0.0,1.0
2000-01-13,5.25,5.25,4.55,4.75,1900,0.0,1.0
2000-01-14,4.5,5.5,4.5,5.25,700,0.0,1.0
2000-01-17,5,5,5,5,700,0.0,1.0
2000-01-18,4.65,4.8,4.65,4.8,900,0.0,1.0
2000-01-19,5,5.5,5,5.5,1500,0.0,1.0
2000-01-20,5.4,5.45,5.1,5.45,1100,0.0,1.0
2000-01-21,5.45,5.45,5.45,5.45,0,0.0,1.0
2000-01-24,5,5,5,5,200,0.0,1.0
2000-01-25,4.5,4.5,4.5,4.5,300,0.0,1.0
2000-01-26,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-01-27,4.5,4.5,4.5,4.5,200,0.0,1.0
2000-01-28,4.95,4.95,4.3,4.3,400,0.0,1.0
2000-01-31,3.8,3.8,3.8,3.8,400,0.0,1.0
2000-02-01,3.8,4.7,3.8,4.1,600,0.0,1.0
2000-02-02,5,5,4.4,4.5,1500,0.0,1.0
2000-02-03,4.9,5,4.9,5,1500,0.0,1.0
2000-02-04,4.55,5.5,4.5,5.5,1700,0.0,1.0
2000-02-07,4.8,5.6,4.8,4.8,500,0.0,1.0
2000-02-08,5,5,5,5,100,0.0,1.0
2000-02-09,5.5,5.5,4.6,4.6,800,0.0,1.0
2000-02-10,4.5,4.5,4.5,4.5,300,0.0,1.0
2000-02-11,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-02-14,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-02-15,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-02-16,4.05,4.05,4.05,4.05,400,0.0,1.0
2000-02-17,4.05,4.05,4.05,4.05,0,0.0,1.0
2000-02-18,4.5,4.5,4.5,4.5,200,0.0,1.0
2000-02-21,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-02-22,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-02-23,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-02-24,4.1,5,4.1,4.95,1300,0.0,1.0
2000-02-25,5.25,5.25,5.25,5.25,1900,0.0,1.0
2000-02-28,4.5,4.5,4.5,4.5,100,0.0,1.0
2000-02-29,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-03-01,5.5,5.5,5.5,5.5,2100,0.0,1.0
2000-03-02,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-03-03,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-03-06,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-03-07,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-03-08,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-03-09,5.5,5.5,5.5,5.5,0,0.0,1.0
2000-03-10,4.7,5.25,4.7,5.25,700,0.0,1.0
2000-03-13,5.25,5.25,5.25,5.25,0,0.0,1.0
2000-03-14,5.25,5.25,5.25,5.25,0,0.0,1.0
2000-03-15,4.7,4.7,4.7,4.7,100,0.0,1.0
2000-03-16,4.7,4.7,4.7,4.7,0,0.0,1.0
2000-03-17,4.7,4.7,4.7,4.7,0,0.0,1.0
2000-03-20,4.7,4.7,4.7,4.7,0,0.0,1.0
2000-03-21,4.7,4.7,4.7,4.7,0,0.0,1.0
2000-03-22,4.7,4.7,4.7,4.7,0,0.0,1.0
2000-03-23,4.7,4.7,4.7,4.7,0,0.0,1.0
2000-03-24,4.7,4.7,4.7,4.7,0,0.0,1.0
2000-03-27,4.7,4.7,4.7,4.7,0,0.0,1.0
2000-03-28,4.5,4.5,4.5,4.5,100,0.0,1.0
2000-03-29,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-03-30,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-03-31,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-03,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-04,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-05,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-06,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-07,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-10,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-11,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-12,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-13,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-14,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-17,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-18,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-19,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-20,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-21,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-24,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-25,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-26,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-27,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-04-28,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-05-01,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-05-02,4.5,4.5,4.5,4.5,0,0.0,1.0
2000-05-03,3.4,3.4,3.4,3.4,100,0.0,1.0
2000-05-04,2.6,2.6,2.6,2.6,100,0.0,1.0
2000-05-05,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-05-08,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-05-09,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-05-10,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-05-11,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-05-12,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-05-15,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-05-16,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-05-17,2.6,2.6,2.6,2.6,0,0.0,1.0
2000-05-18,2.05,2.05,2.05,2.05,100,0.0,1.0
2000-05-19,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-05-22,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-05-23,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-05-24,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-05-25,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-05-26,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-05-29,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-05-30,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-05-31,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-01,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-02,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-05,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-06,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-07,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-08,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-09,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-12,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-13,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-14,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-15,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-16,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-19,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-20,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-21,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-22,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-23,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-26,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-27,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-28,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-29,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-06-30,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-03,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-04,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-05,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-06,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-07,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-10,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-11,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-12,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-13,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-14,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-17,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-18,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-19,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-20,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-21,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-24,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-25,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-26,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-27,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-28,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-07-31,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-08-01,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-08-02,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-08-03,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-08-04,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-08-07,2.05,2.05,2.05,2.05,0,0.0,1.0
2000-08-08,1.55,1.55,1.55,1.55,200,0.0,1.0
2000-08-09,1.2,1.2,1.2,1.2,400,0.0,1.0
2000-08-10,1.45,1.45,1.45,1.45,100,0.0,1.0
2000-08-11,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-14,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-15,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-16,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-17,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-18,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-21,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-22,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-23,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-24,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-25,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-28,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-29,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-30,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-08-31,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-01,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-04,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-05,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-06,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-07,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-08,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-11,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-12,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-13,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-14,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-15,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-18,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-19,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-20,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-21,1.45,1.45,1.45,1.45,0,0.0,1.0
2000-09-22,1.8,1.8,1.8,1.8,600,0.0,1.0
2000-09-25,1.6,2.2,1.6,2.2,1600,0.0,1.0
2000-09-26,2.2,2.2,2.2,2.2,0,0.0,1.0
2000-09-27,2.35,2.35,2.35,2.35,300,0.0,1.0
2000-09-28,2.35,2.35,2.35,2.35,0,0.0,1.0
2000-09-29,2.4,2.5,2.4,2.5,800,0.0,1.0
2000-10-02,2.5,2.5,2.5,2.5,0,0.0,1.0
2000-10-03,2.5,2.5,2.5,2.5,0,0.0,1.0
2000-10-04,2.5,2.5,2.5,2.5,200,0.0,1.0
2000-10-05,1.95,1.95,1.9,1.9,200,0.0,1.0
2000-10-06,2.35,2.35,2.35,2.35,200,0.0,1.0
2000-10-09,2.35,2.35,2.35,2.35,0,0.0,1.0
2000-10-10,2.7,2.85,2.7,2.85,1000,0.0,1.0
2000-10-11,2.85,2.85,2.85,2.85,0,0.0,1.0
2000-10-12,2.85,2.85,2.85,2.85,0,0.0,1.0
2000-10-13,2.85,2.85,2.85,2.85,0,0.0,1.0
2000-10-16,2.85,2.85,2.85,2.85,0,0.0,1.0
2000-10-17,2.85,2.85,2.85,2.85,0,0.0,1.0
2000-10-18,2.35,2.35,2.35,2.35,100,0.0,1.0
2000-10-19,2.35,2.9,2.35,2.9,1700,0.0,1.0
2000-10-20,2.5,2.5,2.45,2.45,400,0.0,1.0
2000-10-23,2.45,2.45,2.45,2.45,0,0.0,1.0
2000-10-24,2.45,2.45,2.45,2.45,0,0.0,1.0
2000-10-25,2.45,2.45,2.45,2.45,0,0.0,1.0
2000-10-26,2.45,2.45,2.45,2.45,0,0.0,1.0
2000-10-27,2.45,2.45,2.45,2.45,0,0.0,1.0
2000-10-30,2.35,2.35,2.35,2.35,300,0.0,1.0
