date,open,high,low,close,volume,dividend,split
2000-10-12,9.25,9.25,8,8.05,1300,0.0,1.0
2000-10-13,8,8.05,7.1,7.1,2500,0.0,1.0
2000-10-16,7.5,7.9,7.5,7.9,600,0.0,1.0
2000-10-17,7.5,7.5,7.5,7.5,1000,0.0,1.0
2000-10-18,7.5,7.6,7,7,4400,0.0,1.0
2000-10-19,7,7,7,7,0,0.0,1.0
2000-10-20,7,7,7,7,0,0.0,1.0
2000-10-23,8,8,8,8,100,0.0,1.0
2000-10-24,8,8,8,8,0,0.0,1.0
2000-10-25,8,8,8,8,0,0.0,1.0
2000-10-26,8,8,8,8,0,0.0,1.0
2000-10-27,7.5,7.5,7.5,7.5,300,0.0,1.0
2000-10-30,7,7.5,7,7.5,1600,0.0,1.0
2000-10-31,7.5,7.5,7.5,7.5,0,0.0,1.0
2000-11-01,8.3,8.3,7.25,7.5,1200,0.0,1.0
2000-11-02,8.25,8.25,7.25,7.25,600,0.0,1.0
2000-11-03,8.2,8.2,7.5,7.5,300,0.0,1.0
2000-11-06,7.6,9.2,7.6,9.2,200,0.0,1.0
2000-11-07,8.4,9.3,7.55,7.55,2925,0.0,1.0
2000-11-08,8.9,8.9,8.5,8.5,200,0.0,1.0
2000-11-09,8.5,8.5,7.2,7.25,9700,0.0,1.0
2000-11-10,8,8,7.5,7.5,1400,0.0,1.0
2000-11-13,8,8.75,7.05,7.05,1700,0.0,1.0
2000-11-14,7.95,8,7.2,7.5,900,0.0,1.0
2000-11-15,7.75,9,7.25,7.25,2500,0.0,1.0
2000-11-16,8.45,8.5,7.1,7.75,1900,0.0,1.0
2000-11-17,8,8,7.25,7.25,2000,0.0,1.0
2000-11-20,7.25,8.9,7.25,7.9,2700,0.0,1.0
2000-11-21,9,9,7.3,7.9,900,0.0,1.0
2000-11-22,8,8,7.2,7.45,1100,0.0,1.0
2000-11-23,8.45,8.45,7.05,7.45,4100,0.0,1.0
2000-11-24,8.45,8.45,7.1,7.25,1900,0.0,1.0
2000-11-27,8,8,7.2,7.2,600,0.0,1.0
2000-11-28,8.95,8.95,7.25,7.6,2200,0.0,1.0
2000-11-29,8.1,8.1,7.3,7.3,200,0.0,1.0
2000-11-30,8.1,8.1,7.2,7.2,400,0.0,1.0
2000-12-01,7.75,7.75,7.05,7.25,4600,0.0,1.0
2000-12-04,7.9,7.9,7.9,7.9,100,0.0,1.0
2000-12-05,8,8,7,7,3700,0.0,1.0
2000-12-06,7.9,7.9,7.05,7.5,1550,0.0,1.0
2000-12-07,7.5,7.6,7,7.05,2300,0.0,1.0
