date,open,high,low,close,volume,dividend,split
2004-12-17,3.575,26.5,3.575,14.2833,87786,0.0,1.0
2004-12-20,14.5583,15,13.6667,13.7417,39000,0.0,1.0
2004-12-21,13.75,14.4833,13.6667,14.15,12600,0.0,1.0
2004-12-22,14.1917,14.1917,13.3583,13.85,5100,0.0,1.0
2004-12-23,15,15,13.1667,13.5833,5118,0.0,1.0
2004-12-24,13.05,13.8833,13.05,13.6917,10200,0.0,1.0
2004-12-27,13.6667,13.6917,13.5,13.6667,10800,0.0,1.0
2004-12-28,13.3333,13.6667,11.9917,12,22200,0.0,1.0
2004-12-29,12.3417,13.15,12.25,12.5,6600,0.0,1.0
2004-12-30,12.5,12.9917,12.1667,12.2083,7200,0.0,1.0
2004-12-31,12.5,13.2417,12.3667,12.475,7800,0.0,1.0
2005-01-03,13.325,14.9667,13.325,14.8333,41400,0.0,1.0
2005-01-04,15.5833,16.616699,15.1667,15.8583,15000,0.0,1.0
2005-01-05,14.675,16.4167,13.75,13.8167,4488,0.0,1.0
2005-01-06,14.1667,16.575001,14.1667,16.575001,37200,0.0,1.0
2005-01-07,19.0667,19.483299,16.9333,17.5,114600,0.0,1.0
2005-01-10,18,18.4583,16.4167,16.6667,16800,0.0,1.0
2005-01-11,16.6667,16.6667,15.85,16.008301,10800,0.0,1.0
2005-01-12,15.8833,15.8833,14.4083,14.4167,116400,0.0,1.0
2005-01-13,15,15,14.9833,15,3288,0.0,1.0
2005-01-14,14.5167,14.5333,13.5083,13.5083,12600,0.0,1.0
2005-01-17,13.5833,13.5833,12.1667,13.3333,77400,0.0,1.0
2005-01-18,12.875,13.325,12.75,13.275,8334,0.0,1.0
2005-01-19,12.75,12.7833,12,12.0083,9600,0.0,1.0
2005-01-20,12.3333,12.3333,11.2083,11.425,19800,0.0,1.0
2005-01-24,12.4833,12.4917,11.5,11.775,5304,0.0,1.0
2005-01-25,12.25,12.65,11.8333,12.125,25800,0.0,1.0
2005-01-27,12.1667,12.4167,11.6667,11.7583,27600,0.0,1.0
2005-01-28,11.3333,12.5,11.3333,12,34200,0.0,1.0
2005-01-31,12.25,12.3333,11.8333,12.15,48000,0.0,1.0
2005-02-01,12,12.1667,11.6667,11.7833,30000,0.0,1.0
2005-02-02,12.2917,12.2917,11.6667,11.8417,8400,0.0,1.0
