date,open,high,low,close,volume,dividend,split
2005-03-14,1211,1339,1172,1305,6813198,0.0,1.0
2005-03-15,1309,1313,1278.400024,1292.800049,1761249,0.0,1.0
2005-03-16,1295,1302,1278.300049,1285.900024,599453,0.0,1.0
2005-03-17,1280,1282,1243,1248.650024,359005,0.0,1.0
2005-03-18,1248,1250,1218.199951,1228.900024,344945,0.0,1.0
2005-03-21,1225,1263.900024,1210.599976,1220.699951,579892,0.0,1.0
2005-03-22,1224,1232,1185.050049,1194.050049,407219,0.0,1.0
2005-03-23,1200,1221,1176,1193.199951,425165,0.0,1.0
2005-03-24,1195,1215,1193,1208.650024,207088,0.0,1.0
2005-03-28,1210,1224.449951,1203,1209.300049,167554,0.0,1.0
2005-03-29,1208,1209.949951,1168.349976,1184.849976,196307,0.0,1.0
2005-03-30,1188,1232,1174,1210.050049,173866,0.0,1.0
2005-03-31,1218,1235.25,1201,1212.599976,106007,0.0,1.0
2005-04-01,1215,1275,1203,1263.849976,189927,0.0,1.0
2005-04-04,1259,1289,1242,1259.5,319899,0.0,1.0
2005-04-05,1259.5,1259.5,1218.050049,1227,91633,0.0,1.0
2005-04-06,1230,1241.800049,1223.25,1229.050049,49722,0.0,1.0
2005-04-07,1235,1258,1231,1253.699951,147499,0.0,1.0
2005-04-08,1256,1260,1238.25,1256.25,87584,0.0,1.0
2005-04-11,1257,1265,1242,1254.449951,98044,0.0,1.0
2005-04-12,1254,1272,1245.349976,1263.400024,131506,0.0,1.0
2005-04-13,1269.699951,1279,1255,1269.349976,71454,0.0,1.0
2005-04-15,1270,1275,1238,1241.800049,63768,0.0,1.0
2005-04-18,1225,1258,1213,1253.650024,58629,0.0,1.0
2005-04-19,1256,1268,1250,1259.800049,56344,0.0,1.0
2005-04-20,1259,1264,1237.25,1259.800049,54099,0.0,1.0
2005-04-21,1260,1290.099976,1159.699951,1286.400024,87370,0.0,1.0
2005-04-22,1201,1330,1197,1316.900024,178739,0.0,1.0
2005-04-25,1310,1344,1300,1336.75,124843,0.0,1.0
2005-04-26,1340,1379,1330,1373.349976,196476,0.0,1.0
2005-04-27,1375,1375,1315.150024,1321.900024,140140,0.0,1.0
2005-04-28,1301.25,1334,1295.099976,1305.5,63094,0.0,1.0
2005-04-29,1310,1329.650024,1307,1321.099976,56922,0.0,1.0
2005-05-02,1334.5,1339,1322.050049,1333.449951,37861,0.0,1.0
2005-05-03,1330,1344,1326,1340.25,37456,0.0,1.0
2005-05-04,1348,1348,1325,1331.599976,19515,0.0,1.0
2005-05-05,1334,1345,1291,1298.849976,43512,0.0,1.0
2005-05-06,1277.099976,1354.400024,1277.099976,1340.699951,63529,0.0,1.0
2005-05-09,1335,1342,1310,1322.449951,69234,0.0,1.0
2005-05-10,1330,1335.900024,1305,1309.550049,249225,0.0,1.0
2005-05-11,1305,1312,1287,1293.75,32541,0.0,1.0
2005-05-12,1300,1310.699951,1290,1293.400024,33000,0.0,1.0
2005-05-13,1313.099976,1313.099976,1291.099976,1296.400024,45003,0.0,1.0
2005-05-16,1300,1304.400024,1277,1289.699951,70951,0.0,1.0
2005-05-17,1298.650024,1318.5,1282,1289.949951,210348,0.0,1.0
2005-05-18,1302,1310,1260,1276.300049,77425,0.0,1.0
2005-05-19,1290,1300,1272,1285.150024,36330,0.0,1.0
2005-05-20,1289,1313,1279,1304.599976,38667,0.0,1.0
2005-05-23,1322,1333,1311,1317.900024,27461,0.0,1.0
2005-05-24,1320,1336.949951,1307,1330.050049,44356,0.0,1.0
2005-05-25,1314,1332.900024,1314,1320.699951,26212,0.0,1.0
2005-05-26,1308,1327.900024,1301,1310.5,18862,0.0,1.0
2005-05-27,1300,1313.5,1295.050049,1303.199951,13642,0.0,1.0
2005-05-30,1309.949951,1314,1300,1303.699951,16807,0.0,1.0
2005-05-31,1297,1350,1297,1340.150024,100478,0.0,1.0
2005-06-01,1340,1361,1330,1343.949951,66700,0.0,1.0
2005-06-02,1352,1356.900024,1315.650024,1324.300049,54084,0.0,1.0
2005-06-03,1330,1332,1308.199951,1325.699951,65778,0.0,1.0
2005-06-06,1295,1339,1295,1330.550049,93767,0.0,1.0
2005-06-07,1318,1335,1316,1323.849976,20711,0.0,1.0
2005-06-08,1325,1332,1321,1326.650024,15275,0.0,1.0
2005-06-09,1315,1325,1295,1299.300049,17488,0.0,1.0
2005-06-10,1328.5,1329,1281,1300.050049,79784,0.0,1.0
2005-06-13,1282,1300,1281.050049,1291.75,11380,0.0,1.0
2005-06-14,1291,1314.900024,1291,1298.400024,48891,0.0,1.0
2005-06-15,1305,1305,1290,1295.199951,26129,0.0,1.0
2005-06-16,1300,1310,1285,1301,60199,0.0,1.0
2005-06-17,1300,1300,1252.25,1268.050049,62528,0.0,1.0
