date,open,high,low,close,volume,dividend,split
2006-10-23,58,58,50.650002,52.299999,824245,0.0,1.0
2006-10-26,53,53.900002,50.400002,51.099998,244276,0.0,1.0
2006-10-27,51.700001,51.799999,47.5,47.799999,135003,0.0,1.0
2006-10-30,48,48,44.150002,44.5,170700,0.0,1.0
2006-10-31,45.5,45.5,41.25,41.700001,131600,0.0,1.0
2006-11-01,42.200001,44.5,40.400002,42.099998,320700,0.0,1.0
2006-11-02,42.650002,42.900002,40.900002,41.299999,88204,0.0,1.0
2006-11-03,42,45.400002,42,43.150002,293300,0.0,1.0
2006-11-06,43,43.5,42.049999,42.349998,45989,0.0,1.0
2006-11-07,42.900002,43,41.099998,41.25,63400,0.0,1.0
2006-11-08,41.900002,42.299999,40.299999,40.599998,48700,0.0,1.0
2006-11-09,41,42,38.099998,38.549999,93900,0.0,1.0
2006-11-10,39.400002,40.900002,37.700001,38.099998,57500,0.0,1.0
2006-11-13,38.200001,38.849998,37.849998,38.25,28600,0.0,1.0
2006-11-14,38.849998,38.849998,37.400002,37.75,31400,0.0,1.0
2006-11-15,38.450001,38.700001,37.5,37.849998,24600,0.0,1.0
2006-11-16,38.400002,38.950001,37.049999,37.450001,39700,0.0,1.0
2006-11-17,37.950001,37.950001,35.799999,36,28100,0.0,1.0
2006-11-20,35.75,35.799999,33.549999,34.049999,77129,0.0,1.0
2006-11-21,34.950001,40.849998,34.950001,35.849998,126400,0.0,1.0
2006-11-22,37.950001,37.950001,35.400002,35.799999,41900,0.0,1.0
2006-11-23,36.700001,36.700001,34.200001,34.400002,40600,0.0,1.0
2006-11-24,34.75,39.75,34.599998,37.799999,575300,0.0,1.0
2006-11-27,38.049999,38.599998,35,35.349998,87900,0.0,1.0
2006-11-28,35,35.25,34,34.150002,45900,0.0,1.0
2006-11-29,35.200001,37.400002,34.650002,35.349998,266700,0.0,1.0
2006-11-30,36,36,33.650002,33.900002,85800,0.0,1.0
2006-12-01,34.75,34.75,33.549999,33.799999,39200,0.0,1.0
2006-12-04,33.799999,35,33.549999,33.75,29800,0.0,1.0
2006-12-05,33.900002,34.400002,33.700001,33.849998,28500,0.0,1.0
2006-12-06,34,34,33.150002,33.450001,42900,0.0,1.0
2006-12-07,33.450001,34,32.400002,32.75,55000,0.0,1.0
2006-12-08,33.25,33.299999,32.049999,32.25,67700,0.0,1.0
2006-12-11,32.200001,33.349998,30.9,31.5,35089,0.0,1.0
2006-12-12,31,31.75,28.549999,28.950001,37600,0.0,1.0
2006-12-13,29,29.75,28.25,28.9,40000,0.0,1.0
2006-12-14,30,31,29.200001,29.35,40857,0.0,1.0
2006-12-15,30.200001,32.75,29.6,31.700001,204600,0.0,1.0
2006-12-18,33.299999,33.5,31.700001,32.849998,93900,0.0,1.0
2006-12-19,33.5,34.200001,31.85,32.099998,86200,0.0,1.0
2006-12-20,32.599998,32.849998,30.85,31.299999,42433,0.0,1.0
2006-12-21,31.25,32,30.75,31.200001,41100,0.0,1.0
2006-12-22,31.1,31.5,29.5,29.85,49600,0.0,1.0
2006-12-26,30.950001,31.75,30.5,30.950001,67400,0.0,1.0
2006-12-27,32,35.400002,31.4,33.150002,370900,0.0,1.0
2006-12-28,33.5,34,32,32.25,74100,0.0,1.0
2006-12-29,32.5,33,31.25,31.450001,53000,0.0,1.0
