date,open,high,low,close,volume,dividend,split
2008-02-12,50,58.474998,42.099998,51.349998,41111640,0.0,1.0
2008-02-13,51.75,56.349998,49.299999,51.150002,11085110,0.0,1.0
2008-02-14,52.099998,54.400002,51.025002,52.349998,3648652,0.0,1.0
2008-02-15,51.5,51.5,49.075001,50.200001,2329098,0.0,1.0
2008-02-18,50.25,59.849998,49.525002,59.150002,12029172,0.0,1.0
2008-02-19,59.549999,62.724998,55.025002,55.799999,7176918,0.0,1.0
2008-02-20,55,56.849998,53.5,54.275002,2539538,0.0,1.0
2008-02-21,55.424999,57.450001,54.049999,54.875,1374804,0.0,1.0
2008-02-22,53.150002,54.900002,51.549999,52.75,658662,0.0,1.0
2008-02-25,54,54,49.549999,49.950001,946532,0.0,1.0
2008-02-26,51.224998,55.200001,50.349998,52.299999,2701304,0.0,1.0
2008-02-27,53.75,56.400002,52.450001,53.049999,3161086,0.0,1.0
2008-02-28,52.5,55.450001,52.5,53.349998,1236690,0.0,1.0
2008-02-29,53,54.150002,50.575001,51.200001,641876,0.0,1.0
2008-03-03,50.299999,51.275002,48,48.375,611326,0.0,1.0
2008-03-04,48.5,49.200001,45.049999,46.400002,576864,0.0,1.0
2008-03-05,45.049999,46.75,43,44.549999,346342,0.0,1.0
2008-03-07,42.599998,42.599998,39.299999,41.424999,405988,0.0,1.0
2008-03-10,40.049999,43.900002,37,43.049999,477750,0.0,1.0
2008-03-11,41.625,47.099998,41.424999,45.875,636040,0.0,1.0
2008-03-12,47.5,49.25,43.599998,44.400002,446170,0.0,1.0
2008-03-13,42.75,43.5,40.25,40.75,222358,0.0,1.0
2008-03-14,41,42.200001,37.5,40.549999,339278,0.0,1.0
2008-03-17,37.75,39.900002,36.525002,37.075001,266750,0.0,1.0
2008-03-18,37.400002,38.5,35.775002,36.400002,176256,0.0,1.0
2008-03-19,38,39.950001,36.049999,37.599998,345184,0.0,1.0
2008-03-24,37.849998,38.849998,35.5,35.950001,100402,0.0,1.0
2008-03-25,36.5,39.099998,36.275002,37.724998,157266,0.0,1.0
2008-03-26,37.549999,40.5,37,38.650002,170918,0.0,1.0
2008-03-27,37.5,40.724998,37.5,39.075001,182308,0.0,1.0
2008-03-28,39.25,41.700001,38.849998,40.924999,249774,0.0,1.0
2008-03-31,40.924999,44.125,39.599998,40.875,740992,0.0,1.0
2008-04-01,41.950001,42.349998,40.25,41.450001,135610,0.0,1.0
2008-04-02,43,43.450001,40.25,40.650002,102172,0.0,1.0
2008-04-03,41.5,41.5,39.275002,39.775002,87604,0.0,1.0
2008-04-04,40.25,45.5,39.400002,43.349998,1149566,0.0,1.0
2008-04-07,44.400002,46.700001,43.150002,44.125,616318,0.0,1.0
2008-04-08,44.049999,47.900002,43.049999,45.825001,792264,0.0,1.0
2008-04-09,45.25,48.674999,44.825001,47.025002,1104568,0.0,1.0
2008-04-10,47.150002,48.549999,46.150002,46.525002,423666,0.0,1.0
2008-04-11,47.400002,47.450001,45.5,45.724998,278146,0.0,1.0
2008-04-15,45.5,47.950001,45,45.974998,538194,0.0,1.0
2008-04-16,46.75,47.224998,44.275002,44.75,226368,0.0,1.0
2008-04-17,45.299999,47.650002,45.25,46.125,637294,0.0,1.0
2008-04-21,46.849998,51.5,46,50.224998,1488378,0.0,1.0
2008-04-22,50,51.275002,48.849998,49.075001,407206,0.0,1.0
2008-04-23,48.299999,52.650002,48.075001,51.349998,1461746,0.0,1.0
2008-04-24,52.224998,54.200001,51.400002,52.099998,892304,0.0,1.0
2008-04-25,52.25,52.825001,50.549999,50.825001,175784,0.0,1.0
2008-04-28,51.474998,55.424999,51.474998,52.474998,1295566,0.0,1.0
2008-04-29,53.200001,53.75,52.125,52.849998,324772,0.0,1.0
2008-04-30,53,54.875,52.5,53,682634,0.0,1.0
2008-05-02,53.950001,54.75,52.575001,52.900002,450432,0.0,1.0
2008-05-05,53.400002,55.950001,53.075001,53.625,669098,0.0,1.0
2008-05-06,53.625,54.125,51,51.974998,222214,0.0,1.0
2008-05-07,52.5,53.5,51,52.849998,168766,0.0,1.0
2008-05-08,52,56.724998,52,56,1163768,0.0,1.0
2008-05-09,56.25,57.174999,51.700001,52.325001,530472,0.0,1.0
2008-05-12,52.474998,52.5,49.5,51.125,310352,0.0,1.0
2008-05-13,51.5,54.400002,51,51.174999,523366,0.0,1.0
2008-05-14,51,52.849998,50.625,52.474998,118072,0.0,1.0
2008-05-15,53,53.700001,52.5,53.224998,93354,0.0,1.0
2008-05-16,53.5,56.900002,53.5,56.275002,837204,0.0,1.0
2008-05-20,56.5,61.125,55,59.724998,2156166,0.0,1.0
2008-05-21,59.25,63.849998,58.575001,62.325001,2346920,0.0,1.0
2008-05-22,61.5,65.724998,60.275002,60.875,1456860,0.0,1.0
2008-05-23,61.674999,62.900002,56.424999,56.799999,662042,0.0,1.0
2008-05-26,56.5,56.5,53.599998,53.974998,422282,0.0,1.0
2008-05-27,54.5,55.474998,52.700001,53.375,162946,0.0,1.0
2008-05-28,53.875,53.875,52.099998,53.224998,146768,0.0,1.0
2008-05-29,54,54.349998,51.5,51.549999,113822,0.0,1.0
2008-05-30,52.950001,53,49.325001,50.974998,151442,0.0,1.0
2008-06-02,51.599998,54.849998,51.099998,53.25,279128,0.0,1.0
2008-06-03,50,53.5,50,52.875,110148,0.0,1.0
2008-06-04,52.25,54,50,50.5,90846,0.0,1.0
2008-06-05,50.5,51.5,49,49.75,93250,0.0,1.0
2008-06-06,50.75,51.974998,48.799999,49.5,64448,0.0,1.0
2008-06-09,46.025002,48.75,44.275002,45.325001,95498,0.0,1.0
2008-06-10,45.650002,47.200001,45,45.549999,62350,0.0,1.0
2008-06-11,46,47.75,43.75,44.5,210726,0.0,1.0
2008-06-12,43.849998,45.875,43.174999,45.275002,72472,0.0,1.0
2008-06-13,45.5,47.125,44.825001,45.174999,82038,0.0,1.0
2008-06-16,46.200001,46.474998,45.5,46.049999,41886,0.0,1.0
2008-06-17,44.5,47.25,44.5,46.200001,62856,0.0,1.0
2008-06-18,46.650002,49,46.450001,47.775002,139866,0.0,1.0
2008-06-19,47.474998,47.900002,45.650002,46.075001,27136,0.0,1.0
2008-06-20,46.525002,47,43,43.375,66870,0.0,1.0
2008-06-23,42.974998,43.375,39.950001,42.5,75356,0.0,1.0
2008-06-24,42.5,44.525002,42.5,43.424999,75110,0.0,1.0
2008-06-25,42,45,42,44.150002,52244,0.0,1.0
2008-06-26,44.700001,45.5,43.349998,44.174999,22410,0.0,1.0
2008-06-27,43.5,43.75,41.625,42.849998,34936,0.0,1.0
2008-06-30,42.849998,42.849998,40.25,42.200001,44962,0.0,1.0
2008-07-01,41.075001,42.75,39.5,41,33824,0.0,1.0
2008-07-02,40.25,41.25,37.400002,39.849998,69654,0.0,1.0
2008-07-03,40,40,36,36.299999,35260,0.0,1.0
