date,open,high,low,close,volume,dividend,split
2002-01-01,0.34,0.34,0.34,0.34,5000,0.0,1.0
2002-01-09,0.34,0.34,0.34,0.34,125000,0.0,1.0
2002-01-10,0.32,0.32,0.32,0.32,65000,0.0,1.0
2002-01-11,0.264,0.3,0.264,0.3,15000,0.0,1.0
2002-01-23,0.25,0.25,0.25,0.25,15000,0.0,1.0
2002-01-28,0.208,0.208,0.208,0.208,10000,0.0,1.0
2002-01-30,0.248,0.248,0.248,0.248,2500,0.0,1.0
2002-01-31,0.296,0.296,0.296,0.296,12500,0.0,1.0
2002-02-05,0.28,0.308,0.242,0.308,971250,0.0,1.0
2002-02-06,0.32,0.32,0.32,0.32,2500,0.0,1.0
2002-02-07,0.33,0.33,0.33,0.33,7500,0.0,1.0
2002-02-08,0.394,0.394,0.394,0.394,2500,0.0,1.0
2002-02-12,0.32,0.32,0.32,0.32,15000,0.0,1.0
2002-02-13,0.262,0.32,0.262,0.32,5025,0.0,1.0
2002-02-14,0.28,0.318,0.28,0.28,22550,0.0,1.0
2002-02-15,0.232,0.232,0.232,0.232,2500,0.0,1.0
2002-02-18,0.278,0.278,0.278,0.278,2475,0.0,1.0
2002-03-05,0.28,0.28,0.26,0.26,20025,0.0,1.0
2002-03-06,0.25,0.26,0.25,0.26,7500,0.0,1.0
2002-03-07,0.28,0.28,0.28,0.28,2500,0.0,1.0
2002-03-12,0.3,0.3,0.3,0.3,10000,0.0,1.0
2002-03-14,0.25,0.25,0.25,0.25,2000,0.0,1.0
2002-03-19,0.26,0.28,0.26,0.28,6597500,0.0,1.0
2002-03-20,0.28,0.28,0.28,0.28,10000,0.0,1.0
2002-03-26,0.28,0.32,0.28,0.298,60000,0.0,1.0
2002-03-27,0.252,0.356,0.252,0.356,102500,0.0,1.0
2002-04-01,0.4,0.42,0.352,0.356,77500,0.0,1.0
2002-04-02,0.38,0.4,0.38,0.4,25000,0.0,1.0
2002-04-04,0.328,0.328,0.326,0.326,7500,0.0,1.0
2002-04-05,0.32,0.32,0.288,0.288,10000,0.0,1.0
2002-04-08,0.28,0.28,0.28,0.28,7500,0.0,1.0
2002-04-10,0.234,0.25,0.234,0.25,375,0.0,1.0
2002-04-16,0.242,0.242,0.242,0.242,2500,0.0,1.0
2002-04-18,0.26,0.26,0.252,0.26,7500,0.0,1.0
2002-04-24,0.28,0.28,0.28,0.28,22500,0.0,1.0
2002-05-06,0.262,0.268,0.262,0.268,10000,0.0,1.0
2002-05-08,0.218,0.266,0.216,0.264,12500,0.0,1.0
2002-05-10,0.316,0.316,0.316,0.316,12500,0.0,1.0
2002-05-14,0.3,0.3,0.3,0.3,2500,0.0,1.0
2002-06-07,0.28,0.28,0.28,0.28,37500,0.0,1.0
2002-06-10,0.32,0.32,0.32,0.32,16250,0.0,1.0
2002-06-12,0.266,0.37,0.264,0.37,31250,0.0,1.0
2002-06-13,0.322,0.322,0.32,0.32,20000,0.0,1.0
2002-06-14,0.28,0.28,0.28,0.28,2500,0.0,1.0
2002-06-17,0.284,0.336,0.284,0.336,12625,0.0,1.0
2002-06-18,0.282,0.4,0.282,0.36,57725,0.0,1.0
2002-06-19,0.34,0.34,0.34,0.34,5000,0.0,1.0
2002-06-20,0.36,0.398,0.36,0.39,17500,0.0,1.0
