date,open,high,low,close,volume,dividend,split
2010-01-04,102,106.400002,99.900002,100.75,35110000,0.0,1.0
2010-01-05,101.5,117.400002,100,112.75,32356100,0.0,1.0
2010-01-06,113.800003,118,111.25,112.900002,10518100,0.0,1.0
2010-01-07,113.5,114.900002,111.199997,112.849998,5210300,0.0,1.0
2010-01-08,113.5,115.5,112.449997,112.75,2629500,0.0,1.0
2010-01-11,114,121.099998,113.5,120,8912800,0.0,1.0
2010-01-12,120.949997,123.900002,118.5,119.5,7901500,0.0,1.0
2010-01-13,120,120,116.400002,117.599998,3062400,0.0,1.0
2010-01-14,118.599998,121.900002,118,119.300003,3716400,0.0,1.0
2010-01-15,119.949997,120.900002,116.800003,117.099998,1933900,0.0,1.0
2010-01-18,117.5,117.949997,114.400002,115.400002,1064100,0.0,1.0
2010-01-19,116,116.849998,113,113.449997,1392400,0.0,1.0
2010-01-20,115,118.849998,113.949997,115.650002,3078600,0.0,1.0
2010-01-21,116.5,116.900002,111.300003,112.949997,2171300,0.0,1.0
2010-01-22,112.150002,113.5,108.699997,111.5,2172600,0.0,1.0
2010-01-25,110.900002,112.800003,108.5,110.050003,1088700,0.0,1.0
2010-01-27,111.099998,111.099998,106.300003,107.699997,1692600,0.0,1.0
2010-01-28,108.849998,110,106,106.300003,1017300,0.0,1.0
2010-01-29,107,107,102,106.650002,1191400,0.0,1.0
2010-02-01,106,109.199997,105.75,107.800003,696100,0.0,1.0
2010-02-02,108.550003,111.599998,105,105.349998,1998100,0.0,1.0
2010-02-03,109.949997,113.199997,106.099998,109.699997,1452400,0.0,1.0
2010-02-04,111.449997,111.449997,105.75,106.150002,1249800,0.0,1.0
2010-02-05,104.949997,104.949997,102,103.300003,964256,0.0,1.0
2010-02-08,109,111.949997,106.900002,108,3947902,0.0,1.0
2010-02-09,108,112.75,107.75,110.900002,3133332,0.0,1.0
2010-02-10,112,112.300003,108.699997,109.5,3435366,0.0,1.0
2010-02-11,110,110.849998,108.400002,108.900002,593968,0.0,1.0
2010-02-15,108.099998,109.949997,106.099998,106.599998,690750,0.0,1.0
2010-02-16,107,109.75,106.699997,109.25,517341,0.0,1.0
2010-02-17,110.5,110.75,108.25,108.650002,3203917,0.0,1.0
2010-02-18,109.300003,111.949997,107.900002,109.050003,1062130,0.0,1.0
2010-02-19,108.150002,108.800003,105.900002,107.199997,749014,0.0,1.0
2010-02-22,108.099998,109.349998,104.699997,105.199997,439714,0.0,1.0
2010-02-23,105.400002,106.900002,104.699997,105,368430,0.0,1.0
2010-02-24,104.900002,105.900002,103.5,104.150002,325076,0.0,1.0
2010-02-25,104.949997,105.050003,104,104.150002,248213,0.0,1.0
2010-02-26,104.650002,105.900002,103,103.5,780264,0.0,1.0
2010-03-02,104.5,105.800003,104.050003,104.5,384486,0.0,1.0
2010-03-03,105.199997,108.25,105.099998,106,869890,0.0,1.0
2010-03-04,106,106.849998,105,105.349998,345686,0.0,1.0
2010-03-05,106.900002,110.400002,105.849998,109.5,2054448,0.0,1.0
2010-03-08,111,112.849998,109.800003,110.800003,2098509,0.0,1.0
2010-03-09,111,111.5,107.349998,107.650002,529119,0.0,1.0
2010-03-10,108,108.900002,106.25,106.650002,335456,0.0,1.0
2010-03-11,107,108.5,104.849998,105.900002,900751,0.0,1.0
