date,open,high,low,close,volume,dividend,split
2002-07-01,5.3375,5.35,5.0375,5.075,12500,0.0,1.0
2002-07-02,5.0125,5.22,5.0125,5.1,10800,0.0,1.0
2002-07-03,5.025,5.3125,5.025,5.25,25560,0.0,1.0
2002-07-04,5.25,5.375,5.245,5.245,21088,0.0,1.0
2002-07-05,5.0625,5.3575,5.0625,5.2825,13600,0.0,1.0
2002-07-08,5.5575,5.8075,5.5,5.8075,12608,0.0,1.0
2002-07-09,5.9375,5.9375,5.445,5.45,11736,0.0,1.0
2002-07-10,5.45,5.45,5.2125,5.32,6372,0.0,1.0
2002-07-11,5.375,5.375,5.125,5.1375,6800,0.0,1.0
2002-07-15,5.0325,5.0325,4.9375,4.9375,1800,0.0,1.0
2002-07-16,4.9375,5,4.9075,4.95,4480,0.0,1.0
2002-07-17,5,5,4.795,4.8125,1600,0.0,1.0
2002-07-18,4.9875,5.295,4.75,5.295,5400,0.0,1.0
2002-07-19,5.375,5.47,5.15,5.15,7420,0.0,1.0
2002-07-22,5,5,5,5,560,0.0,1.0
2002-07-23,4.7875,4.7875,4.775,4.775,2000,0.0,1.0
2002-07-25,4.625,4.625,4.3875,4.3875,400,0.0,1.0
2002-07-29,4.4375,4.4375,4.2575,4.2575,300,0.0,1.0
2002-07-30,4.4825,4.4825,4.125,4.125,3808,0.0,1.0
2002-07-31,4.245,4.245,4.245,4.245,20,0.0,1.0
2002-08-01,4.2325,4.2325,4,4.0075,4400,0.0,1.0
2002-08-02,3.9375,4.0625,3.9375,4.0625,800,0.0,1.0
2002-08-05,4.125,4.25,4.125,4.1875,1000,0.0,1.0
2002-08-08,4.125,4.225,4.125,4.225,1000,0.0,1.0
2002-08-09,4.3125,4.3375,4.0625,4.3375,80,0.0,1.0
2002-08-14,4.0075,4.0075,4,4,1200,0.0,1.0
2002-08-20,4.1875,4.1875,4.1875,4.1875,400,0.0,1.0
2002-08-21,4.0625,4.0625,4.0625,4.0625,560,0.0,1.0
2002-08-22,4.0625,4.0625,4.0625,4.0625,3200,0.0,1.0
2002-08-23,3.9375,4.1575,3.9375,4.0625,16160,0.0,1.0
2002-08-26,4.345,4.375,4.1875,4.1875,15040,0.0,1.0
2002-08-27,4.07,4.07,4.07,4.07,400,0.0,1.0
2002-08-28,4.0325,4.1875,4.0325,4.1875,1316,0.0,1.0
2002-08-29,4.125,4.125,4.1075,4.1075,4000,0.0,1.0
2002-08-30,4.125,4.1875,4.12,4.1875,1884,0.0,1.0
2002-09-02,3.9875,4.0125,3.9875,4.0125,1600,0.0,1.0
2002-09-03,3.82,3.82,3.8125,3.8125,400,0.0,1.0
2002-09-04,4,4,4,4,1600,0.0,1.0
2002-09-06,3.875,3.875,3.875,3.875,200,0.0,1.0
2002-09-12,3.875,4.0375,3.875,4.0375,800,0.0,1.0
2002-09-13,3.8825,3.8825,3.8825,3.8825,400,0.0,1.0
2002-09-16,4.125,4.1625,4,4,4384,0.0,1.0
2002-09-17,4.1825,4.1825,4.1825,4.1825,400,0.0,1.0
2002-09-18,4.0375,4.1875,4,4.1875,3600,0.0,1.0
2002-09-19,3.9575,3.9575,3.925,3.925,3200,0.0,1.0
2002-09-20,3.975,4.245,3.975,4.245,5776,0.0,1.0
2002-09-24,4,4,4,4,4400,0.0,1.0
2002-09-27,4.17,4.17,4.02,4.02,400,0.0,1.0
2002-09-30,4.025,4.025,4.02,4.02,400,0.0,1.0
2002-10-03,4,4,4,4,400,0.0,1.0
2002-10-04,4.0125,4.0125,4.0075,4.0075,1040,0.0,1.0
2002-10-08,4.1875,4.1875,4.1875,4.1875,1440,0.0,1.0
2002-10-09,4.125,4.125,4.125,4.125,200,0.0,1.0
2002-10-14,4.195,4.3,4.125,4.3,1328,0.0,1.0
2002-10-18,4.4575,4.4625,4.45,4.4575,120,0.0,1.0
2002-10-21,4.0125,4.22,4.0125,4.0125,7728,0.0,1.0
2002-10-22,4.125,4.125,3.7875,3.9375,7104,0.0,1.0
2002-10-23,4.025,4.025,3.9075,3.9075,404,0.0,1.0
2002-10-24,3.9075,3.9075,3.9075,3.9075,3200,0.0,1.0
2002-10-25,4.2325,4.2325,4,4.02,6800,0.0,1.0
2002-10-28,3.75,3.825,3.75,3.825,1200,0.0,1.0
2002-10-29,3.9375,4,3.9375,3.9575,2404,0.0,1.0
2002-10-31,4,4,4,4,1400,0.0,1.0
2002-11-01,3.7875,3.9375,3.7875,3.825,3400,0.0,1.0
2002-11-04,3.75,3.75,3.75,3.75,400,0.0,1.0
2002-11-07,3.645,4.0625,3.645,4.05,4608,0.0,1.0
2002-11-11,3.845,3.845,3.845,3.845,160,0.0,1.0
2002-11-12,3.9375,3.9375,3.67,3.8125,412,0.0,1.0
2002-11-13,4,4,4,4,1600,0.0,1.0
2002-11-14,3.9075,4.0625,3.9075,4.0625,800,0.0,1.0
2002-11-15,3.995,4.0625,3.875,3.875,2400,0.0,1.0
2002-11-20,3.75,4.0575,3.75,4,4200,0.0,1.0
2002-11-21,3.92,3.95,3.92,3.95,2800,0.0,1.0
2002-11-22,3.95,3.95,3.95,3.95,2400,0.0,1.0
2002-11-25,4.3,4.3,3.97,4,8916,0.0,1.0
2002-11-26,4.1,4.1,4.0375,4.0375,1620,0.0,1.0
2002-11-27,4.02,4.02,4.0125,4.0125,300,0.0,1.0
2002-11-28,3.97,4.2125,3.97,4.2125,4600,0.0,1.0
2002-12-02,4.4875,4.4875,4.4875,4.4875,200,0.0,1.0
2002-12-03,4.4875,4.4875,4.045,4.17,4400,0.0,1.0
2002-12-04,4.1875,4.1875,4.175,4.175,400,0.0,1.0
2002-12-05,4.02,4.02,4,4,1800,0.0,1.0
2002-12-06,4.095,4.095,4,4,1240,0.0,1.0
2002-12-09,3.9575,3.9575,3.9575,3.9575,400,0.0,1.0
2002-12-10,3.9325,3.97,3.9325,3.97,1600,0.0,1.0
2002-12-12,3.95,4,3.95,4,420,0.0,1.0
2002-12-13,4,4,4,4,1000,0.0,1.0
2002-12-18,3.945,3.97,3.945,3.97,800,0.0,1.0
2002-12-19,4.22,4.22,3.97,3.97,4800,0.0,1.0
2002-12-20,4.2875,4.2875,4,4,4024,0.0,1.0
2002-12-24,4,4,4,4,400,0.0,1.0
2002-12-26,4.2075,4.2075,3.97,3.97,800,0.0,1.0
2002-12-31,3.9625,3.9625,3.9625,3.9625,5200,0.0,1.0
2003-01-02,4.0075,4.1125,4.0075,4.0125,2800,0.0,1.0
2003-01-03,4.0125,4.1,3.975,3.975,4200,0.0,1.0
2003-01-07,3.995,4,3.995,4,800,0.0,1.0
2003-01-08,3.97,3.97,3.97,3.97,2300,0.0,1.0
2003-01-09,4.125,4.125,4.125,4.125,400,0.0,1.0
2003-01-10,4.07,4.12,4.0625,4.12,6000,0.0,1.0
2003-01-13,4.0325,4.045,4.0325,4.0325,600,0.0,1.0
2003-01-15,3.9625,3.9625,3.9625,3.9625,400,0.0,1.0
2003-01-16,4.0625,4.0625,4.0625,4.0625,1600,0.0,1.0
2003-01-17,3.9825,3.9825,3.9825,3.9825,220,0.0,1.0
2003-01-20,4,4,4,4,800,0.0,1.0
2003-01-21,3.82,3.9375,3.82,3.9375,800,0.0,1.0
2003-01-23,3.875,4.1075,3.875,4.095,2100,0.0,1.0
2003-01-24,3.695,4.0625,3.695,4.0625,1280,0.0,1.0
2003-01-27,3.9075,3.9075,3.9075,3.9075,800,0.0,1.0
2003-01-28,3.895,4.0125,3.895,4.0125,900,0.0,1.0
2003-01-29,3.8625,3.8625,3.8625,3.8625,200,0.0,1.0
2003-01-30,3.9075,3.9075,3.9075,3.9075,400,0.0,1.0
2003-01-31,3.9375,4.0875,3.6875,4.0875,1204,0.0,1.0
2003-02-03,3.845,3.9375,3.845,3.9375,1500,0.0,1.0
2003-02-04,3.9375,3.9375,3.9375,3.9375,600,0.0,1.0
2003-02-05,4,4,4,4,1000,0.0,1.0
2003-02-07,3.77,3.8825,3.77,3.8825,600,0.0,1.0
2003-02-10,4.175,4.175,3.8125,3.8125,2424,0.0,1.0
2003-02-11,4,4,3.8125,3.995,1400,0.0,1.0
2003-02-12,4,4.025,3.8625,4.025,620,0.0,1.0
2003-02-14,3.8875,3.8875,3.8875,3.8875,2000,0.0,1.0
2003-02-17,4.0625,4.0625,4,4,4092,0.0,1.0
2003-02-18,4,4,4,4,300,0.0,1.0
2003-02-19,4.0625,4.0625,4.0625,4.0625,1000,0.0,1.0
2003-02-20,4.125,4.125,4.0075,4.0075,1780,0.0,1.0
2003-02-21,4.0625,4.0625,4.045,4.0575,4360,0.0,1.0
2003-02-24,4.195,4.195,4.195,4.195,2000,0.0,1.0
2003-02-25,4.15,4.2825,4,4.2125,21700,0.0,1.0
2003-02-28,4.145,4.25,4.1375,4.15,3300,0.0,1.0
2003-03-03,4.175,4.1875,4.125,4.125,2260,0.0,1.0
2003-03-04,4.125,4.125,4.125,4.125,400,0.0,1.0
2003-03-07,4.0875,4.0875,4.0625,4.0625,4000,0.0,1.0
2003-03-10,4.0125,4.375,4.0125,4.1575,3800,0.0,1.0
2003-03-11,4.0125,4.0125,4,4.0075,6440,0.0,1.0
2003-03-13,4,4,3.775,4,6400,0.0,1.0
2003-03-17,4.3,4.3,3.9125,3.9125,4800,0.0,1.0
2003-03-19,3.85,3.85,3.795,3.795,2000,0.0,1.0
2003-03-20,3.795,3.795,3.795,3.795,2400,0.0,1.0
2003-03-21,3.845,3.845,3.845,3.845,200,0.0,1.0
2003-03-24,3.9375,4,3.9375,4,1400,0.0,1.0
2003-03-25,3.7,4.0625,3.7,3.825,5260,0.0,1.0
2003-03-26,4.175,4.175,3.875,3.8825,4524,0.0,1.0
2003-03-27,3.75,3.775,3.75,3.775,3200,0.0,1.0
2003-03-28,4.025,4.025,4.025,4.025,4,0.0,1.0
2003-03-31,3.82,3.82,3.82,3.82,300,0.0,1.0
2003-04-01,3.7575,3.7575,3.75,3.75,1196,0.0,1.0
2003-04-02,3.875,3.875,3.875,3.875,6364,0.0,1.0
2003-04-03,3.8575,3.9375,3.8125,3.875,6000,0.0,1.0
2003-04-04,3.5125,4.0825,3.5,3.975,16004,0.0,1.0
