date,open,high,low,close,volume,dividend,split
2002-08-09,11.15,11.15,11.15,11.15,100,0.0,1.0
2002-08-12,13.35,13.35,13.35,13.35,300,0.0,1.0
2002-08-13,16,16,16,16,100,0.0,1.0
2002-08-14,16,19.200001,16,19.200001,3200,0.0,1.0
2002-08-16,18.299999,18.299999,18.299999,18.299999,100,0.0,1.0
2002-08-19,20.049999,20.1,19.1,19.1,700,0.0,1.0
2002-08-20,20.950001,21,20.25,21,600,0.0,1.0
2002-08-21,19.6,21.799999,19.6,21.799999,200,0.0,1.0
2002-08-22,19.700001,19.700001,19.65,19.65,300,0.0,1.0
2002-08-23,19.35,19.35,19.35,19.35,100,0.0,1.0
2002-08-26,18.9,19.450001,18.9,19.450001,800,0.0,1.0
2002-08-27,20,20,19,19,500,0.0,1.0
2002-08-28,19.15,19.15,19.1,19.15,700,0.0,1.0
2002-08-29,19,19,19,19,1000,0.0,1.0
2002-08-30,19,19.299999,19,19.299999,1100,0.0,1.0
2002-09-02,18.75,19.5,18.75,19.35,2200,0.0,1.0
2002-09-03,19.450001,19.5,19.450001,19.5,300,0.0,1.0
2002-09-06,18.549999,18.549999,18.549999,18.549999,200,0.0,1.0
2002-09-27,18.75,18.75,18.6,18.6,900,0.0,1.0
2002-10-04,19,19,19,19,200,0.0,1.0
2002-10-18,19,19,19,19,300,0.0,1.0
2002-10-21,19,19,18.049999,18.049999,500,0.0,1.0
2002-10-31,18.1,18.1,18.1,18.1,100,0.0,1.0
2002-11-01,19.9,19.9,19.9,19.9,100,0.0,1.0
2002-11-08,18.75,19.5,18.75,19.5,200,0.0,1.0
2002-11-12,19.75,19.75,19.75,19.75,100,0.0,1.0
2002-11-21,21.700001,21.700001,21.700001,21.700001,300,0.0,1.0
2002-11-22,23.85,23.85,22.5,22.5,600,0.0,1.0
2002-11-25,24.700001,24.75,24.700001,24.75,1200,0.0,1.0
2002-11-26,27.200001,27.200001,27.200001,27.200001,1900,0.0,1.0
2002-11-27,29.9,29.9,28,29.35,500,0.0,1.0
2002-11-28,30.5,30.799999,30.5,30.799999,200,0.0,1.0
2002-11-29,32.299999,32.299999,32.299999,32.299999,100,0.0,1.0
2002-12-02,33.799999,33.900002,33.799999,33.900002,400,0.0,1.0
2002-12-03,32.5,35.549999,32.5,35.549999,200,0.0,1.0
2002-12-04,35.549999,35.549999,33.799999,33.799999,600,0.0,1.0
2002-12-06,33.5,33.5,33.5,33.5,200,0.0,1.0
2002-12-09,32.25,35.150002,32.25,34.400002,400,0.0,1.0
2002-12-10,33,33,33,33,100,0.0,1.0
2002-12-11,33.450001,34.599998,33.450001,34.599998,500,0.0,1.0
2002-12-12,34,35,34,34.599998,300,0.0,1.0
2002-12-13,34,35,34,35,400,0.0,1.0
2002-12-16,34.5,35,34.299999,34.299999,400,0.0,1.0
2002-12-17,33,33,33,33,400,0.0,1.0
2002-12-18,33,33,33,33,300,0.0,1.0
2002-12-19,32.75,32.75,32.75,32.75,500,0.0,1.0
2002-12-20,32.5,32.5,32.5,32.5,400,0.0,1.0
2002-12-23,34,34,34,34,600,0.0,1.0
2002-12-24,33,33,33,33,100,0.0,1.0
2002-12-26,32,34.650002,32,34.099998,1100,0.0,1.0
2002-12-27,34,34,34,34,100,0.0,1.0
2002-12-30,33.049999,33.049999,33,33,600,0.0,1.0
2002-12-31,32.799999,33,32.799999,33,300,0.0,1.0
2003-01-01,34.599998,34.650002,34.599998,34.650002,900,0.0,1.0
2003-01-02,36.349998,36.349998,36.349998,36.349998,300,0.0,1.0
2003-01-03,36.5,38.150002,36.5,38.150002,1200,0.0,1.0
2003-01-06,37.5,37.5,36.950001,36.950001,600,0.0,1.0
2003-01-07,35.549999,38.75,35.549999,38.75,2000,0.0,1.0
2003-01-13,37,37,37,37,100,0.0,1.0
2003-01-14,38.849998,38.849998,38.849998,38.849998,100,0.0,1.0
2003-01-15,40.75,40.75,40.75,40.75,200,0.0,1.0
2003-01-16,40,42.75,40,42.75,800,0.0,1.0
2003-01-17,44.849998,44.849998,44.849998,44.849998,200,0.0,1.0
2003-01-20,45.900002,47.049999,42.799999,47,2000,0.0,1.0
2003-01-21,49.349998,49.349998,44.700001,44.700001,1400,0.0,1.0
2003-01-22,43.849998,43.849998,43.849998,43.849998,200,0.0,1.0
2003-01-24,43,43,43,43,200,0.0,1.0
2003-01-27,42.150002,42.150002,42.150002,42.150002,300,0.0,1.0
2003-01-29,42.150002,42.150002,41.349998,41.349998,200,0.0,1.0
2003-01-30,40.549999,40.549999,40.549999,40.549999,200,0.0,1.0
2003-01-31,41,41,39.75,39.75,400,0.0,1.0
2003-02-03,39.5,39.5,39.5,39.5,100,0.0,1.0
2003-02-04,39.5,39.5,39.5,39.5,200,0.0,1.0
2003-02-05,38.75,38.75,38.75,38.75,100,0.0,1.0
2003-02-06,38,38,38,38,100,0.0,1.0
2003-02-07,38,38,37.25,37.25,500,0.0,1.0
2003-02-10,36.549999,36.549999,36.549999,36.549999,100,0.0,1.0
2003-02-11,35.849998,35.849998,35.849998,35.849998,100,0.0,1.0
